,OR,p,FDR
Waist-to-hip ratio adjusted for BMI in non-smokers,26.279678068410462,0.00031761840682551027,False
Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),25.083226632522408,0.00035947533045255773,False
Asthma,4.362111013559653,0.0018563994348405706,False
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),12.520486555697824,0.002319371675013351,False
Red cell distribution width,2.8719907407407406,0.004826356500115401,False
Waist circumference adjusted for body mass index,2.6670407458563536,0.007760984552778577,False
Selective IgA deficiency,12.950396825396826,0.01226359001985295,False
Age-related disease endophenotypes,12.085185185185185,0.013882625252299653,False
Respiratory diseases,5.9660134721371705,0.016343163019564243,False
Asthma onset (childhood vs adult),10.354761904761904,0.01830752260332906,False
Parental longevity (combined parental age at death),9.056944444444444,0.023245584522033753,False
"Age-related diseases, mortality and associated endophenotypes",9.056944444444444,0.023245584522033753,False
Mean corpuscular volume,3.230571125587032,0.02417978135769857,False
Family history of Alzheimer's disease,8.231060606060606,0.02754452045509561,False
Type 2 diabetes (adjusted for BMI),8.047530864197531,0.028665638178882687,False
Psoriasis,4.764360073484385,0.028770972293003287,False
Eosinophil counts,2.288661692917012,0.032979986388041956,False
Red blood cell count,2.160210855134713,0.03412337161598208,False
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),6.347465886939571,0.04346412557008127,False
High light scatter reticulocyte percentage of red cells,3.9344411794508054,0.04581599028771171,False
Tonsillectomy,3.9060362173038228,0.046614428544663584,False
Mouth ulcers,6.0287037037037035,0.047525194804662343,False
Reticulocyte count,3.8232049640500345,0.04905110387792613,False
Reticulocyte fraction of red cells,3.7698882952889754,0.05070981002907424,False
High light scatter reticulocyte count,3.7698882952889754,0.05070981002907424,False
Keratinocyte cancer (MTAG),5.740299823633157,0.05171937435985425,False
Pre-treatment viral load in HIV-1 infection,5.650173611111111,0.05314606353380099,False
Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab),19.898021308980212,0.05486381019583459,False
Cutaneous psoriasis,19.898021308980212,0.05486381019583459,False
Non-alcoholic fatty liver disease histology (lobular),19.898021308980212,0.05486381019583459,False
Bipolar disorder with mood-incongruent psychosis,19.898021308980212,0.05486381019583459,False
Temperament,19.898021308980212,0.05486381019583459,False
Eosinophil percentage of white cells,3.6184124615241116,0.05584839151517732,False
Bitter alcoholic beverage consumption,5.478114478114478,0.05604118730470098,False
Sum eosinophil basophil counts,3.478514398492868,0.06122664509616901,False
Alzheimer's disease,5.163492063492064,0.061992944465017824,False
Prostate cancer (early onset),16.277708592777085,0.06547477534732749,False
"Facial morphology (factor 11, projection of the nose)",16.277708592777085,0.06547477534732749,False
Western dietary pattern,16.277708592777085,0.06547477534732749,False
Alzheimer's disease or family history of Alzheimer's disease,4.817407407407408,0.06971976756309942,False
Waist-to-hip ratio adjusted for body mass index,4.817407407407408,0.06971976756309942,False
Mortality in sepsis,14.920091324200913,0.07073610117136539,False
Plasma anti-thyroid peroxidase levels,14.920091324200913,0.07073610117136539,False
Alzheimer's disease (onset between ages 58 and 79),14.920091324200913,0.07073610117136539,False
Alzheimer's disease or HDL levels (pleiotropy),14.920091324200913,0.07073610117136539,False
Mean corpuscular hemoglobin,1.9169587909947807,0.07340539950808059,False
antipsychotic drug dosage in schizophrenia or schizoaffective disorder,13.771338250790306,0.0759682040785315,False
Parental longevity (father's attained age),12.7866927592955,0.08117124417132211,False
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),12.7866927592955,0.08117124417132211,False
Low density lipoprotein cholesterol levels,2.9948924315121497,0.0860863758575046,False
Verbal declarative memory,11.933333333333334,0.08634538068696146,False
Hypertriglyceridemia,11.933333333333334,0.08634538068696146,False
Extremely high intelligence,11.933333333333334,0.08634538068696146,False
Spatial memory,11.933333333333334,0.08634538068696146,False
Waist-to-hip ratio adjusted for BMI,1.9173805528570167,0.08871766263036027,False
Balding type 1,2.9456414160639515,0.08932094386860523,False
"Facial morphology (factor 15, philtrum width)",11.186643835616438,0.09149077199651498,False
Kawasaki disease,11.186643835616438,0.09149077199651498,False
Spontaneous preterm birth (preterm birth),11.186643835616438,0.09149077199651498,False
Cocaine dependence,10.527800161160355,0.09660757562432662,False
Alzheimer's disease in APOE e4- carriers,9.942161339421613,0.10169594823702377,False
Eosinophilic esophagitis,9.942161339421613,0.10169594823702377,False
Parental lifespan,9.942161339421613,0.10169594823702377,False
Interferon gamma levels,9.418168709444846,0.10675604566460895,False
Interleukin-2 receptor antagonist levels,9.418168709444846,0.10675604566460895,False
Acne (severe),8.946575342465753,0.11178802286988594,False
Sleep duration,3.5348583877995643,0.11604943502969883,False
Mean corpuscular hemoglobin concentration,3.5348583877995643,0.11604943502969883,False
Post-traumatic stress disorder,8.51989562948467,0.11679203400691954,False
Immature fraction of reticulocytes,3.500269687162891,0.11788975488888671,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),8.13200498132005,0.12176823238593423,False
Sensorimotor dexterity,8.13200498132005,0.12176823238593423,False
Height,1.437363426359493,0.12454301520386682,False
Urate levels,2.5168231611893583,0.12555756849327024,False
Headache,7.453196347031963,0.13163779995234767,False
Alopecia areata,7.453196347031963,0.13163779995234767,False
Age at first sexual intercourse,7.154520547945205,0.1365314716283961,False
Feeling hurt,7.154520547945205,0.1365314716283961,False
Lipid metabolism phenotypes,7.154520547945205,0.1365314716283961,False
Interleukin-12p70 levels,7.154520547945205,0.1365314716283961,False
Body mass index,1.517366255144033,0.13904259910599354,False
Coronary artery disease,2.0665584415584415,0.1402922564546396,False
Hypertension,3.0781101614434947,0.14437447297742936,False
Obesity (extreme),6.623541349568747,0.146237340881461,False
Asthma (age of onset),6.623541349568747,0.146237340881461,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),6.623541349568747,0.146237340881461,False
Hand grip strength,3.025910364145658,0.14825592379731226,False
Lung function (FVC),1.8503983302466414,0.14830560980701057,False
Venous thromboembolism,3.000462962962963,0.1502047663106842,False
Response to paliperidone in schizophrenia (positive Marder score),6.386497064579256,0.15104983606292807,False
IgG glycosylation,2.2802698544206415,0.15400089416088844,False
Sjögren's syndrome,6.165800661313179,0.15583556868943096,False
Autism spectrum disorder,6.165800661313179,0.15583556868943096,False
Mumps,5.959817351598174,0.16059468554472017,False
Systolic blood pressure x smoking status (ever vs never) interaction (2df test),5.959817351598174,0.16059468554472017,False
Systemic lupus erythematosus,2.2324813075986785,0.16073383728224958,False
Mean arterial pressure,2.833552055993001,0.16398716491512358,False
Psoriasis vulgaris,5.767123287671233,0.1653273326567646,False
Creatine kinase levels,5.767123287671233,0.1653273326567646,False
Intelligence,2.186619718309859,0.16755654748561125,False
Waist-to-hip ratio adjusted for BMI in active individuals,5.586472602739726,0.17003365522004674,False
"Parental longevity (combined parental attained age, Martingale residuals)",5.586472602739726,0.17003365522004674,False
Autism spectrum disorder or schizophrenia,2.74618320610687,0.17196316996874095,False
Migraine - clinic-based,5.416770444167704,0.1747137976834301,False
Intelligence (MTAG),2.1339691693467895,0.17585593085257079,False
Medication use (agents acting on the renin-angiotensin system),2.624695863746959,0.18404543929241063,False
LDL cholesterol levels x long total sleep time interaction (2df test),4.964231354642314,0.18859857703407062,False
Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),4.964231354642314,0.18859857703407062,False
Systolic blood pressure x smoking status (current vs non-current) interaction (2df test),4.8296927064050355,0.19317542780909658,False
"Allergic disease (asthma, hay fever or eczema)",2.531298904538341,0.19420816734082566,False
Pediatric autoimmune diseases,4.702235039653929,0.1977268089898032,False
Myocardial infarction,4.702235039653929,0.1977268089898032,False
Cognitive ability,4.702235039653929,0.1977268089898032,False
Fat-free mass,2.478352490421456,0.200341351614151,False
Dental caries,4.581313663505444,0.20225286038017037,False
Prostate cancer,2.461187214611872,0.20239109875766043,False
Albumin-globulin ratio,4.4664383561643834,0.20675372104403994,False
Triglyceride levels x short total sleep time interaction (2df test),4.4664383561643834,0.20675372104403994,False
Stroke,4.4664383561643834,0.20675372104403994,False
Eosinophil percentage of granulocytes,2.394814814814815,0.21061438821914796,False
Pneumonia,4.357166722352155,0.21122952924621163,False
Monocyte chemoattractant protein-1 levels,4.253098499673842,0.2156804225523827,False
LDL cholesterol levels x short total sleep time interaction (2df test),4.153870659445683,0.22010653776095315,False
Atopic dermatitis,4.153870659445683,0.22010653776095315,False
Mean arterial pressure x alcohol consumption interaction (2df test),4.059153175591532,0.22450801092966494,False
White blood cell count,1.508298755186722,0.22611943387882255,False
Ischemic stroke,3.9686453576864538,0.2288849773842988,False
Ulcerative colitis,2.243402777777778,0.2313118535443438,False
Systolic blood pressure,1.44515517649846,0.23217003569741748,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",2.2016019086571235,0.23755057640551666,False
Ocular sarcoidosis,3.7991839113960943,0.23756592778773258,False
White matter microstructure (mode of anisotropy),3.7991839113960943,0.23756592778773258,False
LDL cholesterol levels in current drinkers,3.7991839113960943,0.23756592778773258,False
Total cholesterol levels,1.8126476982701578,0.23974356313354286,False
Eczema,2.1745791245791244,0.24171528101009843,False
Body fat distribution (arm fat ratio),3.6435560525580093,0.24615045695733162,False
PR interval,3.5704109589041098,0.2504068941778157,False
Trauma exposure,3.5001343002954606,0.2546396213624215,False
Systemic sclerosis,3.5001343002954606,0.2546396213624215,False
Body mass index in physically active individuals,3.4325605900948366,0.2588487688010943,False
Cancer,3.4325605900948366,0.2588487688010943,False
Chronic lymphocytic leukemia,3.367536831222538,0.26303446605829245,False
"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)",2.0252667922159446,0.26676131307221174,False
Educational attainment,3.3049213597158804,0.26719684199581095,False
Systolic blood pressure x alcohol consumption interaction (2df test),3.3049213597158804,0.26719684199581095,False
Intracranial aneurysm,3.244582814445828,0.2713360247759726,False
Diastolic blood pressure x alcohol consumption interaction (2df test),3.186399217221135,0.2754521418948768,False
Serum metabolite levels (CMS),3.130257149723624,0.27954532011486455,False
Cognitive ability (MTAG),3.130257149723624,0.27954532011486455,False
HDL cholesterol levels x short total sleep time interaction (2df test),3.0760510155880962,0.2836156855410726,False
Body mass index (joint analysis main effects and physical activity interaction),3.0760510155880962,0.2836156855410726,False
Cigarettes smoked per day (MTAG),3.0760510155880962,0.2836156855410726,False
Multiple sclerosis,1.642992098935074,0.28536241018004155,False
LDL cholesterol,1.915478312537136,0.2876475606015696,False
White matter microstructure (mean diusivities),3.0236823775249593,0.287663363572197,False
Glycated hemoglobin levels,3.0236823775249593,0.287663363572197,False
Reaction time,1.6277179694481085,0.28997614150432427,False
Nonatopic asthma,2.9730593607305935,0.2916884789587234,False
Waist circumference adjusted for BMI in non-smokers,2.9730593607305935,0.2916884789587234,False
Childhood ear infection,2.924096114978666,0.2956911557522863,False
White matter microstructure (axial diusivities),2.924096114978666,0.2956911557522863,False
Asthma (childhood onset),1.8648726851851851,0.2980739792305149,False
LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),2.8767123287671232,0.299671517326171,False
Male-pattern baldness,1.593132761063422,0.3007646320580114,False
Basal cell carcinoma,2.7863869863013697,0.30756578502354404,False
LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),2.7863869863013697,0.30756578502354404,False
Autoimmune traits,2.7863869863013697,0.30756578502354404,False
Inflammatory skin disease,2.743308746048472,0.3114799345867532,False
Number of sexual partners,2.743308746048472,0.3114799345867532,False
Risk-taking tendency (4-domain principal component model),2.743308746048472,0.3114799345867532,False
Vitiligo,2.701535907015359,0.3153722558184589,False
Birth weight,1.7801271420674405,0.3167842193057051,False
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),2.661010018401145,0.3192428687744998,False
Plateletcrit,1.7535403050108933,0.32299911354764343,False
Migraine,2.621676067687349,0.32309189290206064,False
Rosacea symptom severity,2.5834822314869963,0.3269194469598459,False
Waist circumference adjusted for BMI (adjusted for smoking behaviour),2.546379647749511,0.33072564907902,False
White blood cell count (basophil),2.546379647749511,0.33072564907902,False
Asthma (adult onset),2.546379647749511,0.33072564907902,False
Crohn's disease,1.719284188034188,0.3312648726093729,False
HDL cholesterol levels in current drinkers,2.4079970381340243,0.34573927841182683,False
Tuberculosis,2.3757077625570777,0.3494404704759906,False
Body fat distribution (leg fat ratio),2.3757077625570777,0.3494404704759906,False
Glomerular filtration rate (creatinine),2.3442682047584715,0.3531210060435711,False
General factor of neuroticism,2.3136452588507384,0.35678099881872255,False
Inflammatory bowel disease,1.6017688091679123,0.36200198314697446,False
High density lipoprotein cholesterol levels,1.5944940476190477,0.3640342678068894,False
Colonoscopy-negative controls vs population controls,2.2263698630136988,0.3676388483413692,False
White matter microstructure (radial diusivities),2.1987146964315913,0.371217794819574,False
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),2.1987146964315913,0.371217794819574,False
Resting heart rate,2.1717340461075842,0.3747767578885671,False
Body fat distribution (trunk fat ratio),2.1717340461075842,0.3747767578885671,False
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),2.1196999347684278,0.381835173442956,False
Parkinson's disease or first degree relation to individual with Parkinson's disease,2.1196999347684278,0.381835173442956,False
White matter microstructure (fractional anisotropy),2.046134467013069,0.39227565332493125,False
LDL cholesterol levels,1.9774733637747337,0.4025421421082477,False
Triglycerides,1.4615209471766848,0.4041421340332915,False
Adventurousness,1.87267483777938,0.419274058114108,False
Cardiovascular disease,1.4085419411506368,0.42181391598881374,False
"anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)",1.7783561643835617,0.4355435505242078,False
Parkinson's disease,1.7606130476061306,0.4387430738802881,False
Depression,1.7606130476061306,0.4387430738802881,False
Mosquito bite size,1.7606130476061306,0.4387430738802881,False
Medication use (thyroid preparations),1.743217835079237,0.44192470497583797,False
Diisocyanate-induced asthma,1.7094309799789251,0.4482346847365661,False
Night sleep phenotypes,1.615442092154421,0.46674536464987043,False
Neurociticism,1.615442092154421,0.46674536464987043,False
Lymphocyte percentage of white cells,1.615442092154421,0.46674536464987043,False
Hemoglobin concentration,1.6007651487103542,0.46977034303963516,False
Serum metabolite levels,1.4922297686197767,0.4933685080609381,False
Lung cancer,1.4673383901279293,0.49910427833162213,False
HDL cholesterol levels,1.4673383901279293,0.49910427833162213,False
Platelet count,1.2040489642184558,0.5005472467808024,False
Hay fever and/or eczema,1.45519874242084,0.5019480932294393,False
Blond vs. brown/black hair color,1.443256487359394,0.5047759794604226,False
Waist-hip ratio,1.0876394661999562,0.509021184324884,False
"Cholesterol, total",1.4199452054794521,0.51038431739747,False
Hypothyroidism,1.3863441780821917,0.5186795437553483,False
