,OR,p,FDR
Mean corpuscular hemoglobin,1.5095396239500911,0.0009950751670207733,False
Mean corpuscular hemoglobin concentration,2.4817079282349406,0.0019507532506306939,False
Inflammatory bowel disease,1.867390422077922,0.003410378630446467,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),4.5256270447110145,0.0048435742588663535,False
Mean corpuscular volume,1.686333419666753,0.006188518546270465,False
Glycated hemoglobin levels,2.3974127944394388,0.020907637550353027,False
Platelet count,1.5351611157945066,0.02258893177801051,False
High light scatter reticulocyte percentage of red cells,1.7279361579251327,0.03531522604438124,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.6670650580674258,0.03541232633902022,False
Family history of Alzheimer's disease,2.435421565334229,0.03669646048714769,False
HDL cholesterol levels x short total sleep time interaction (2df test),2.1287045965927356,0.04833293687212019,False
High light scatter reticulocyte count,1.648591761050416,0.048668158139715846,False
Hemoglobin A1c levels,2.4655497174581145,0.048987939450065784,False
Medication use (thyroid preparations),1.791582731209515,0.05072481913842057,False
Takayasu arteritis,2.710893246187364,0.052116690274700374,False
Fibrinogen levels,2.2081598456382654,0.05415919449230267,False
Hematological parameters,4.062391304347826,0.05550318061631302,False
Plateletcrit,1.462508484263923,0.07587876770045854,False
Basal cell carcinoma,1.9037100949094046,0.07712791304095815,False
Atopic dermatitis,2.14027434999713,0.07963101679610503,False
Leukocyte telomere length,2.0852277493498867,0.08680509751866222,False
Ulcerative colitis,1.4888160577547538,0.09268398203761175,False
Total body bone mineral density (age 45-60),3.124163879598662,0.09335560936528603,False
Type 2 diabetes (adjusted for BMI),1.9831901481501184,0.10217484320583153,False
Hypothyroidism,1.5211822660098522,0.10759739562759466,False
Red blood cell count,1.1927953281759462,0.10999454164421024,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),2.2568008705114253,0.12342785211143192,False
Crohn's disease,1.3509648797664828,0.13569013293775228,False
Rheumatoid arthritis (ACPA-positive),1.8063249727371864,0.1368217901666629,False
Sum eosinophil basophil counts,1.403957162387969,0.13883104758696976,False
Parental lifespan,2.537771739130435,0.139040361800964,False
Plasma free amino acid levels,2.537771739130435,0.139040361800964,False
Medication use (diuretics),1.6182693091917462,0.14367262157849153,False
Cutaneous psoriasis,3.3821932681867537,0.14790879142696545,False
Exploratory eye movement dysfunction in schizophrenia (cognitive search score),3.3821932681867537,0.14790879142696545,False
Mammographic density (dense area),3.3821932681867537,0.14790879142696545,False
Infant length,3.3821932681867537,0.14790879142696545,False
Atypical femoral fracture in phosphonate treatment,3.3821932681867537,0.14790879142696545,False
Leprosy,2.082865991462292,0.14870533395799307,False
Albumin-globulin ratio,1.8809005083514887,0.14932325065165492,False
Eosinophil counts,1.1781421687198814,0.15055459143101343,False
Fractures,2.388299232736573,0.15567063368193762,False
Varicose veins,2.388299232736573,0.15567063368193762,False
Feeling tense,2.388299232736573,0.15567063368193762,False
Lymphocyte counts,1.3862510338625103,0.15817882412999695,False
Autoimmune traits,1.635107664508357,0.1588809029578498,False
Alzheimer's disease or family history of Alzheimer's disease,1.5711095272036113,0.15960275905092972,False
Pneumonia,1.8299181534475653,0.1605393735635669,False
Femoral neck bone mineral density,1.8299181534475653,0.1605393735635669,False
Chronic lymphocytic leukemia,1.693020719738277,0.16594886880192156,False
Bladder cancer,2.255434782608696,0.17287731773807968,False
Red vs. brown/black hair color,2.255434782608696,0.17287731773807968,False
"Bone mineral density (paediatric, total body less head)",3.0061527325370974,0.17289443884517489,False
Infant head circumference (MTAG),3.0061527325370974,0.17289443884517489,False
Cutaneous squamous cell carcinoma,3.0061527325370974,0.17289443884517489,False
Eczema,1.3385404590772085,0.17685625314597736,False
Vitiligo,1.580349344978166,0.177166715849009,False
Systemic lupus erythematosus,1.266829268292683,0.18192593441411956,False
LDL cholesterol levels x short total sleep time interaction (2df test),1.7357968828557064,0.18393652378210132,False
Anthropometric traits,2.1365560640732264,0.19058659437667141,False
Cancer (pleiotropy),2.1365560640732264,0.19058659437667141,False
"Allergic disease (asthma, hay fever or eczema)",1.3453653217011996,0.1932952414237601,False
Red blood cell traits,1.6922657952069717,0.19607795206595494,False
California verbal learning test score,2.7053203040173726,0.1984868005241246,False
vWF and FVIII levels,2.7053203040173726,0.1984868005241246,False
Bone mineral content,2.7053203040173726,0.1984868005241246,False
Prostate cancer (early onset),2.7053203040173726,0.1984868005241246,False
Psoriatic arthritis,1.804570184983678,0.20434478456785646,False
Red cell distribution width,1.1408918958242398,0.20465222411139072,False
Reticulocyte count,1.3249194414607948,0.20664321438366015,False
Non-albumin protein levels,1.650858175248419,0.20848728852683263,False
Ischemic stroke,1.650858175248419,0.20848728852683263,False
Testicular germ cell tumor,1.650858175248419,0.20848728852683263,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),2.0295652173913044,0.2087262505522564,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,2.459184680683052,0.22448382232525713,False
Alzheimer's disease or HDL levels (pleiotropy),2.459184680683052,0.22448382232525713,False
Alzheimer's disease (onset between ages 58 and 79),2.459184680683052,0.22448382232525713,False
Gallstone disease,1.691512513601741,0.23415374713420933,False
Breast cancer (estrogen-receptor negative),1.691512513601741,0.23415374713420933,False
Melanoma,1.8447628458498024,0.24601894531041157,False
Primary biliary cholangitis,1.537928302634185,0.24711154406425115,False
LDL cholesterol levels x long total sleep time interaction (2df test),1.6401226629735879,0.24943301935801804,False
Asthma onset (childhood vs adult),1.6401226629735879,0.24943301935801804,False
