,OR,p,FDR
Left ventricle wall thickness,99.20454545454545,9.202275768016967e-06,True
Male-pattern baldness,5.5780123771386965,0.0012737710282331892,False
Nonatopic asthma,15.336206896551724,0.0013315865539697024,False
Height,2.7365361803084225,0.0014336480771334008,False
Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),41.55555555555556,0.0014530657137695178,False
Adult asthma,32.31111111111111,0.0022798371157439425,False
Polycystic ovary syndrome,24.22222222222222,0.0038468904478666742,False
White blood cell count,3.52302713467762,0.003942815758880954,False
Asthma (moderate or severe),23.251555555555555,0.0041452152861408765,False
Primary biliary cirrhosis,22.355555555555554,0.004453951908125767,False
Balding type 1,6.531850353892821,0.0044666391524488805,False
Plasma factor VII activating protease levels,21.525925925925925,0.004773025322379781,False
Perceived unattractiveness to mosquitoes,20.038314176245212,0.005441884475425368,False
Birth weight,6.032488021502863,0.005854385371414522,False
Response to antipsychotic treatment,15.696096096096095,0.008516056718797297,False
Atopic asthma,7.70098814229249,0.0085695501061435,False
Eosinophil counts,3.304817905918058,0.008899603037063593,False
Central corneal thickness,13.822222222222223,0.010749705591743328,False
"Medication use (adrenergics, inhalants)",13.499741602067184,0.011224276412575443,False
Neutrophil percentage of granulocytes,6.4061264822134385,0.01386941978565009,False
Rheumatoid arthritis (ACPA-positive),11.841269841269842,0.014260824933134235,False
Eosinophil percentage of granulocytes,5.928157413056742,0.016935719436627097,False
Eosinophil percentage of white cells,5.848735701384708,0.017530856524001652,False
Ulcerative colitis,5.551029159519725,0.020027928975796847,False
Asthma,3.851885301422443,0.02517156495584939,False
White blood cell count (basophil),8.396135265700483,0.026570130823315455,False
Asthma (adult onset),8.396135265700483,0.026570130823315455,False
Itch intensity from mosquito bite,8.396135265700483,0.026570130823315455,False
Multiple sclerosis,3.634734371666311,0.030089666689140322,False
Estimated glomerular filtration rate in non-diabetics,7.235555555555556,0.034642975577483845,False
Periodontitis (DPAL),31.630434782608695,0.03518125213416256,False
Cytokine network levels (multivariate analysis),31.630434782608695,0.03518125213416256,False
Biochemical measures,31.630434782608695,0.03518125213416256,False
Infant length,31.630434782608695,0.03518125213416256,False
Bipolar disorder or attention deficit hyperactivity disorder,31.630434782608695,0.03518125213416256,False
Resting heart rate,7.145679012345679,0.035418900843949955,False
Heel bone mineral density,2.28606734630831,0.03712124460265123,False
Age-related cognitive decline (language) (slope of z-scores),28.465217391304346,0.03863201548204426,False
"Facial morphology (factor 8, orbital inclination due to vertical and horizontal position of exocanthion)",28.465217391304346,0.03863201548204426,False
Infant head circumference (MTAG),28.465217391304346,0.03863201548204426,False
Corneal curvature,28.465217391304346,0.03863201548204426,False
Periodontal microbiota,28.465217391304346,0.03863201548204426,False
Response to anti-depressant treatment in major depressive disorder,28.465217391304346,0.03863201548204426,False
Primary tooth development (time to first tooth eruption),25.875494071146246,0.04207069853096478,False
Body mass index in physically inactive individuals,25.875494071146246,0.04207069853096478,False
IgE levels,25.875494071146246,0.04207069853096478,False
"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)",25.875494071146246,0.04207069853096478,False
Facial wrinkles,25.875494071146246,0.04207069853096478,False
Fasting blood glucose adjusted for BMI,25.875494071146246,0.04207069853096478,False
IgG N-glycosylation phenotypes (multivariate analysis),25.875494071146246,0.04207069853096478,False
Esophageal cancer,25.875494071146246,0.04207069853096478,False
Lobe attachment (rater-scored or self-reported),6.355555555555555,0.043540709268192035,False
Refractive error,3.210436755530346,0.043660153869473736,False
Respiratory diseases,6.217921146953405,0.04524133738517775,False
Progressive supranuclear palsy,23.717391304347824,0.04549734265657832,False
Preeclampsia,23.717391304347824,0.04549734265657832,False
Pulse pressure,2.738095238095238,0.04581310255401219,False
Inflammatory bowel disease,3.9563882063882065,0.04620903589628475,False
Systemic lupus erythematosus and Systemic sclerosis,21.891304347826086,0.04891198909433047,False
Interleukin-16 levels,21.891304347826086,0.04891198909433047,False
Primary tooth development (number of teeth),21.891304347826086,0.04891198909433047,False
Brain region volumes,3.8504784688995217,0.049294569183879686,False
Mosquito bite size,5.779555555555556,0.051383140774621694,False
Nonalcoholic fatty liver disease,20.32608695652174,0.0523146789423302,False
Aortic root size,20.32608695652174,0.0523146789423302,False
BMI in smokers,20.32608695652174,0.0523146789423302,False
Life satisfaction,5.555555555555555,0.05502025769571882,False
Offspring birth weight,5.555555555555555,0.05502025769571882,False
Brain structure,18.969565217391306,0.05570545315550046,False
Cleft palate,18.969565217391306,0.05570545315550046,False
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid),18.969565217391306,0.05570545315550046,False
Nose size,18.969565217391306,0.05570545315550046,False
Estimated glomerular filtration rate,2.9242459129633893,0.05723528753473453,False
Systemic lupus erythematosus,3.6085858585858586,0.057440676751291636,False
Parasitemia in Tripanosoma cruzi seropositivity,17.782608695652176,0.059084352562241524,False
Heart rate response to exercise,17.782608695652176,0.059084352562241524,False
Axial length,17.782608695652176,0.059084352562241524,False
Response to paliperidone in schizophrenia (CGI-S score),17.782608695652176,0.059084352562241524,False
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder,17.782608695652176,0.059084352562241524,False
QRS complex (12-leadsum),17.782608695652176,0.059084352562241524,False
C-reactive protein levels or total cholesterol levels (pleiotropy),17.782608695652176,0.059084352562241524,False
Asthma and hay fever,16.735294117647058,0.06245141784423687,False
Total body bone mineral density,5.109537856440511,0.06352335799542798,False
DNA methylation variation (age effect),3.4493557623478885,0.06379804866672142,False
Stem cell factor levels,15.804347826086957,0.06580668955310484,False
Eosinophilic esophagitis,15.804347826086957,0.06580668955310484,False
Corneal structure,15.804347826086957,0.06580668955310484,False
Response to tocilizumab in rheumatoid arthritis,15.804347826086957,0.06580668955310484,False
Gut microbiome composition (winter),15.804347826086957,0.06580668955310484,False
Hypertension,4.933333333333334,0.06743742810466871,False
Chin dimples,14.971395881006865,0.06915020810440509,False
Urinary albumin excretion (no hypertensive medication),14.971395881006865,0.06915020810440509,False
Antipsychotic drug-induced QTc interval change in schizophrenia,14.971395881006865,0.06915020810440509,False
Celiac disease and Rheumatoid arthritis,14.971395881006865,0.06915020810440509,False
Venous thromboembolism,4.808888888888889,0.07042483078374394,False
Response to statin therapy,14.221739130434782,0.07248201377122873,False
Allergic sensitization,14.221739130434782,0.07248201377122873,False
Allergy,13.543478260869565,0.07580214670157163,False
Birth length (MTAG),13.543478260869565,0.07580214670157163,False
Age-related hearing impairment,13.543478260869565,0.07580214670157163,False
Gut microbiome composition (summer),12.92687747035573,0.07911064689855692,False
Hyperuricemia,12.92687747035573,0.07911064689855692,False
Hip circumference,4.470284237726098,0.07964060635333042,False
Alanine aminotransferase levels in excessive alcohol consumption,12.363894139886579,0.08240755424183915,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),12.363894139886579,0.08240755424183915,False
Survival in pancreatic cancer,11.847826086956522,0.08569290846994579,False
HIV-1 control,11.847826086956522,0.08569290846994579,False
Resting-state electroencephalogram vigilance,11.847826086956522,0.08569290846994579,False
Type 2 diabetes,2.495037772181899,0.08886182675692542,False
Interleukin-12p70 levels,11.37304347826087,0.08896674918895894,False
Waist circumference,4.175845410628019,0.0892118380205857,False
FEV1,4.145483613109512,0.0902959015912039,False
Aspartate aminotransferase levels in low alcohol consumption,10.934782608695652,0.09222911587858189,False
"Allergic disease (asthma, hay fever or eczema)",4.056964006259781,0.0935717310338786,False
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),10.528985507246377,0.09548004787598069,False
Immune response to smallpox vaccine (IL-6),10.528985507246377,0.09548004787598069,False
Autoimmune traits (pleiotropy),10.528985507246377,0.09548004787598069,False
3-hydroxypropylmercapturic acid levels in smokers,4.0,0.095774912091944,False
Fat-free mass,3.9721072796934864,0.09688217099248739,False
Vascular endothelial growth factor levels,10.152173913043478,0.09871958439957886,False
Lung function (FVC),2.3745410036719705,0.10134990561497767,False
Sjögren's syndrome,9.80134932533733,0.10194776451888839,False
3-month functional outcome in ischaemic stroke (modified Rankin score),9.80134932533733,0.10194776451888839,False
Takayasu arteritis,9.80134932533733,0.10194776451888839,False
Selective IgA deficiency,9.80134932533733,0.10194776451888839,False
Appendicular lean mass,2.7954545454545454,0.10229446661568893,False
Microalbuminuria,9.47391304347826,0.1051646271853622,False
Cerebrospinal fluid AB1-42 levels,9.47391304347826,0.1051646271853622,False
Rheumatoid arthritis,3.762091503267974,0.10587110404212802,False
Birth weight (MTAG),9.167601683029453,0.10837021122102278,False
