,OR,p,FDR
Glycated hemoglobin levels,4.70041928721174,0.0013003213074859617,False
Mean corpuscular hemoglobin concentration,2.964020427112349,0.008287660959625978,False
Feeling tense,6.228829993535876,0.016995343612798405,False
Albumin-globulin ratio,3.8204154567790933,0.0263058977465282,False
Hypothyroidism,2.3470153548654435,0.027213428549366668,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),5.040816326530612,0.027820368907972463,False
Blood metabolite ratios,3.623931623931624,0.030714616618489763,False
Ischemic stroke,3.3642922733831826,0.03809661353752394,False
Bone mineral content,7.043835616438356,0.04214026603768747,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,6.402988792029888,0.04890745639120744,False
Lead levels in blood,6.402988792029888,0.04890745639120744,False
Serum folate levels,6.402988792029888,0.04890745639120744,False
Takayasu arteritis,3.9188034188034186,0.04945128208051625,False
Mean corpuscular volume,1.6566227244193346,0.06374633047485422,False
Extremely high intelligence,5.029745596868884,0.0712786241868607,False
Plasma free amino acid levels (adjusted for twenty other PFAAs),5.029745596868884,0.0712786241868607,False
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder,4.69406392694064,0.07934540585934499,False
Systemic lupus erythematosus,1.6606502510160173,0.08156104161616949,False
Eosinophilic esophagitis,4.141176470588236,0.09626035210478723,False
Plasma free amino acid levels,4.141176470588236,0.09626035210478723,False
Stroke,2.7820271833429726,0.1043446627215319,False
3-hydroxypropylmercapturic acid levels in smokers,1.7802158273381294,0.11177777514221347,False
Mosaic loss of chromosome Y (Y chromosome dosage),2.5778611632270167,0.12222032201699409,False
Red blood cell traits,2.516287284144427,0.12841228298690893,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),3.3513372472276584,0.13266180307473538,False
Type 2 diabetes (adjusted for BMI),2.401535964035964,0.14111903439982962,False
Red cell distribution width,1.2918671683067002,0.141770376489867,False
Bitter beverage consumption,3.198754669987547,0.14219284254185782,False
Body fat percentage,1.9856438908935707,0.15466649760869056,False
Medication use (thyroid preparations),1.799385500056376,0.15795066100805114,False
Fibrinogen levels,2.2477203647416415,0.16091772702218632,False
Feeling hurt,2.9317351598173516,0.16165856862892308,False
Age at first sexual intercourse,2.9317351598173516,0.16165856862892308,False
Glycine levels,2.814246575342466,0.17156395095580565,False
Tenofovir clearance in HIV infection,2.814246575342466,0.17156395095580565,False
Maximum habitual alcohol consumption,2.814246575342466,0.17156395095580565,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),2.705795574288725,0.18156598383060868,False
General risk tolerance (MTAG),1.5342995169082125,0.1861779893512635,False
Loneliness,2.6053779807204465,0.1916517345002493,False
Fasting plasma glucose,2.6053779807204465,0.1916517345002493,False
Neurociticism,1.662540394037319,0.195170184257621,False
Night sleep phenotypes,1.662540394037319,0.195170184257621,False
Pursuit maintenance gain,2.0308009298393914,0.19558310504157417,False
Psoriasis,1.558695545885689,0.22997116239884263,False
Stem cell growth factor beta levels,2.2684931506849315,0.23259511455946916,False
Psoriatic arthritis,2.197431506849315,0.24292697479075137,False
Metabolite levels (small molecules and protein measures),2.197431506849315,0.24292697479075137,False
Migraine - clinic-based,2.197431506849315,0.24292697479075137,False
Heart rate,2.197431506849315,0.24292697479075137,False
Heart rate response to recovery post exercise (30 sec),3.9028536733454766,0.24525398369750515,False
Cutaneous psoriasis,3.9028536733454766,0.24525398369750515,False
Mammographic density (dense area),3.9028536733454766,0.24525398369750515,False
B-cell acute lymphoblastic leukaemia,3.9028536733454766,0.24525398369750515,False
Non-alcoholic fatty liver disease histology (lobular),3.9028536733454766,0.24525398369750515,False
Exploratory eye movement dysfunction in schizophrenia (cognitive search score),3.9028536733454766,0.24525398369750515,False
Smoking status (heavy vs never),3.9028536733454766,0.24525398369750515,False
Atypical femoral fracture in phosphonate treatment,3.9028536733454766,0.24525398369750515,False
Cardiac troponin-I levels,3.9028536733454766,0.24525398369750515,False
Psychosis (atypical),3.9028536733454766,0.24525398369750515,False
Venous thromboembolism,1.504934598857251,0.25061439433996846,False
Urinary tract infection frequency,2.1306766293067665,0.2532775281816171,False
Osteoarthritis,2.0678485092667205,0.26363781625454086,False
Periodontal microbiota,3.512295081967213,0.2662032945430894,False
Response to anti-depressant treatment in major depressive disorder,3.512295081967213,0.2662032945430894,False
Frontotemporal dementia,3.512295081967213,0.2662032945430894,False
Abdominal aortic aneurysm,3.512295081967213,0.2662032945430894,False
Heart rate response to recovery post exercise (20 sec),3.512295081967213,0.2662032945430894,False
Amyotrophic lateral sclerosis (age of onset),3.512295081967213,0.2662032945430894,False
"Bone mineral density (paediatric, total body less head)",3.512295081967213,0.2662032945430894,False
Heart rate response to recovery post exercise (40 sec),3.512295081967213,0.2662032945430894,False
17-hydroxyprogesterone (17-OHP) levels,3.512295081967213,0.2662032945430894,False
Systemic juvenile idiopathic arthritis,3.512295081967213,0.2662032945430894,False
Macrophage colony stimulating factor levels,3.512295081967213,0.2662032945430894,False
Systolic blood pressure,1.1515456747487829,0.2677797375184764,False
Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),2.008610567514677,0.27399936050505447,False
Asthma onset (childhood vs adult),2.008610567514677,0.27399936050505447,False
Vitiligo,1.6484804258241759,0.284357915523945,False
vWF and FVIII levels,3.1927471435668155,0.2865726607727991,False
Prostate cancer (early onset),3.1927471435668155,0.2865726607727991,False
IgG N-glycosylation phenotypes (multivariate analysis),3.1927471435668155,0.2865726607727991,False
Word reading,3.1927471435668155,0.2865726607727991,False
Heart rate response to recovery post exercise (50 sec),3.1927471435668155,0.2865726607727991,False
Hirschsprung disease,3.1927471435668155,0.2865726607727991,False
California verbal learning test score,3.1927471435668155,0.2865726607727991,False
TB-LM or TBLH-BMD (pleiotropy),3.1927471435668155,0.2865726607727991,False
Bone mineral density (total hip),3.1927471435668155,0.2865726607727991,False
Left atrial antero-posterior diameter,3.1927471435668155,0.2865726607727991,False
Loneliness (multivariate analysis),3.1927471435668155,0.2865726607727991,False
Suicide attempts in major depressive disorder,3.1927471435668155,0.2865726607727991,False
Loneliness (linear analysis),3.1927471435668155,0.2865726607727991,False
IgE levels,3.1927471435668155,0.2865726607727991,False
Response to hepatitis C treatment,3.1927471435668155,0.2865726607727991,False
Non-alcoholic fatty liver disease histology (other),3.1927471435668155,0.2865726607727991,False
Acute lymphoblastic leukemia (childhood),1.899740836727138,0.2946945863374623,False
Fasting blood glucose,1.899740836727138,0.2946945863374623,False
Cognitive ability,1.899740836727138,0.2946945863374623,False
Coronary artery calcified atherosclerotic plaque score in type 2 diabetes,1.899740836727138,0.2946945863374623,False
Hemoglobin A1c levels,1.899740836727138,0.2946945863374623,False
Pediatric autoimmune diseases,1.899740836727138,0.2946945863374623,False
Breast cancer specific mortality in estrogen receptor negative breast cancer,2.9264571948998177,0.30637809447204045,False
Mitochondrial DNA copy number,2.9264571948998177,0.30637809447204045,False
Heart rate response to recovery post exercise,2.9264571948998177,0.30637809447204045,False
Mortality in sepsis,2.9264571948998177,0.30637809447204045,False
Coronary artery disease in type 1 diabetes,2.9264571948998177,0.30637809447204045,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.328176449067057,0.30863157271286856,False
Autism spectrum disorder or schizophrenia,1.374417299723757,0.30943026146343433,False
Itch intensity from mosquito bite,1.5510261797026503,0.314818871625436,False
Myeloid white cell count,1.363655831084843,0.31488467465158054,False
Medication use (beta blocking agents),1.8020372321742184,0.31530424930617645,False
Triglyceride levels x short total sleep time interaction (2df test),1.8020372321742184,0.31530424930617645,False
Pneumonia,1.7568493150684932,0.3255603620290668,False
Parental longevity (combined parental age at death),1.7568493150684932,0.3255603620290668,False
"Obstructive sleep apnea trait (apnea hypopnea index, change over time)",2.701134930643127,0.3256351668205395,False
N-glycan levels,2.701134930643127,0.3256351668205395,False
Interleukin-16 levels,2.701134930643127,0.3256351668205395,False
Sense of smell,2.701134930643127,0.3256351668205395,False
antipsychotic drug dosage in schizophrenia or schizoaffective disorder,2.701134930643127,0.3256351668205395,False
