,OR,p,FDR
Protein quantitative trait loci,3.336259284267387,0.0047921731879929435,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),3.3549244377454284,0.012112871041342437,False
Educational attainment (college completion),3.168277515546565,0.015267549718463141,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.599720645487236,0.021746832264229306,False
Glycated hemoglobin levels,2.0385656292286876,0.027731492637408664,False
Loneliness,2.591368846931895,0.03370410546093728,False
Loneliness (linear analysis),4.06864064602961,0.034637305699911754,False
Primary biliary cholangitis,2.0895703395703396,0.03739713615597951,False
Autoimmune traits,1.8454821661092247,0.04819902249166727,False
Basal cell carcinoma,1.8454821661092247,0.04819902249166727,False
Ankylosing spondylitis,2.0364618501012828,0.052542103780893176,False
High light scatter reticulocyte count,1.5019768234492161,0.053579553060490864,False
Family history of Alzheimer's disease,1.9812580980710623,0.05923887879360405,False
High light scatter reticulocyte percentage of red cells,1.49613987284287,0.059678570589033655,False
Mean corpuscular hemoglobin concentration,1.5935966164914828,0.05991031364359859,False
Feeling tense,2.712682379349046,0.060176449128616194,False
Nevus count or cutaneous melanoma,2.3931471578530403,0.08529015299007087,False
Cutaneous psoriasis,3.4853492170237295,0.08767849544138641,False
Loneliness (MTAG),3.4853492170237295,0.08767849544138641,False
Eyebrow thickness,3.4853492170237295,0.08767849544138641,False
Mammographic density (dense area),3.4853492170237295,0.08767849544138641,False
Atypical femoral fracture in phosphonate treatment,3.4853492170237295,0.08767849544138641,False
Keratinocyte cancer (MTAG),1.6591039991986578,0.09466341959992634,False
Platelet count,1.2712196430967395,0.09874518893680752,False
Sum eosinophil basophil counts,1.3690435319112941,0.10626963374728468,False
Abdominal aortic aneurysm,3.0494283792871553,0.11109479396836462,False
Hypothyroidism,1.4078857919782461,0.11140999083802638,False
Eosinophil counts,1.165345777849298,0.11514042439657027,False
Cocaine dependence,2.323783887713901,0.12688472344074803,False
"Facial morphology (factor 14, intercanthal width)",2.323783887713901,0.12688472344074803,False
Hemoglobin A1c levels,1.7800910316925151,0.12891130139571824,False
Melanoma,2.0336700336700337,0.13154122987555864,False
Irritable bowel syndrome,2.7103788388253753,0.13658062339290022,False
"Facial morphology (factor 11, projection of the nose)",2.7103788388253753,0.13658062339290022,False
White matter microstructure (axial diusivities),1.5654885654885655,0.13662794431005418,False
Inflammatory bowel disease,1.2544783983140146,0.14949876010699936,False
Asthma (adult onset),1.4924498535046202,0.15038978799396807,False
Medication use (thyroid preparations),1.388135593220339,0.15467619180094738,False
Stroke,1.6751021379556543,0.15646189015798534,False
Benign prostatic hyperplasia and lower urinary tract symptoms,2.4391392064559514,0.1638143099637503,False
Serum folate levels,2.4391392064559514,0.1638143099637503,False
Stress sensitivity (neuroticism score x major depressive disorder status interaction),2.4391392064559514,0.1638143099637503,False
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded),2.4391392064559514,0.1638143099637503,False
Obesity (early onset extreme),2.4391392064559514,0.1638143099637503,False
Lead levels in blood,2.4391392064559514,0.1638143099637503,False
Hematological parameters,2.4391392064559514,0.1638143099637503,False
Diastolic blood pressure x alcohol consumption interaction (2df test),1.5258271438217421,0.16743577966292353,False
Chin dimples,2.0329744279946165,0.16937861820873623,False
Eudaimonic well-being,2.0329744279946165,0.16937861820873623,False
Fractures,2.0329744279946165,0.16937861820873623,False
Pneumonia,1.6271072151045178,0.17116724180327203,False
Femoral neck bone mineral density,1.6271072151045178,0.17116724180327203,False
Eosinophil percentage of white cells,1.2862670631650603,0.17284351919848234,False
Sum basophil neutrophil counts,1.3004301652680106,0.176386898161361,False
Offspring birth weight,1.3420376233935556,0.18209388328974388,False
Feeling nervous,1.5817786768562223,0.18644551747909405,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.7679695505782462,0.18667457189227435,False
Prostate cancer,1.2725340136054422,0.19074062996966878,False
Hodgkin's lymphoma,1.9132293563454992,0.1922595235193113,False
Lipoprotein (a) levels,1.9132293563454992,0.1922595235193113,False
Red vs. brown/black hair color,1.9132293563454992,0.1922595235193113,False
Heart rate response to beta blockers (atenolol monotherapy),2.2172158708809686,0.19247453426539363,False
Systemic lupus erythematosus and Systemic sclerosis,2.2172158708809686,0.19247453426539363,False
Breast cancer (estrogen-receptor negative),1.6266846361185985,0.19653285990101896,False
Mosaic loss of chromosome Y (Y chromosome dosage),1.5389003298645916,0.2022576072521321,False
LDL cholesterol levels x short total sleep time interaction (2df test),1.5389003298645916,0.2022576072521321,False
Atopic dermatitis,1.5389003298645916,0.2022576072521321,False
Cancer (pleiotropy),1.806789292657395,0.21603049474881253,False
Lymphocyte counts,1.2430804382821832,0.21619335796065348,False
Age at menopause,1.337646208315569,0.21797426879410803,False
Weight gain in amisulpride-treated first-episode psychosis,2.032279757901816,0.22224906482217116,False
White blood cell types,2.032279757901816,0.22224906482217116,False
Self-rated health,2.032279757901816,0.22224906482217116,False
Interleukin-4 levels,2.032279757901816,0.22224906482217116,False
Gut microbiota relative abundance (bacterial taxa),1.6262626262626263,0.2273118856703395,False
Sjögren's syndrome,1.6262626262626263,0.2273118856703395,False
Systolic blood pressure x smoking status (current vs non-current) interaction (2df test),1.5247641509433962,0.2328672172529721,False
Ischemic stroke,1.459740304649273,0.23531485627282678,False
Sum neutrophil eosinophil counts,1.2465398188412444,0.23587192887418834,False
Myringotomy,1.7115534461996176,0.24054025158954967,False
White blood cell count,1.091418431231806,0.2461374462954895,False
Reticulocyte count,1.2176996740125363,0.24734278755755243,False
Neutrophil count,1.2038370454175016,0.24793519593208307,False
Systolic blood pressure x alcohol consumption interaction (2df test),1.3843282510695725,0.2516910815442598,False
Type 2 diabetes (adjusted for BMI),1.423128792987188,0.252471211978958,False
Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),1.8757953546117634,0.25284103467738467,False
Periodontitis (CDC/AAP),1.8757953546117634,0.25284103467738467,False
Body mass index variance,1.8757953546117634,0.25284103467738467,False
Extremely high intelligence,1.8757953546117634,0.25284103467738467,False
White matter microstructure (mode of anisotropy),1.3883032087232539,0.2699846525299884,False
Parental longevity (father's age at death or father's attained age),1.5055493203641352,0.27021860095771477,False
Interleukin-9 levels,1.741665866077433,0.2839732529629604,False
Urolithiasis,1.741665866077433,0.2839732529629604,False
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder,1.741665866077433,0.2839732529629604,False
Albumin-globulin ratio,1.3937235271467077,0.2907225434201769,False
Medication use (beta blocking agents),1.3937235271467077,0.2907225434201769,False
Gamma glutamyl transferase levels,1.3937235271467077,0.2907225434201769,False
Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test),1.4516594516594516,0.2922931005463674,False
Low tan response,1.300944669365722,0.30080755387851954,False
Body mass index (age <50),2.0315860215053765,0.3013836930179539,False
Hair morphology traits,2.0315860215053765,0.3013836930179539,False
Exploratory eye movement dysfunction in schizophrenia (cognitive search score),2.0315860215053765,0.3013836930179539,False
Alcohol consumption (heavy vs. light/non-drinkers),2.0315860215053765,0.3013836930179539,False
Intake of sweets,2.0315860215053765,0.3013836930179539,False
Response to methotrexate in juvenile idiopathic arthritis,2.0315860215053765,0.3013836930179539,False
Seasonality and depression,2.0315860215053765,0.3013836930179539,False
Fibrinogen levels,1.3235114240461667,0.30589417231053273,False
Metabolite levels (small molecules and protein measures),1.4014861256240567,0.31466085774970637,False
Migraine - clinic-based,1.4014861256240567,0.31466085774970637,False
Psoriatic arthritis,1.4014861256240567,0.31466085774970637,False
Hepatocyte growth factor levels,1.6254203093476798,0.3153909588666773,False
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy),1.6254203093476798,0.3153909588666773,False
Self-reported allergy,1.4777927321668909,0.3170275858315329,False
Emphysema annual change measurement in smokers (adjusted lung density),1.4777927321668909,0.3170275858315329,False
HDL cholesterol levels x short total sleep time interaction (2df test),1.2753301050514674,0.3176516533871384,False
Cigarettes smoked per day (MTAG),1.2753301050514674,0.3176516533871384,False
Sunburns,1.2753301050514674,0.3176516533871384,False
Rheumatoid arthritis (ACPA-positive),1.2933243425488874,0.3241954746371858,False
Cognitive decline rate in late mild cognitive impairment,1.2933243425488874,0.3241954746371858,False
Plateletcrit,1.1237342786566855,0.3252466228740178,False
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),1.2402179013264056,0.32707166162718876,False
Granulocyte count,1.1618530723008336,0.3276212056548404,False
Alzheimer's disease or family history of Alzheimer's disease,1.213493344090359,0.33481061615670926,False
Pulmonary function (smoking interaction),1.3546576879910213,0.3372339882333756,False
Systemic sclerosis,1.2644789091181539,0.3426650244060969,False
Primary sclerosing cholangitis,1.4134238398970098,0.34304380832376674,False
Tonometry,1.805704898446834,0.3436701150264376,False
Total intracranial volume,1.805704898446834,0.3436701150264376,False
Cutaneous squamous cell carcinoma,1.805704898446834,0.3436701150264376,False
Metabolite levels (Dihydroxy docosatrienoic acid),1.805704898446834,0.3436701150264376,False
Infant head circumference (MTAG),1.805704898446834,0.3436701150264376,False
Body mass index (adult),1.805704898446834,0.3436701150264376,False
Amyotrophic lateral sclerosis (age of onset),1.805704898446834,0.3436701150264376,False
"Bone mineral density (paediatric, total body less head)",1.805704898446834,0.3436701150264376,False
Lung cancer in never smokers,1.523705447209146,0.3468633540760139,False
Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging),1.523705447209146,0.3468633540760139,False
Response to efavirenz-containing treatment in HIV 1 infection (virologic failure),1.523705447209146,0.3468633540760139,False
Basophil percentage of granulocytes,1.2833735281600227,0.3510839391977174,False
Gut microbiota (bacterial taxa),1.2833735281600227,0.3510839391977174,False
Waist circumference adjusted for BMI in non-smokers,1.227000738420798,0.35182577454832725,False
Cognitive empathy,1.227000738420798,0.35182577454832725,False
Waist circumference adjusted for body mass index,1.052412736623263,0.3521555004421272,False
Diastolic blood pressure (cigarette smoking interaction),1.310850439882698,0.35992771860568923,False
Monocyte count,1.1139688752213215,0.36200784329114816,False
Immature fraction of reticulocytes,1.1488033911277267,0.36471514986725806,False
Celiac disease,1.1781237759498628,0.36510765554792596,False
Obesity (extreme),1.354419021982952,0.369105347732019,False
Red blood cell traits,1.2503628447024673,0.37147194151082624,False
Eczema,1.1062983016335786,0.3724773734879693,False
Mean platelet volume,1.084359325125399,0.37519743069107736,False
White blood cell count (basophil),1.1799133105356014,0.37530652630431127,False
Waist circumference adjusted for BMI (adjusted for smoking behaviour),1.1799133105356014,0.37530652630431127,False
Varicose veins,1.4339570394398513,0.378184189817136,False
Electrocardiographic traits,1.4339570394398513,0.378184189817136,False
Antipsychotic drug-induced QTc interval change in schizophrenia,1.4339570394398513,0.378184189817136,False
Myopia (pathological),1.2104704380138018,0.3799246790626657,False
Asthma onset (childhood vs adult),1.2697811447811447,0.38266100478389337,False
Prostate cancer (early onset),1.625,0.3850880133635941,False
Bone mineral content,1.625,0.3850880133635941,False
Non-alcoholic fatty liver disease histology (other),1.625,0.3850880133635941,False
Suicide attempts in major depressive disorder,1.625,0.3850880133635941,False
TB-LM or TBLH-BMD (pleiotropy),1.625,0.3850880133635941,False
Body mass index in physically inactive individuals,1.625,0.3850880133635941,False
vWF and FVIII levels,1.625,0.3850880133635941,False
Disc degeneration (lumbar),1.625,0.3850880133635941,False
Metabolite levels (HVA/MHPG ratio),1.625,0.3850880133635941,False
Left atrial antero-posterior diameter,1.625,0.3850880133635941,False
Lumbar spine bone mineral density,1.2190026954177897,0.3918955042887913,False
Basophil percentage of white cells,1.2190026954177897,0.3918955042887913,False
Non-albumin protein levels,1.2190026954177897,0.3918955042887913,False
Diastolic blood pressure x smoking status (ever vs never) interaction (2df test),1.3001345895020189,0.3950960163511787,False
Myeloid white cell count,1.1022238575995216,0.3981372635038159,False
Eosinophil percentage of granulocytes,1.0919654445165476,0.4014900137460814,False
Bone mineral density (spine),1.354180676978256,0.4091716342142861,False
Acne (severe),1.354180676978256,0.4091716342142861,False
Clopidogrel active metabolite levels,1.354180676978256,0.4091716342142861,False
Bladder cancer,1.354180676978256,0.4091716342142861,False
Trauma exposure in major depressive disorder-negative individuals,1.354180676978256,0.4091716342142861,False
Ulcerative colitis,1.0800083668880405,0.41380573404199855,False
Leprosy,1.250025882596542,0.4209089595303548,False
Arterial stiffness index,1.250025882596542,0.4209089595303548,False
Takayasu arteritis,1.250025882596542,0.4209089595303548,False
Interleukin-5 levels,1.4771505376344085,0.4253195957991251,False
Age of smoking initiation,1.4771505376344085,0.4253195957991251,False
Systemising,1.4771505376344085,0.4253195957991251,False
Breast cancer specific mortality in estrogen receptor negative breast cancer,1.4771505376344085,0.4253195957991251,False
Testosterone levels,1.4771505376344085,0.4253195957991251,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,1.4771505376344085,0.4253195957991251,False
Breast Cancer in BRCA1 mutation carriers,1.4771505376344085,0.4253195957991251,False
Alzheimer's disease or HDL levels (pleiotropy),1.4771505376344085,0.4253195957991251,False
Obese vs. thin,1.4771505376344085,0.4253195957991251,False
Trauma exposure in major depressive disorder,1.4771505376344085,0.4253195957991251,False
Logical memory (delayed recall) in normal cognition,1.4771505376344085,0.4253195957991251,False
Mitochondrial DNA copy number,1.4771505376344085,0.4253195957991251,False
Pediatric autoimmune diseases,1.1948900772430184,0.42794361266895287,False
Myocardial infarction,1.1948900772430184,0.42794361266895287,False
Osteoarthritis of the hip or knee,1.2828018263547234,0.4396676035999155,False
Hallux valgus,1.2828018263547234,0.4396676035999155,False
Hematology traits,1.2828018263547234,0.4396676035999155,False
Dupuytren's disease,1.2828018263547234,0.4396676035999155,False
Red blood cell count,1.0221593131621078,0.4428537650262576,False
Lymphocyte percentage of white cells,1.0779296146352921,0.4445305932491966,False
Prostate-specific antigen levels,1.2036289317581377,0.44644693690747295,False
Systolic blood pressure x smoking status (ever vs never) interaction (2df test),1.2036289317581377,0.44644693690747295,False
Medication use (drugs used in diabetes),1.133673917131574,0.45283735123958146,False
Serum metabolite levels (CMS),1.115161371359063,0.4545057026023498,False
Vitiligo,1.1016720419039776,0.4556608561809181,False
Urinary albumin-to-creatinine ratio,1.0833333333333333,0.4570395505975752,False
Potassium levels,1.353942652329749,0.4641271060569642,False
Blood sugar levels,1.353942652329749,0.4641271060569642,False
"Obstructive sleep apnea trait (apnea hypopnea index, change over time)",1.353942652329749,0.4641271060569642,False
Body mass index x sex x age interaction (4df test),1.353942652329749,0.4641271060569642,False
IgA levels,1.353942652329749,0.4641271060569642,False
Panic disorder,1.353942652329749,0.4641271060569642,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.218560860793544,0.4695367063955595,False
Iris color (a* coordinate),1.218560860793544,0.4695367063955595,False
Psoriasis vulgaris,1.1605460488367623,0.4716224134788818,False
Age-related disease endophenotypes,1.1605460488367623,0.4716224134788818,False
Yeast infection,1.1605460488367623,0.4716224134788818,False
Medication use (calcium channel blockers),1.0689900426742531,0.47226920966795405,False
Body mass index (joint analysis main effects and physical activity interaction),1.0936251880284247,0.4729283630692054,False
Mean corpuscular hemoglobin,1.0114102520962132,0.479439725715471,False
FEV1,1.0398914518317504,0.4817130154778235,False
Neutrophil percentage of granulocytes,1.0398914518317504,0.4817130154778235,False
Neutrophil percentage of white cells,1.0482343183901524,0.48531297460079614,False
Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),1.0653746598526581,0.4898240557134226,False
"Age-related diseases, mortality and associated endophenotypes",1.0977340977340977,0.4943995619897924,False
Snoring,1.0977340977340977,0.4943995619897924,False
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL),1.1204343992203092,0.4963574911280551,False
Stem cell growth factor beta levels,1.1204343992203092,0.4963574911280551,False
Total body bone mineral density,1.0353127032803642,0.4975108655878076,False
