,OR,p,FDR
Mean corpuscular hemoglobin concentration,2.2015186028853453,0.008856430712225772,False
Mammographic density (dense area),6.03037120359955,0.02473938352156044,False
Age at menopause,2.0993036168972603,0.024884097562849913,False
LDL cholesterol levels x short total sleep time interaction (2df test),2.667674454115132,0.02493942186895973,False
Family history of Alzheimer's disease,2.530465015210778,0.031085142011287422,False
HDL cholesterol levels x short total sleep time interaction (2df test),2.21187117380889,0.04057658604124032,False
Glycated hemoglobin levels,2.169161155586495,0.04420656040610807,False
Lead levels in blood,4.220247469066367,0.05082187955120017,False
Pneumonia,2.3476297968397293,0.05771755217260964,False
Myringotomy,2.962778568041726,0.06269390106942965,False
Mean corpuscular hemoglobin,1.2395727492504591,0.06879759692540506,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),2.8144144144144145,0.07143722849094825,False
Ischemic stroke,2.1121896162528215,0.08270415177568319,False
Type 2 diabetes (adjusted for BMI),2.060507625392281,0.08975726671449541,False
Platelet count,1.3565785773331174,0.09178727044991002,False
Asthma onset (childhood vs adult),2.1991262683201804,0.09643688902079511,False
LDL cholesterol levels x long total sleep time interaction (2df test),2.1991262683201804,0.09643688902079511,False
Asthma (adult onset),1.7888386123680242,0.09825808856433423,False
Autism spectrum disorder or schizophrenia,1.527758816837315,0.10484698567048142,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),2.3445945945945947,0.11208412049531065,False
Mouth ulcers,1.7920287621982538,0.11634072829073382,False
Menopause (age at onset),1.707116412998766,0.1175428500961764,False
Parental lifespan,2.6363892013498313,0.12862037538917734,False
Stroke,1.954152574220218,0.134168410346571,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.4100342075256556,0.13532305599446215,False
Eyebrow thickness,3.513483146067416,0.1395615272178218,False
Cutaneous psoriasis,3.513483146067416,0.1395615272178218,False
Plateletcrit,1.3505039193729003,0.14306323097778365,False
Feeling tense,2.4811089790246807,0.14424102660481247,False
Myopia (pathological),1.7590293453724606,0.14764735470629803,False
Feeling nervous,1.8510057556518127,0.15516052696417915,False
Vitiligo,1.6420338983050848,0.15617324345284975,False
Cutaneous squamous cell carcinoma,3.1228464419475657,0.16338258464787958,False
Inflammatory bowel disease,1.3005593923419967,0.16905945794559865,False
Cancer (pleiotropy),2.2195843940560063,0.17716491151019287,False
Psoriatic arthritis,1.8747747747747747,0.18746505582216835,False
Bone mineral content,2.8103370786516852,0.18784499875163374,False
Prostate cancer (early onset),2.8103370786516852,0.18784499875163374,False
IgE levels,2.8103370786516852,0.18784499875163374,False
California verbal learning test score,2.8103370786516852,0.18784499875163374,False
Suicide attempts in major depressive disorder,2.8103370786516852,0.18784499875163374,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),2.1084364454443194,0.1943355630747207,False
Lymphocyte counts,1.3265568580897265,0.20512238671785293,False
Sum basophil neutrophil counts,1.3409090909090908,0.20744099551528344,False
Bitter beverage consumption,2.0078740157480315,0.21189246802264874,False
Serum folate levels,2.5546475995914197,0.2127582931547214,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,2.5546475995914197,0.2127582931547214,False
Systemising,2.5546475995914197,0.2127582931547214,False
LDL cholesterol levels in current drinkers,1.635117065624918,0.21281403894057316,False
Breast cancer (estrogen-receptor negative),1.7573198198198199,0.21551625582283024,False
Primary biliary cholangitis,1.597827200983909,0.2250875215869496,False
"Obstructive sleep apnea trait (apnea hypopnea index, change over time)",2.3415730337078653,0.23795444658688236,False
Systemic lupus erythematosus and Systemic sclerosis,2.3415730337078653,0.23795444658688236,False
Medication use (thyroid preparations),1.3469313992433918,0.2460893588661387,False
Self-reported allergy,1.8329828336675307,0.24791784946179987,False
Eosinophil counts,1.1209695249850518,0.24817309159368897,False
Rheumatoid arthritis (ACPA-positive),1.5281113670898485,0.25022612923900656,False
Alzheimer's disease or family history of Alzheimer's disease,1.4063276836158192,0.2508811252487828,False
Hemoglobin A1c levels,1.6063063063063063,0.25947815202873387,False
Basal cell carcinoma,1.4298121437043272,0.2630512009782977,False
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),2.1612791702679344,0.2632857535907028,False
White blood cell types,2.1612791702679344,0.2632857535907028,False
Mental health study participation (completed survey),1.7564679415073117,0.2662686438019528,False
Periodontitis (CDC/AAP),2.006741573033708,0.2886228698422727,False
Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),2.006741573033708,0.2886228698422727,False
Extremely high intelligence,2.006741573033708,0.2886228698422727,False
Albumin-globulin ratio,1.519235451667884,0.28968317495641543,False
Red blood cell count,1.0863117009224794,0.30033919519199626,False
Loneliness,1.6210954399930777,0.3033722797597318,False
"Age-related diseases, mortality and associated endophenotypes",1.4791370317686108,0.30496565575264356,False
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder,1.872808988764045,0.31385302732240894,False
Whole brain grey matter density,1.872808988764045,0.31385302732240894,False
Blood metabolite ratios,1.4410949410949412,0.32033028434326005,False
HDL cholesterol levels x long total sleep time interaction (2df test),1.4410949410949412,0.32033028434326005,False
Takayasu arteritis,1.5609298837645293,0.3220240829875918,False
Gut microbiota relative abundance (bacterial taxa),1.5609298837645293,0.3220240829875918,False
Leprosy,1.5609298837645293,0.3220240829875918,False
Diastolic blood pressure x alcohol consumption interaction (2df test),1.3511404041280028,0.3290007158374026,False
White blood cell count (basophil),1.2972043757596805,0.33371732357520845,False
Visceral adipose tissue adjusted for BMI,1.404954954954955,0.3357498358821577,False
Cocaine dependence,1.7556179775280898,0.33887840528567614,False
Bronchopulmonary dysplasia,1.7556179775280898,0.33887840528567614,False
"Facial morphology (factor 14, intercanthal width)",1.7556179775280898,0.33887840528567614,False
Calcific aortic valve stenosis,1.7556179775280898,0.33887840528567614,False
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy),1.7556179775280898,0.33887840528567614,False
Protein quantitative trait loci,1.5050618672665916,0.3406801684402748,False
Sum neutrophil eosinophil counts,1.1912448595257312,0.34642618916981593,False
Red blood cell traits,1.3705778949681389,0.3511980920173413,False
"Medication use (adrenergics, inhalants)",1.3705778949681389,0.3511980920173413,False
Tonsillectomy,1.1713961407491487,0.35379268725389723,False
Hypothyroidism,1.181139122315593,0.3554247064362864,False
Age-related disease endophenotypes,1.4530468174236841,0.35929754064572994,False
Ejection fraction in Tripanosoma cruzi seropositivity,1.6522141440846,0.36361464410660094,False
Eosinophilic esophagitis,1.6522141440846,0.36361464410660094,False
Lung cancer in never smokers,1.6522141440846,0.36361464410660094,False
Response to efavirenz-containing treatment in HIV 1 infection (virologic failure),1.6522141440846,0.36361464410660094,False
Glucose homeostasis traits,1.337837837837838,0.36664989888502963,False
Systemic lupus erythematosus,1.109960255329399,0.3723590097119778,False
Sum eosinophil basophil counts,1.1395577395577396,0.37652446409327106,False
Nonatopic asthma,1.254227733934611,0.3828444632172576,False
Mean corpuscular volume,1.0894081960337398,0.3876038344200154,False
Fractures,1.5602996254681647,0.38798949049436526,False
Varicose veins,1.5602996254681647,0.38798949049436526,False
Major depressive disorder in trauma-unexposed individuals,1.5602996254681647,0.38798949049436526,False
Age at loss of ambulation in Duchenne muscular dystrophy,1.5602996254681647,0.38798949049436526,False
Celiac disease and Rheumatoid arthritis,1.5602996254681647,0.38798949049436526,False
Response to paliperidone in schizophrenia (Multivariate),1.5602996254681647,0.38798949049436526,False
Chin dimples,1.5602996254681647,0.38798949049436526,False
Migraine - clinic-based,1.359084146739722,0.3962592435538263,False
White matter microstructure (axial diusivities),1.2321248442413815,0.3963138240127899,False
Neutrophil count,1.1166465984346778,0.4012448918449143,False
LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),1.210784123158263,0.4097551696050543,False
