,OR,p,FDR
"Allergic disease (asthma, hay fever or eczema)",4.649584987369181,0.000571385159226497,False
Chronic lymphocytic leukemia,7.973321858864027,0.0006535100025298552,False
Eczema,3.969903924065285,0.0014959953352312787,False
Serum uric acid levels,5.166433566433566,0.0016229696399023934,False
Asthma,2.8952400662251656,0.002567810518816766,False
Eosinophil percentage of white cells,3.7378048780487805,0.00392368354011905,False
Multiple sclerosis,2.728515625,0.00393020553099613,False
Sum eosinophil basophil counts,3.5895504543280725,0.004833394795488258,False
Hay fever and/or eczema,4.01025641025641,0.005301807409796537,False
Eosinophil counts,2.104206271386549,0.005858495700165362,False
B-cell acute lymphoblastic leukaemia,19.24852071005917,0.007021587247627959,False
Red blood cell count,1.9669023136246786,0.007449312574039292,False
Endometrial cancer,7.999384236453202,0.008057222652191007,False
Adventurousness,4.279425393883225,0.008177662450551059,False
Idiopathic osteonecrosis of the femoral head,17.108481262327416,0.008509231765039045,False
"Parental longevity (combined parental attained age, Martingale residuals)",7.732142857142857,0.00877975165540261,False
Neutrophil percentage of granulocytes,3.470707070707071,0.010116681471878289,False
Balding type 1,3.027657997574451,0.011306818945571154,False
Neutrophil percentage of white cells,3.891566265060241,0.011778154835760668,False
Pulse pressure,2.072874782051738,0.012489152088928458,False
Lymphocyte counts,3.2288401253918497,0.01384205171981307,False
Eosinophil percentage of granulocytes,3.206475716064757,0.014260843505182183,False
Lymphocyte percentage of white cells,3.66958399636281,0.014701152667094292,False
Alcohol consumption (drinks per week) (MTAG),3.56775726760252,0.01633020547584319,False
Diastolic blood pressure,2.0348476509731324,0.017611619162871416,False
Gastric cancer,10.2603550295858,0.019997588269384126,False
Mitochondrial DNA levels,10.2603550295858,0.019997588269384126,False
Highest math class taken,2.6682034503271863,0.020579791732793496,False
Caudate nucleus volume,9.618343195266272,0.022308088215822135,False
Nasal polyps,9.618343195266272,0.022308088215822135,False
Smoking behaviour (cigarettes smoked per day),5.266233766233766,0.02288034754173287,False
Heel bone mineral density,1.6574345401266661,0.02418115059804494,False
Endometrial cancer (endometrioid histology),7.6923076923076925,0.032565005583944984,False
Respiratory diseases,3.4030400736987563,0.034947155451354316,False
Resting-state electroencephalogram vigilance,6.687419603807563,0.04124090869792968,False
Systemic lupus erythematosus,2.2825543422798247,0.041282564856623044,False
Fat-free mass,2.7316307483454945,0.04247476224098409,False
Self-reported allergy,6.408284023668639,0.044305151683064606,False
Medication use (thyroid preparations),3.126111413536563,0.04488129686610639,False
Anorexia nervosa,6.151479289940829,0.0474510550567844,False
Uterine fibroids,3.793618266978923,0.050203744755566895,False
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),5.914428766499772,0.050676014116211685,False
Height,1.384694335749567,0.05176074974121546,False
Number of sexual partners,3.6726190476190474,0.05413115424319509,False
Arterial stiffness index,5.491124260355029,0.0573529450866036,False
Selective IgA deficiency,5.491124260355029,0.0573529450866036,False
Waist-to-hip ratio adjusted for BMI,1.6462825968981178,0.06034242758515497,False
Systolic blood pressure x smoking status (ever vs never) interaction (2df test),5.301367067945317,0.06079996944171613,False
Prostate-specific antigen levels,5.301367067945317,0.06079996944171613,False
Psoriasis vulgaris,5.124260355029586,0.06431615256218912,False
Response to paliperidone in schizophrenia (negative Marder score),5.124260355029586,0.06431615256218912,False
White blood cell count (basophil),3.4012605042016806,0.06456999603969912,False
Urate levels,2.186427656850192,0.06567327878743204,False
Psoriasis,2.711629372833281,0.06732531248216223,False
Atopic asthma,2.711629372833281,0.06732531248216223,False
General risk tolerance (MTAG),2.37582230763545,0.06761932975135405,False
Monobrow,4.803254437869822,0.0715466506103872,False
Age of smoking initiation (MTAG),2.6414862582527254,0.07239997660648964,False
Inflammatory bowel disease,2.1255292652552926,0.07276040997205835,False
Tuberculosis,3.1670743639921723,0.07586109916381369,False
Male-pattern baldness,1.8698944343116122,0.07620581986162128,False
Mean corpuscular volume,1.9072528883183568,0.08587890676683327,False
Systolic blood pressure x smoking status (current vs non-current) interaction (2df test),4.268244575936883,0.08673743814242252,False
Subcutaneous adipose tissue,4.268244575936883,0.08673743814242252,False
Mean arterial pressure,2.470898203592814,0.08685256973468525,False
Response to antipsychotic treatment,4.152566767951384,0.09067464485339964,False
White blood cell count,1.53463097412142,0.09131897759328307,False
Aspartate aminotransferase levels,4.042977265649331,0.09466353874394888,False
