,OR,p,FDR
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.0768643378003038,0.405194611130148,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.0770147198983373,0.4404804185496893,False
KEGG_OTHER_GLYCAN_DEGRADATION,1.18208516886931,0.4816773010578181,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.0128719139058873,0.5380784994398854,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1.0427021653628388,0.550467972449593,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.9923866171003718,0.5527360008358165,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.9608035153797866,0.6014229795852495,False
KEGG_COLORECTAL_CANCER,0.93984644855725,0.6279100738636442,False
KEGG_PROTEIN_EXPORT,0.9325573301365095,0.6343276154748344,False
KEGG_LYSOSOME,0.9216536167039523,0.6754168632068795,False
KEGG_PRION_DISEASES,0.8855776306107432,0.6775335029408963,False
KEGG_GALACTOSE_METABOLISM,0.8433924635247192,0.7078293071821431,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.8612997669740485,0.7109299318424289,False
KEGG_ENDOMETRIAL_CANCER,0.8428150021070375,0.7369730212944846,False
KEGG_ACUTE_MYELOID_LEUKEMIA,0.8463982031124659,0.738345180996381,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.8889431899784569,0.7646570548013805,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.8041700187717887,0.7804831521781032,False
KEGG_THYROID_CANCER,0.7375091844232182,0.7974593398357306,False
KEGG_PANCREATIC_CANCER,0.8065896448438169,0.7979834979627947,False
KEGG_VEGF_SIGNALING_PATHWAY,0.7983393777438442,0.8141243035058873,False
KEGG_SULFUR_METABOLISM,0.64396161023727,0.8157791085037269,False
KEGG_APOPTOSIS,0.7964110589462702,0.8283548405948711,False
KEGG_ADHERENS_JUNCTION,0.765779748706578,0.8447532314097002,False
KEGG_BLADDER_CANCER,0.7074319352465048,0.8480629567934596,False
KEGG_SMALL_CELL_LUNG_CANCER,0.7680301226144884,0.855478477735779,False
