,OR,p,FDR
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,3.9497142857142857,0.026777647931794962,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.5553207547169812,0.27303346441275467,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,1.8697691197691197,0.30809994156439635,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1.5053930618987466,0.3363712248599109,False
KEGG_PROSTATE_CANCER,1.2241824440619622,0.3994762933666663,False
KEGG_PANCREATIC_CANCER,1.2458181818181817,0.4117879410969634,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.1909565217391305,0.4434780386962669,False
KEGG_ADHERENS_JUNCTION,0.8767785998861696,0.667820397970426,False
KEGG_PATHWAYS_IN_CANCER,0.845954356846473,0.7561220330739362,False
KEGG_COLORECTAL_CANCER,0.6805555555555556,0.7918605580089884,False
KEGG_BASE_EXCISION_REPAIR,0.6011392699372239,0.8123072821722519,False
KEGG_PRION_DISEASES,0.6011392699372239,0.8123072821722519,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.6275946275946276,0.8263845239979792,False
KEGG_RENAL_CELL_CARCINOMA,0.5995564892623716,0.8445500473706369,False
KEGG_MELANOMA,0.590752242926156,0.8502123864783205,False
KEGG_LEISHMANIA_INFECTION,0.5821995464852607,0.8556870018333619,False
KEGG_MELANOGENESIS,0.6228555167086754,0.8565149193415531,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6164433176385368,0.8610625276920701,False
KEGG_BLADDER_CANCER,0.4978309071628266,0.8658592339966491,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.44328922495274103,0.8945035695778074,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.44328922495274103,0.8945035695778074,False
KEGG_MTOR_SIGNALING_PATHWAY,0.3994419902348291,0.9170500792363693,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.38421955403087477,0.9246610502991603,False
KEGG_WNT_SIGNALING_PATHWAY,0.5544109589041096,0.9248672815339437,False
KEGG_CELL_CYCLE,0.5021895887524283,0.933647100758612,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.535523178807947,0.9358416823728601,False
KEGG_GLIOMA,0.3175024703557312,0.9556538704790766,False
KEGG_PPAR_SIGNALING_PATHWAY,0.2985933503836317,0.9634371074854069,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.2740626001495567,0.9726348248904747,False
KEGG_SMALL_CELL_LUNG_CANCER,0.24391637697033192,0.982292179068882,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.2409655561829475,0.9831289765599832,False
KEGG_HUNTINGTONS_DISEASE,0.3395232628806807,0.991690576678881,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.3225163860686287,0.9941648637570304,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.18831960400428502,0.9944730303257069,False
KEGG_TIGHT_JUNCTION,0.15309416769755302,0.9982841480501584,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.14732039060683563,0.9986561530870794,False
KEGG_MAPK_SIGNALING_PATHWAY,0.22369612459253893,0.9997672049524268,False
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.07196301212023978,0.999998326825739,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_ENDOCYTOSIS,0.0,1.0,False
KEGG_VEGF_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_AXON_GUIDANCE,0.0,1.0,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_APOPTOSIS,0.0,1.0,False
