,OR,p,FDR
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,2.398491879350348,0.0010219055744271352,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,2.0133621132696065,0.0013662608676391378,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,2.113914373088685,0.01063901432187223,False
KEGG_LEISHMANIA_INFECTION,2.2769931662870158,0.013039087563611055,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.6570981478631164,0.07148360998659406,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.7418454561311705,0.08344994097936446,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.8460404477818215,0.09079151123740663,False
KEGG_APOPTOSIS,1.6388157894736841,0.09649314391409064,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.5888716063348416,0.13986691897516643,False
KEGG_ADHERENS_JUNCTION,1.5888716063348416,0.13986691897516643,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.4147597254004576,0.1477613557858619,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.6116473616473617,0.1707319159061123,False
KEGG_LYSOSOME,1.3603500761035008,0.18882016902316212,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.4509372979961215,0.19524490018869997,False
KEGG_FOCAL_ADHESION,1.2648252083630378,0.19612544045209818,False
KEGG_SMALL_CELL_LUNG_CANCER,1.3528506787330317,0.2474203556682193,False
KEGG_VEGF_SIGNALING_PATHWAY,1.3251892178993494,0.28127991768881255,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.3132882882882884,0.3073864158277478,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.4511077433787978,0.321006704449356,False
KEGG_TYPE_II_DIABETES_MELLITUS,1.33888532991672,0.3398158977043658,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.1171916841131506,0.3906288729681944,False
KEGG_ERBB_SIGNALING_PATHWAY,1.1381546989741977,0.42026261650535657,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.1460144595954973,0.4565305359917001,False
KEGG_VIRAL_MYOCARDITIS,1.0521067415730336,0.5160915557834347,False
KEGG_PANCREATIC_CANCER,1.0521067415730336,0.5160915557834347,False
KEGG_N_GLYCAN_BIOSYNTHESIS,1.0687120485778203,0.5268714053038058,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.0199506375976963,0.5291772939342304,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.0436501742885387,0.5442719176393271,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1.1220489977728285,0.5481070302103115,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.9894249834765367,0.5719248574642473,False
KEGG_COLORECTAL_CANCER,0.983596884588152,0.5816737404972904,False
KEGG_GNRH_SIGNALING_PATHWAY,0.9641010704143305,0.592718221746104,False
KEGG_ENDOMETRIAL_CANCER,0.9340044742729307,0.6259366248897676,False
KEGG_MTOR_SIGNALING_PATHWAY,0.9340044742729307,0.6259366248897676,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.8962863534675615,0.6558767122418208,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.9097948122338366,0.6587583653843936,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.8888532991672005,0.6645413388315109,False
KEGG_SULFUR_METABOLISM,0.9344444444444444,0.6709745176056997,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.9075908746134547,0.6802433915517315,False
KEGG_RENAL_CELL_CARCINOMA,0.8611590203518454,0.6896613359439343,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.8497795477172522,0.7067527714525577,False
KEGG_ABC_TRANSPORTERS,0.8194141986062717,0.7108143473916648,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.8001909004136175,0.7173914225230222,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.7471111111111111,0.7455211606930063,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.7874376302659003,0.7571581861738682,False
KEGG_TIGHT_JUNCTION,0.8169628076371261,0.7647229644701343,False
KEGG_GLIOMA,0.7330472732607181,0.7909506065226943,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.7842548076923077,0.8013793001568499,False
KEGG_ENDOCYTOSIS,0.7907697699181842,0.8185321971401538,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.6707142857142857,0.8209437841061012,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.7157640565712314,0.8212807235418746,False
KEGG_ECM_RECEPTOR_INTERACTION,0.7065618436737242,0.8292236622496596,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.621380846325167,0.8300876994850078,False
KEGG_LONG_TERM_DEPRESSION,0.6768354687817775,0.836538481956977,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6665998864736719,0.8445866110049517,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.5587973273942094,0.86968492122825,False
KEGG_GAP_JUNCTION,0.6558955420733316,0.8710401037776643,False
KEGG_DILATED_CARDIOMYOPATHY,0.6558955420733316,0.8710401037776643,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.4864734299516908,0.8718261568128225,False
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.4864734299516908,0.8718261568128225,False
KEGG_PROTEIN_EXPORT,0.4864734299516908,0.8718261568128225,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.690009974276865,0.8837943718428988,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.44737777777777776,0.8920393551190666,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.44737777777777776,0.8920393551190666,False
KEGG_GALACTOSE_METABOLISM,0.44737777777777776,0.8920393551190666,False
