,OR,p,FDR
KEGG_LEISHMANIA_INFECTION,2.386724386724387,0.003703083346669876,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.6468813537089264,0.011500624792495931,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.7922812560035861,0.027491525118071698,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.6309766776562526,0.042491483228703955,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.663743676222597,0.04605987070126388,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.7627659574468084,0.0834816736045179,False
KEGG_APOPTOSIS,1.5912016180932242,0.08364520859504576,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.6271762461244932,0.1043221210568947,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.5782767956681,0.10739743750581067,False
KEGG_TYPE_II_DIABETES_MELLITUS,1.6965669988925802,0.13034968596815982,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.2994957301776346,0.16533914904141875,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.4028505949204157,0.22469121551391932,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.336786801531965,0.23275619085014973,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.3741046831955923,0.3281033269281016,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.1284316318434278,0.38784084362402316,False
KEGG_ASTHMA,1.2673267326732673,0.41210404884114266,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1.3003555016040926,0.43207608657422863,False
KEGG_VEGF_SIGNALING_PATHWAY,1.1065885216181985,0.4424787419037043,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.0289429530201342,0.5035554447196906,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.0451932711068923,0.5101177416764429,False
KEGG_ADHERENS_JUNCTION,1.012624584717608,0.5429354914103129,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.012624584717608,0.5429354914103129,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.0073658602513853,0.5577663819682483,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.9348229388334152,0.6348690277369871,False
KEGG_PANCREATIC_CANCER,0.9130274553160125,0.6472718142431004,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.8557162534435262,0.6950340528720323,False
KEGG_SMALL_CELL_LUNG_CANCER,0.8641370869033048,0.7038678401387216,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.8380839939281498,0.7109440321945955,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.8527419424429391,0.7165082836456526,False
KEGG_ABC_TRANSPORTERS,0.8214521452145215,0.7176417151390432,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.8048938583697942,0.7409876502096854,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.7820210592487821,0.7501126088319812,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.7940610980559709,0.7611683316172437,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.7636810192647172,0.765239907713871,False
KEGG_SULFUR_METABOLISM,0.6850027367268746,0.7753209645554135,False
KEGG_LYSOSOME,0.8193656093489149,0.7757842783739379,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.7461746174617462,0.7796440575900339,False
KEGG_ALLOGRAFT_REJECTION,0.7244888070549472,0.7809774648447069,False
KEGG_VIRAL_MYOCARDITIS,0.7689362582781457,0.7853129035280005,False
KEGG_GALACTOSE_METABOLISM,0.684484649122807,0.7899419834792996,False
KEGG_COLORECTAL_CANCER,0.7192982456140351,0.8172100136967544,False
KEGG_ENDOMETRIAL_CANCER,0.6834433443344334,0.8303540790707312,False
KEGG_MTOR_SIGNALING_PATHWAY,0.6834433443344334,0.8303540790707312,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.5476737821565407,0.8408900917289059,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.6558415841584159,0.8518371381931245,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.5659029038112523,0.864627649333979,False
KEGG_GNRH_SIGNALING_PATHWAY,0.7037473654127818,0.8702337826334495,False
KEGG_RENAL_CELL_CARCINOMA,0.6297520661157024,0.8896519585281438,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.5125411184210527,0.896864357007369,False
KEGG_ENDOCYTOSIS,0.7368634200668219,0.8968900886355423,False
KEGG_ERBB_SIGNALING_PATHWAY,0.6054697081187147,0.9218158891603793,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.6632791327913279,0.9234813009203542,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.4552266081871345,0.9288105987963279,False
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.7352117801853252,0.9324314235086023,False
KEGG_DILATED_CARDIOMYOPATHY,0.5834910122989593,0.9356816590706309,False
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.35660741058042406,0.9366654151476448,False
KEGG_PROTEIN_EXPORT,0.35660741058042406,0.9366654151476448,False
KEGG_MAPK_SIGNALING_PATHWAY,0.7289046230737193,0.9376976818217282,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.6418635170603675,0.9384166834914757,False
