,OR,p,FDR
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.485065901360544,0.0012584745841575876,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.7962538226299694,0.0020511099339867193,False
KEGG_LEISHMANIA_INFECTION,2.257647693552738,0.0049154259283608155,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,2.327993201561123,0.006313761131411535,False
KEGG_PRIMARY_IMMUNODEFICIENCY,2.909251101321586,0.007193547780217758,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.8085602987573242,0.011643324610946033,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.7620689655172415,0.019114856759538786,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1.6308719433719434,0.023931359265365274,False
KEGG_APOPTOSIS,1.7684612123781263,0.03149110931625139,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.5407332454819278,0.0336068548853187,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.6674734652897303,0.03744633176923143,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.7037259615384615,0.0519878145180319,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.5641174923937948,0.07066443934266468,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.540600493642016,0.14944364689835213,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.4734529841990964,0.14947141529165536,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.2871189363595905,0.19097591179744655,False
KEGG_VIRAL_MYOCARDITIS,1.348678963110668,0.22803174690374647,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1.2226923076923077,0.3187620228387637,False
KEGG_PANCREATIC_CANCER,1.2036221243269702,0.34644712290862834,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.228871374723529,0.35379253901901014,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,1.2370385818561,0.38324439543669403,False
KEGG_ADHERENS_JUNCTION,1.1456075332727316,0.39786567000823164,False
KEGG_TYPE_I_DIABETES_MELLITUS,1.1696981653186034,0.42897720091244496,False
KEGG_ALLOGRAFT_REJECTION,1.126548833819242,0.476282043018352,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,1.3107270088402163,0.48258948402968627,False
