,OR,p,FDR
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.268528761061947,0.1637633858301745,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.2674931129476583,0.20033693529510327,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.1725844301601878,0.294130652504602,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.1648101265822786,0.3135426759609605,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.1863869863013699,0.34399718457452333,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.1054274791924572,0.3577096612558909,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.0749725726823918,0.4515462622466432,False
KEGG_OTHER_GLYCAN_DEGRADATION,1.1493683428288333,0.49137312776879316,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.97165991902834,0.5908291366441757,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.9647258733569893,0.5986900773755485,False
KEGG_APOPTOSIS,0.9624501783092091,0.6034582327791606,False
KEGG_RENAL_CELL_CARCINOMA,0.9410903295969678,0.6334555709700493,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.8838170865279299,0.7026413808413275,False
KEGG_LYSOSOME,0.9072287958635776,0.7123238199251876,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.8420574336604871,0.7148918567693493,False
KEGG_PROTEIN_EXPORT,0.8420574336604871,0.7148918567693493,False
KEGG_ENDOMETRIAL_CANCER,0.8414522897281518,0.7517189343564842,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.8798021328536554,0.7566402115642952,False
KEGG_LEISHMANIA_INFECTION,0.8410171972191731,0.7754890286434313,False
KEGG_GLIOMA,0.8238453276047261,0.7887534254194308,False
KEGG_COLORECTAL_CANCER,0.8051296997959778,0.806676324979829,False
KEGG_PANCREATIC_CANCER,0.8090127200654116,0.8125788113940924,False
KEGG_PRION_DISEASES,0.7478570273330098,0.8175103460722293,False
KEGG_VEGF_SIGNALING_PATHWAY,0.7823346833718158,0.8501691705571783,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.7203813691778681,0.8776823649971052,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.7203813691778681,0.8776823649971052,False
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.5938741509675766,0.8868380808569902,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.6814355338945502,0.8957547372969272,False
KEGG_GALACTOSE_METABOLISM,0.6007525626054236,0.8989593578954684,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.6305237315875614,0.9048736675351707,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.5607601065117405,0.9081122519791226,False
KEGG_MTOR_SIGNALING_PATHWAY,0.6762325141020683,0.9081958068226814,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.5733217735942532,0.9168195960921992,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.4589969334256603,0.9195914325653112,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.6599885443515843,0.9206535110891458,False
KEGG_LONG_TERM_POTENTIATION,0.6868244084682441,0.9262377862572038,False
KEGG_ERBB_SIGNALING_PATHWAY,0.7032092903059082,0.933128868180805,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.7846448467966574,0.9334280310926736,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.6651511707206184,0.93650616496023,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.6129570313076593,0.9366538983595933,False
KEGG_GNRH_SIGNALING_PATHWAY,0.7003383882692067,0.9468264414312642,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6040700218818381,0.9616577248115513,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.679970215934475,0.9628016828183789,False
KEGG_PROTEASOME,0.5301080211445645,0.9707316367741035,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.3363075807036634,0.9734166698114324,False
KEGG_ADHERENS_JUNCTION,0.596728980637496,0.9736844828429491,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.5036552100381888,0.973788957358684,False
KEGG_BLADDER_CANCER,0.5036552100381888,0.973788957358684,False
KEGG_FOLATE_BIOSYNTHESIS,0.25236541598694945,0.9745244051479138,False
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.25236541598694945,0.9745244051479138,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.5470420527441198,0.9756428046523905,False
KEGG_HOMOLOGOUS_RECOMBINATION,0.4200254175744372,0.9759886840576892,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.3781437125748503,0.9769111011109624,False
KEGG_MISMATCH_REPAIR,0.3781437125748503,0.9769111011109624,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.7282467532467533,0.9786461985589759,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.5634731895136176,0.9818706876423874,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.47622417835183795,0.9824046347492966,False
KEGG_PROSTATE_CANCER,0.5930624123849576,0.9836633451633807,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.5825069921179761,0.9844047888120531,False
KEGG_NON_HOMOLOGOUS_END_JOINING,0.21021388435744065,0.986938781323131,False
KEGG_SULFUR_METABOLISM,0.21021388435744065,0.986938781323131,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.6439030317759281,0.98718127598105,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.19400175680762957,0.9906486674531269,False
KEGG_SMALL_CELL_LUNG_CANCER,0.5458010720667064,0.9909063699874952,False
KEGG_MELANOMA,0.5109223751066276,0.9915767731508548,False
KEGG_GAP_JUNCTION,0.5425557136083452,0.9929862600513005,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.18010564747922006,0.9933052139834172,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.18010564747922006,0.9933052139834172,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.4847246602016249,0.9937084213697676,False
KEGG_LYSINE_DEGRADATION,0.3971474487746083,0.9938012167985181,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.3355846042120552,0.9944359625908711,False
KEGG_SPLICEOSOME,0.5835507463324922,0.9949982162064077,False
KEGG_RIBOFLAVIN_METABOLISM,0.16806235272793185,0.9952073767820178,False
KEGG_BASE_EXCISION_REPAIR,0.3246890153911027,0.9956783045725237,False
KEGG_LONG_TERM_DEPRESSION,0.4680894440789169,0.9956954259633234,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.5862312146766392,0.9959401041476097,False
KEGG_ASTHMA,0.2796830581261719,0.9963826065314467,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.6001325966850829,0.9964644259321329,False
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.22895439707191612,0.9965228258010288,False
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.15752446982055465,0.9965692959606609,False
KEGG_DNA_REPLICATION,0.31447440087145967,0.9966506882919599,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.2696360525701843,0.9972489029188586,False
KEGG_RNA_DEGRADATION,0.3938693381282644,0.997914298826617,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.2958477508650519,0.9980008035699526,False
KEGG_GLYCEROLIPID_METABOLISM,0.3505871015191093,0.9980431995393735,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.2097841857091041,0.998085101864174,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.2097841857091041,0.998085101864174,False
