,OR,p,FDR
KEGG_ACUTE_MYELOID_LEUKEMIA,3.6487391994357257,0.030104246485101634,False
KEGG_THYROID_CANCER,3.5331294597349645,0.12115827578207719,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,2.240451388888889,0.16240805802398967,False
KEGG_PPAR_SIGNALING_PATHWAY,2.1717171717171717,0.1726207517100905,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,3.95,0.2393171824556984,False
KEGG_SMALL_CELL_LUNG_CANCER,1.76440329218107,0.25393220878399,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.8256880733944953,0.31007350237203346,False
KEGG_PATHWAYS_IN_CANCER,1.2027809255459252,0.3638067678278612,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,1.9704545454545455,0.40941156315151006,False
KEGG_BASE_EXCISION_REPAIR,1.388235294117647,0.5219270185204613,False
KEGG_LYSINE_DEGRADATION,1.0957716701902749,0.6048765308527196,False
KEGG_MTOR_SIGNALING_PATHWAY,0.9224598930481284,0.6665369753873165,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.8707070707070707,0.6871135954178978,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.7697466467958272,0.7303610767566626,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.7,0.7626776512475884,False
KEGG_PANCREATIC_CANCER,0.6794466403162055,0.7725724137025012,False
KEGG_RENAL_CELL_CARCINOMA,0.6794466403162055,0.7725724137025012,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6696103896103897,0.777365362640259,False
KEGG_LEISHMANIA_INFECTION,0.6600512163892446,0.7820581930149559,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.6507575757575758,0.7866529775528346,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6329238329238329,0.7955564882673389,False
KEGG_APOPTOSIS,0.5433403805496829,0.841749806879662,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.5369905956112853,0.845095668106495,False
KEGG_PROSTATE_CANCER,0.5307851239669421,0.8483714122131645,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.4612961296129613,0.8851989125829041,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.4349192863211555,0.8990575977545538,False
KEGG_MAPK_SIGNALING_PATHWAY,0.5220959595959596,0.9223357768232782,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.3709818181818182,0.9314406127515816,False
KEGG_WNT_SIGNALING_PATHWAY,0.3097620500305064,0.9591545926630237,False
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.33679918450560653,0.9799501471435288,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.24361702127659574,0.9824858547888917,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0,1.0,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0,1.0,False
KEGG_ADHERENS_JUNCTION,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_ENDOCYTOSIS,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.0,1.0,False
KEGG_TIGHT_JUNCTION,0.0,1.0,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_AXON_GUIDANCE,0.0,1.0,False
KEGG_VEGF_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_FOCAL_ADHESION,0.0,1.0,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0,1.0,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_OLFACTORY_TRANSDUCTION,0.0,1.0,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0,1.0,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.0,1.0,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0,1.0,False
KEGG_COLORECTAL_CANCER,0.0,1.0,False
KEGG_ENDOMETRIAL_CANCER,0.0,1.0,False
KEGG_GLIOMA,0.0,1.0,False
KEGG_BASAL_CELL_CARCINOMA,0.0,1.0,False
KEGG_MELANOMA,0.0,1.0,False
KEGG_PRION_DISEASES,0.0,1.0,False
KEGG_BLADDER_CANCER,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.0,1.0,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0,1.0,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0,1.0,False
KEGG_ASTHMA,0.0,1.0,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.0,1.0,False
KEGG_HUNTINGTONS_DISEASE,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.0,1.0,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.0,1.0,False
KEGG_LONG_TERM_POTENTIATION,0.0,1.0,False
KEGG_LONG_TERM_DEPRESSION,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_TASTE_TRANSDUCTION,0.0,1.0,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0,1.0,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.0,1.0,False
KEGG_GNRH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_MELANOGENESIS,0.0,1.0,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.0,1.0,False
KEGG_TYPE_I_DIABETES_MELLITUS,0.0,1.0,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.0,1.0,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.0,1.0,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.0,1.0,False
KEGG_ALZHEIMERS_DISEASE,0.0,1.0,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0,1.0,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.0,1.0,False
KEGG_CELL_CYCLE,0.0,1.0,False
KEGG_P53_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_BETA_ALANINE_METABOLISM,0.0,1.0,False
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0,1.0,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.0,1.0,False
KEGG_GLUTATHIONE_METABOLISM,0.0,1.0,False
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0,1.0,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.0,1.0,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_TRYPTOPHAN_METABOLISM,0.0,1.0,False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.0,1.0,False
KEGG_GLYCEROLIPID_METABOLISM,0.0,1.0,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.0,1.0,False
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.0,1.0,False
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0,1.0,False
KEGG_ETHER_LIPID_METABOLISM,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.0,1.0,False
KEGG_PHENYLALANINE_METABOLISM,0.0,1.0,False
KEGG_TYROSINE_METABOLISM,0.0,1.0,False
KEGG_HISTIDINE_METABOLISM,0.0,1.0,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.0,1.0,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.0,1.0,False
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.0,1.0,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.0,1.0,False
KEGG_GALACTOSE_METABOLISM,0.0,1.0,False
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.0,1.0,False
KEGG_FATTY_ACID_METABOLISM,0.0,1.0,False
KEGG_STEROID_BIOSYNTHESIS,0.0,1.0,False
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.0,1.0,False
