,OR,p,FDR
KEGG_LEISHMANIA_INFECTION,1.4980420594633792,0.07843083160402022,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.3527696793002915,0.10757813966628575,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.3316878678564648,0.12980824337041275,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.3219404186795491,0.1720893664447204,False
KEGG_APOPTOSIS,1.2207796625544267,0.24240992899806235,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.2977411425665366,0.26038648682653165,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.150235029885001,0.33639216952364914,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.1098402681916781,0.3957225736582154,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.0792226709925181,0.3995339738786744,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.1734913793103448,0.40311938602607433,False
KEGG_LYSOSOME,1.069028077069337,0.41330677985046826,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.1037373618819268,0.4253688361003244,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.0286382232612508,0.4648080303391128,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.012833999579213,0.5115244476838753,False
KEGG_OTHER_GLYCAN_DEGRADATION,1.1293247434979719,0.5125855452844831,False
KEGG_PROTEIN_EXPORT,0.8908912682853265,0.6685818789385486,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.9020457280385078,0.6854486643064414,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.8653505102894429,0.7154940132643115,False
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.7963282664533243,0.7393508783400984,False
KEGG_PANCREATIC_CANCER,0.8451694304253785,0.7550755719744123,False
KEGG_RENAL_CELL_CARCINOMA,0.8451694304253785,0.7550755719744123,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.8783575929258197,0.7690181073132331,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.7519287361807047,0.7734921533590616,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.8301648136202077,0.7742720082419354,False
KEGG_ENDOMETRIAL_CANCER,0.8050049638834685,0.7791164070770181,False
KEGG_COLORECTAL_CANCER,0.811231101511879,0.7855688264601388,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.7861167304766522,0.799705927001727,False
KEGG_ADHERENS_JUNCTION,0.8016814732442902,0.8094822199989767,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.7680870531337821,0.8188449983102836,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.6764495347172512,0.8310910161933651,False
KEGG_PRION_DISEASES,0.6994438264738598,0.8420896670789475,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.734379395492764,0.8529188885907459,False
KEGG_VEGF_SIGNALING_PATHWAY,0.7624020280484685,0.8545231404000426,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.728367893920158,0.8672440422945072,False
KEGG_MTOR_SIGNALING_PATHWAY,0.7069967923015237,0.8692547220687045,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.6929887532902608,0.8713302937801807,False
KEGG_GALACTOSE_METABOLISM,0.6146938244289711,0.8759339162835421,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.7233878432582537,0.87990591253356,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.7894119574119575,0.8826544478311564,False
KEGG_ERBB_SIGNALING_PATHWAY,0.7024110149110149,0.9187480116196416,False
KEGG_MISMATCH_REPAIR,0.5069742489270386,0.922633180411334,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.6626284686536486,0.9234295523126789,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.6059301769488283,0.9259928495344572,False
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.4827304312282853,0.9357106324533476,False
KEGG_GNRH_SIGNALING_PATHWAY,0.6815734241673548,0.9448017889986617,False
KEGG_LONG_TERM_POTENTIATION,0.6285331057188148,0.9462752500813386,False
KEGG_VIRAL_MYOCARDITIS,0.6285331057188148,0.9462752500813386,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.673174258857556,0.9544183677583177,False
KEGG_ENDOCYTOSIS,0.721008329207132,0.9634535818955152,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.28172619047619046,0.9655064672001278,False
KEGG_NON_HOMOLOGOUS_END_JOINING,0.28172619047619046,0.9655064672001278,False
KEGG_SULFUR_METABOLISM,0.28172619047619046,0.9655064672001278,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.6078790425872559,0.9681153263779778,False
KEGG_HOMOLOGOUS_RECOMBINATION,0.4051502145922747,0.9700999967694264,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.26,0.9733860431739408,False
KEGG_GLIOMA,0.5413716133004927,0.9753244102134083,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.4557422752265159,0.9767660964595487,False
KEGG_BLADDER_CANCER,0.4557422752265159,0.9767660964595487,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.5019383986080161,0.9769872585544124,False
KEGG_DNA_REPLICATION,0.42170722977809594,0.977708206150624,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.24137755102040817,0.9794666292005809,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.24137755102040817,0.9794666292005809,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.3215902515402158,0.9798692338738407,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.4913767336202774,0.9802911765689627,False
KEGG_SMALL_CELL_LUNG_CANCER,0.5607151427885769,0.9818031335269911,False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.43218720152817575,0.9835617327477616,False
KEGG_ABC_TRANSPORTERS,0.43218720152817575,0.9835617327477616,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.43218720152817575,0.9835617327477616,False
KEGG_LYSINE_DEGRADATION,0.43218720152817575,0.9835617327477616,False
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.22523809523809524,0.9841587271527239,False
KEGG_RIBOFLAVIN_METABOLISM,0.22523809523809524,0.9841587271527239,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.39673249399974736,0.984608206871143,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.21111607142857142,0.9877792203446207,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.5379409647228222,0.9878062171718616,False
KEGG_PROTEASOME,0.41093018380040536,0.9884536740475656,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.6072526236881559,0.9891442542570986,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.281212771026924,0.9897122959217919,False
KEGG_PROSTATE_CANCER,0.523744074500014,0.9907282223775633,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.3263187041395542,0.9910666880768492,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.3263187041395542,0.9910666880768492,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.2699070764832023,0.9917957260285459,False
KEGG_GAP_JUNCTION,0.5169186465082793,0.9919315649122652,False
KEGG_GLYCEROLIPID_METABOLISM,0.38266801250325605,0.9932868477073897,False
KEGG_THYROID_CANCER,0.24980806396103036,0.9947995803547109,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.6344439767381985,0.995218680253617,False
KEGG_LONG_TERM_DEPRESSION,0.43378181228724266,0.9953095516033547,False
KEGG_ASTHMA,0.2408352905136322,0.9958659925357307,False
KEGG_CELL_CYCLE,0.5324266652260818,0.9962929120377001,False
KEGG_RNA_DEGRADATION,0.3807668898356665,0.99643430382955,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.23248132902812355,0.9967168302860544,False
KEGG_SPHINGOLIPID_METABOLISM,0.2806986170720076,0.9968686214899825,False
KEGG_NITROGEN_METABOLISM,0.15334415584415584,0.9974265791047158,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.30591527298757076,0.9978054775144825,False
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.14050595238095237,0.9984695708737549,False
KEGG_MELANOMA,0.3672771700143472,0.9986637252666245,False
KEGG_BASE_EXCISION_REPAIR,0.20412849004700326,0.9987049288574107,False
KEGG_ARACHIDONIC_ACID_METABOLISM,0.3170784451532681,0.9987772826207171,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.13485714285714287,0.9988198618829432,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.13485714285714287,0.9988198618829432,False
KEGG_TASTE_TRANSDUCTION,0.28018372703412076,0.9990289143400616,False
KEGG_ALLOGRAFT_REJECTION,0.192382313897682,0.9991902892803395,False
KEGG_P53_SIGNALING_PATHWAY,0.32486992715920915,0.9993240699003477,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.38187472719336535,0.9993441484801024,False
KEGG_MELANOGENESIS,0.40931254996003197,0.9993857316426507,False
KEGG_RNA_POLYMERASE,0.12033163265306122,0.9994590398390556,False
KEGG_BASAL_CELL_CARCINOMA,0.26353390318188835,0.9994788864175229,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.1161576354679803,0.9995829380275828,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.4529890472985376,0.9995945881849729,False
KEGG_PYRUVATE_METABOLISM,0.17708137391369774,0.9996016563014495,False
KEGG_GLUTATHIONE_METABOLISM,0.21450095881654643,0.999716306400349,False
