,OR,p,FDR
KEGG_THYROID_CANCER,8.754526315789473,0.0018722914968366789,False
KEGG_ACUTE_MYELOID_LEUKEMIA,5.2894844517184945,0.003920381774445971,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,4.356210526315789,0.01751091365879261,False
KEGG_PROSTATE_CANCER,3.254179331306991,0.024424261351441077,False
KEGG_PATHWAYS_IN_CANCER,1.95421974522293,0.03785074489323627,False
KEGG_SMALL_CELL_LUNG_CANCER,2.7068421052631577,0.07040404586622641,False
KEGG_ENDOMETRIAL_CANCER,3.2997448979591835,0.07173943072823966,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,4.874414245548266,0.07254643057749303,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,2.51904296875,0.12801795754169892,False
KEGG_PPAR_SIGNALING_PATHWAY,2.4417613636363638,0.13646028591405185,False
KEGG_PANCREATIC_CANCER,2.404850746268657,0.1407523610549946,False
KEGG_BASAL_CELL_CARCINOMA,2.0112818517798092,0.2728178510062279,False
KEGG_WNT_SIGNALING_PATHWAY,1.464167267483778,0.304706579583277,False
KEGG_COLORECTAL_CANCER,1.7742268041237113,0.32124630063675375,False
KEGG_LEISHMANIA_INFECTION,1.517820324005891,0.38893969814056933,False
KEGG_ADHERENS_JUNCTION,1.4961521707564978,0.3955606459832268,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.4961521707564978,0.3955606459832268,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1.475085910652921,0.4021494988852601,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,1.2896963663514187,0.5469378931544052,False
KEGG_BLADDER_CANCER,1.2896963663514187,0.5469378931544052,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,1.2292358803986712,0.5637700215309654,False
KEGG_MELANOGENESIS,1.0671665104654795,0.5649554649717828,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.0562886597938144,0.5703549635905609,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.1484028393966281,0.5878641791977927,False
KEGG_MTOR_SIGNALING_PATHWAY,1.034813925570228,0.625127463206201,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.9767573696145124,0.6458635266481165,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.8478550049883605,0.6855632030661424,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.8462701612903226,0.689682962529628,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.8634994981599197,0.689935699453261,False
KEGG_GLIOMA,0.8225446428571429,0.7071188924688308,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.7852573865367042,0.7233589131785232,False
KEGG_RENAL_CELL_CARCINOMA,0.7622005323868678,0.73368704306482,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.7511661807580174,0.7387070321663923,False
KEGG_MELANOMA,0.7511661807580174,0.7387070321663923,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7100110314396029,0.7578672547325209,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.624271137026239,0.799895640189353,False
KEGG_APOPTOSIS,0.609515899383009,0.8073903664840201,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.48788861338928097,0.8711108930926206,False
KEGG_CELL_CYCLE,0.42309606769537084,0.905198294801624,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.3358733103631063,0.9478601610885775,False
KEGG_MAPK_SIGNALING_PATHWAY,0.3857615249951371,0.9630701484454975,False
KEGG_HUNTINGTONS_DISEASE,0.2875384790787823,0.9678908243131921,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_ENDOCYTOSIS,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_TIGHT_JUNCTION,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0,1.0,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_FOCAL_ADHESION,0.0,1.0,False
KEGG_VEGF_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_AXON_GUIDANCE,0.0,1.0,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_OLFACTORY_TRANSDUCTION,0.0,1.0,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.0,1.0,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0,1.0,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_ASTHMA,0.0,1.0,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0,1.0,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.0,1.0,False
KEGG_PRION_DISEASES,0.0,1.0,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.0,1.0,False
KEGG_ALZHEIMERS_DISEASE,0.0,1.0,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.0,1.0,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0,1.0,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.0,1.0,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.0,1.0,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0,1.0,False
KEGG_GNRH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0,1.0,False
KEGG_TASTE_TRANSDUCTION,0.0,1.0,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.0,1.0,False
KEGG_LONG_TERM_DEPRESSION,0.0,1.0,False
KEGG_LONG_TERM_POTENTIATION,0.0,1.0,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.0,1.0,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.0,1.0,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0,1.0,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.0,1.0,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_TYPE_I_DIABETES_MELLITUS,0.0,1.0,False
KEGG_P53_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0,1.0,False
KEGG_DILATED_CARDIOMYOPATHY,0.0,1.0,False
KEGG_TRYPTOPHAN_METABOLISM,0.0,1.0,False
KEGG_BETA_ALANINE_METABOLISM,0.0,1.0,False
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0,1.0,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.0,1.0,False
KEGG_GLUTATHIONE_METABOLISM,0.0,1.0,False
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0,1.0,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.0,1.0,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.0,1.0,False
KEGG_GLYCEROLIPID_METABOLISM,0.0,1.0,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.0,1.0,False
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.0,1.0,False
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0,1.0,False
KEGG_ETHER_LIPID_METABOLISM,0.0,1.0,False
KEGG_PHENYLALANINE_METABOLISM,0.0,1.0,False
KEGG_ARACHIDONIC_ACID_METABOLISM,0.0,1.0,False
KEGG_TYROSINE_METABOLISM,0.0,1.0,False
