,OR,p,FDR
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,1.026550598476605,0.582802652648772,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.9019219438857399,0.6920556331057821,False
KEGG_ACUTE_MYELOID_LEUKEMIA,0.8342577985853137,0.7657761596451309,False
KEGG_GALACTOSE_METABOLISM,0.7691176470588236,0.7792138264777784,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.754106759742547,0.7819606457652166,False
KEGG_COLORECTAL_CANCER,0.8175243685148307,0.7917737220538991,False
KEGG_PRION_DISEASES,0.7593198432893089,0.8068306194647393,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.7742444085597671,0.8303001573942018,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.6744405924992121,0.8455029988335747,False
KEGG_PROTEIN_EXPORT,0.6744405924992121,0.8455029988335747,False
KEGG_FOLATE_BIOSYNTHESIS,0.5698067632850241,0.8586030085801423,False
KEGG_PANCREATIC_CANCER,0.7582653847714088,0.8664455073523577,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.7314597970335676,0.8674344630796236,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.7314597970335676,0.8674344630796236,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.5915422261262392,0.8687306776457945,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7498630136986302,0.8809441092194469,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.7381268157130226,0.881209030863936,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.6099489333022268,0.892895880715555,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.775225183396787,0.8974074558537075,False
KEGG_ENDOMETRIAL_CANCER,0.6866299902758721,0.9000356432810503,False
KEGG_ADHERENS_JUNCTION,0.7178955054668434,0.9062401207844554,False
KEGG_LYSOSOME,0.7691195125131889,0.9074863991575948,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.5821002622853466,0.9114788127686054,False
KEGG_SULFUR_METABOLISM,0.4660079051383399,0.9160695528911998,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.5392589198785865,0.9212647222293416,False
KEGG_NITROGEN_METABOLISM,0.5392589198785865,0.9212647222293416,False
KEGG_APOPTOSIS,0.7140863476493176,0.9246560586321423,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.6223736010970053,0.9308995514795537,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.7152992861065349,0.9321070464857006,False
KEGG_BLADDER_CANCER,0.602091218166656,0.9347443889777339,False
KEGG_LEISHMANIA_INFECTION,0.6726586581396019,0.9369792831332975,False
KEGG_THYROID_CANCER,0.5333650880058066,0.9403313912170659,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.3941471571906355,0.9510144337534019,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.3941471571906355,0.9510144337534019,False
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.4654268473637353,0.9590482878827595,False
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.42677179626608663,0.959271428293978,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.580959706232632,0.9617779544424293,False
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.28474862695395015,0.9628718977382178,False
KEGG_VEGF_SIGNALING_PATHWAY,0.6280115211714986,0.9638027129198172,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.6954169797145003,0.9643895407270688,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.603767582881853,0.9668268108577914,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.34144927536231884,0.9717870864737221,False
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.34144927536231884,0.9717870864737221,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.5243407991499595,0.973077243955015,False
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.2562194459532863,0.9732987866436558,False
KEGG_HOMOLOGOUS_RECOMBINATION,0.42645992020311935,0.9740134539217608,False
KEGG_RENAL_CELL_CARCINOMA,0.5823333621094836,0.9756850299415284,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.5981886288998358,0.9767157385302924,False
KEGG_GNRH_SIGNALING_PATHWAY,0.6296160778414712,0.9785892252924067,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.4409363091997823,0.9791798190355478,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.5225784853444428,0.9791832515055133,False
KEGG_HISTIDINE_METABOLISM,0.4093144722524483,0.9794025839641944,False
KEGG_ABC_TRANSPORTERS,0.48354076146991676,0.9804568997234244,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.5762511470318346,0.9811281241772476,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6218039677652539,0.9813406826586237,False
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.34888032033219635,0.9850864420468914,False
KEGG_ERBB_SIGNALING_PATHWAY,0.5746108634281042,0.9866365488761915,False
KEGG_LONG_TERM_DEPRESSION,0.5278688524590164,0.988377143846992,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.6820162533799135,0.9884016704143689,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.4469891008174387,0.9893475211347944,False
KEGG_GAP_JUNCTION,0.5509605991533703,0.9916746021563156,False
KEGG_LYSINE_DEGRADATION,0.40325077399380804,0.9930215591395825,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.40325077399380804,0.9930215591395825,False
KEGG_BETA_ALANINE_METABOLISM,0.25581521739130436,0.9931968908108993,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.49338974087784243,0.9942753591519331,False
KEGG_TRYPTOPHAN_METABOLISM,0.36488062835368223,0.9946768588281845,False
KEGG_GLIOMA,0.463676061929337,0.9947152880916506,False
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.17063190295129457,0.9948680299126714,False
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.17063190295129457,0.9948680299126714,False
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.17063190295129457,0.9948680299126714,False
KEGG_SMALL_CELL_LUNG_CANCER,0.5095185995623632,0.9949939841202661,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.6600101361802397,0.995113668510047,False
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.23246047430830039,0.9961990734000172,False
KEGG_MTOR_SIGNALING_PATHWAY,0.3968997880714502,0.9963143140956667,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.3450102252497462,0.9966872064503559,False
KEGG_FATTY_ACID_METABOLISM,0.3450102252497462,0.9966872064503559,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.5352128950257091,0.9973454589065174,False
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.2642740619902121,0.9976705546642763,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.3003904499775971,0.9977441276016961,False
KEGG_GLYCEROLIPID_METABOLISM,0.3559811521507828,0.9977505283596124,False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.3271778122077523,0.9979556647467307,False
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.1421027219506307,0.9980935511359976,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.45953313893445114,0.9982102233916476,False
KEGG_GLUTATHIONE_METABOLISM,0.34781639928698754,0.998217548642052,False
KEGG_DILATED_CARDIOMYOPATHY,0.4686888172290683,0.9982932853849807,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.2471188759669526,0.9986531978308244,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.23934543230016314,0.9989783776811274,False
KEGG_LINOLEIC_ACID_METABOLISM,0.1892109500805153,0.9991344229680493,False
KEGG_PPAR_SIGNALING_PATHWAY,0.3819148936170213,0.999153232027402,False
KEGG_DNA_REPLICATION,0.23204310643136092,0.9992261964403786,False
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.12172473552158505,0.9992921637841876,False
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.31855936819172115,0.9993101977436109,False
KEGG_LONG_TERM_POTENTIATION,0.3755735021866867,0.999318251610117,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.18241459627329193,0.9993583807745148,False
KEGG_MISMATCH_REPAIR,0.11616710285911806,0.9994913136744971,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.17608695652173914,0.9995248690149926,False
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.2550054406964091,0.9995287800273482,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.3884110079495115,0.9996240936080893,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.4414495928377542,0.9996500879143575,False
KEGG_SPHINGOLIPID_METABOLISM,0.21257023744788833,0.9996665132311198,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.4847778308647874,0.9996923469713626,False
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.27102468177764394,0.9997241367940619,False
KEGG_TASTE_TRANSDUCTION,0.27102468177764394,0.9997241367940619,False
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.10644124569980083,0.999737332288673,False
KEGG_BUTANOATE_METABOLISM,0.15947690217391305,0.9998081164637005,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.10216186854970125,0.9998112677861525,False
KEGG_MELANOMA,0.3229301898876599,0.9998354671301962,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.3229301898876599,0.9998354671301962,False
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.3364060845287378,0.9998569206755503,False
KEGG_BASE_EXCISION_REPAIR,0.15461133069828722,0.9998584036687026,False
KEGG_BASAL_CELL_CARCINOMA,0.25459989112683723,0.99987308103619,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.33145947484522875,0.9998861886103799,False
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.27258403361344535,0.9999043440878558,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.27258403361344535,0.9999043440878558,False
KEGG_FOCAL_ADHESION,0.5199383212657549,0.9999089599011061,False
KEGG_RNA_POLYMERASE,0.09115775587801661,0.9999300145161203,False
KEGG_SPLICEOSOME,0.4180951231289232,0.9999415884577645,False
KEGG_VIRAL_MYOCARDITIS,0.28240993036633366,0.9999452827839287,False
KEGG_ENDOCYTOSIS,0.4814461346416234,0.9999584630441928,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.41798278041451026,0.9999612931798001,False
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.08504435994930291,0.9999638879263397,False
KEGG_PROSTATE_CANCER,0.32115416505444694,0.9999686498344692,False
KEGG_PYRUVATE_METABOLISM,0.13412471395881007,0.9999693512208365,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.19953487379717938,0.9999765626886475,False
KEGG_MELANOGENESIS,0.3417203904954872,0.9999766622320306,False
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.1306577480490524,0.9999774763633649,False
KEGG_PROPANOATE_METABOLISM,0.07969513851167843,0.9999813708633837,False
KEGG_ETHER_LIPID_METABOLISM,0.07969513851167843,0.9999813708633837,False
KEGG_TYROSINE_METABOLISM,0.12736413043478262,0.9999834572041855,False
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.15901984774333877,0.9999895717894698,False
KEGG_ARACHIDONIC_ACID_METABOLISM,0.18832869866602184,0.9999898938184845,False
KEGG_REGULATION_OF_AUTOPHAGY,0.07497523724318625,0.9999903921016402,False
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.07497523724318625,0.9999903921016402,False
KEGG_TIGHT_JUNCTION,0.3735747468731388,0.9999922479325515,False
KEGG_RNA_DEGRADATION,0.18486497180730044,0.9999923788294258,False
KEGG_PROTEASOME,0.11568675889328063,0.9999952122371849,False
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.14666206550382732,0.9999968027943443,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.35762100456621004,0.9999973081032822,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.11060964083175803,0.9999974319618826,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.14386407707223983,0.9999976250301434,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.37337886734154574,0.9999984635966218,False
KEGG_CELL_CYCLE,0.3214541476029441,0.999998542886767,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.22736672954656606,0.9999988147507011,False
KEGG_P53_SIGNALING_PATHWAY,0.15856229597388466,0.9999994202607082,False
KEGG_RIBOSOME,0.2188044538634911,0.9999994633225207,False
KEGG_WNT_SIGNALING_PATHWAY,0.3435257177033493,0.9999995014137653,False
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.059169056251026364,0.9999995132612912,False
KEGG_MAPK_SIGNALING_PATHWAY,0.46687407407407405,0.9999995206443395,False
KEGG_AXON_GUIDANCE,0.3071448958234231,0.9999995367303994,False
KEGG_OOCYTE_MEIOSIS,0.24750620772326398,0.9999998820323297,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.1851187629523354,0.9999999054527807,False
KEGG_ECM_RECEPTOR_INTERACTION,0.16014001915616408,0.9999999566164542,False
KEGG_CALCIUM_SIGNALING_PATHWAY,0.3379060533096777,0.999999957853619,False
KEGG_PYRIMIDINE_METABOLISM,0.19434080905470552,0.9999999636438935,False
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.11346205351708018,0.9999999651729564,False
KEGG_PEROXISOME,0.1368408669823251,0.9999999689270533,False
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.11012601366527176,0.9999999811035474,False
KEGG_PATHWAYS_IN_CANCER,0.45170454545454547,0.9999999877523363,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.12176671867011025,0.9999999978687745,False
KEGG_ALZHEIMERS_DISEASE,0.2692208737328815,0.9999999987443005,False
KEGG_RETINOL_METABOLISM,0.040212789805402514,0.9999999993749352,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.182263344068423,0.999999999917427,False
KEGG_HUNTINGTONS_DISEASE,0.2437955814388374,0.9999999999718233,False
KEGG_PURINE_METABOLISM,0.20430467268874763,0.9999999999834771,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.055069091258036655,0.9999999999947597,False
KEGG_OLFACTORY_TRANSDUCTION,0.02454390006076622,0.9999999999981879,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.0,1.0,False
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.0,1.0,False
KEGG_STEROID_BIOSYNTHESIS,0.0,1.0,False
KEGG_NON_HOMOLOGOUS_END_JOINING,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_ASTHMA,0.0,1.0,False
KEGG_OXIDATIVE_PHOSPHORYLATION,0.07882583773872662,1.0,False
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.0,1.0,False
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.18984832470376267,1.0,False
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.0,1.0,False
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.13266076365918614,1.0,False
KEGG_RIBOFLAVIN_METABOLISM,0.0,1.0,False
KEGG_PHENYLALANINE_METABOLISM,0.0,1.0,False
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0,1.0,False
KEGG_TYPE_I_DIABETES_MELLITUS,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.06005872756933116,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
