,OR,p,FDR
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,2.7699757869249395,0.06640256240223662,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,2.1943965517241377,0.06791296318852422,False
KEGG_MAPK_SIGNALING_PATHWAY,1.5290183165260343,0.15643571940758497,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,2.201395812562313,0.1684182373144149,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.7685921826357662,0.2044839226345711,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.851500600240096,0.23320074678746336,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.7993697478991597,0.24545793552424722,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,3.580578512396694,0.2600635600062621,False
KEGG_N_GLYCAN_BIOSYNTHESIS,1.9571969696969698,0.28373196496966663,False
KEGG_TYPE_II_DIABETES_MELLITUS,1.9133333333333333,0.29226750715725536,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.9133333333333333,0.29226750715725536,False
KEGG_SMALL_CELL_LUNG_CANCER,1.596638655462185,0.30163423635836817,False
KEGG_APOPTOSIS,1.5387154861944778,0.32056186410670895,False
KEGG_PROSTATE_CANCER,1.50234512409615,0.3331931098747561,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.6220125786163522,0.35980125722453965,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.5624242424242425,0.37635748569470573,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,2.042502951593861,0.3995910588385049,False
KEGG_PROTEIN_EXPORT,1.8641753503413583,0.42686099334528216,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.2259303721488595,0.45123514098219175,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,1.2992424242424243,0.46385408231681025,False
KEGG_RENAL_CELL_CARCINOMA,1.2605392156862745,0.4790014087269986,False
KEGG_PANCREATIC_CANCER,1.2605392156862745,0.4790014087269986,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.2420289855072464,0.4864778828423351,False
KEGG_LEISHMANIA_INFECTION,1.224047619047619,0.4938882268796251,False
KEGG_VEGF_SIGNALING_PATHWAY,1.156981981981982,0.5228513175543708,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,1.0297188755020081,0.5838874045975531,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.9776124190134069,0.5969551056667691,False
KEGG_PYRUVATE_METABOLISM,1.0959949141767324,0.6051019510704098,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.95516116894519,0.6121029406053032,False
KEGG_BLADDER_CANCER,1.042128603104213,0.6230980890577007,False
