,OR,p,FDR
KEGG_ACUTE_MYELOID_LEUKEMIA,1.6778901734104046,0.05610629297653359,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.5359016846175089,0.06765719846360731,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.3787514073844003,0.08539652126329114,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.3873265324878228,0.14127584053711426,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.5750410509031199,0.15598823580207768,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.2325229549248748,0.1886858813146496,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.1619270562395236,0.22175528170006453,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.247415437117334,0.29248871953977995,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.1702075209537897,0.2973072446163849,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.1608183173011788,0.3321633028388751,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1.1330319528614816,0.36983560620278216,False
KEGG_APOPTOSIS,1.0984649442903713,0.4015194657721012,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.0810737976782754,0.4130800169555846,False
KEGG_ENDOMETRIAL_CANCER,1.0537707677816301,0.49416056838100075,False
KEGG_LEISHMANIA_INFECTION,0.947026075100835,0.6190023731648227,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.9467188526697712,0.6266935397132712,False
KEGG_MTOR_SIGNALING_PATHWAY,0.934201266713582,0.6312914338405377,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.9292992530547041,0.6357821455748929,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.9057456828885401,0.6594802658115227,False
KEGG_LYSOSOME,0.9198831399779829,0.6750296864642527,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.8720043572984749,0.6809331027649779,False
KEGG_RENAL_CELL_CARCINOMA,0.8942603422135585,0.6875608440170484,False
KEGG_PANCREATIC_CANCER,0.8942603422135585,0.6875608440170484,False
KEGG_GLIOMA,0.887785501489573,0.6924801159956262,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.8551435406698564,0.7335643903947252,False
KEGG_COLORECTAL_CANCER,0.8453767702643917,0.7402199758812307,False
KEGG_PRION_DISEASES,0.8113324679722332,0.7429063549888115,False
KEGG_PROTEIN_EXPORT,0.7844771241830065,0.7482811606421199,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.8393004357555058,0.769288422700536,False
KEGG_NON_HOMOLOGOUS_END_JOINING,0.713332344653715,0.7746218107131755,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.7835931091058245,0.7958112957912648,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.7835931091058245,0.7958112957912648,False
KEGG_ERBB_SIGNALING_PATHWAY,0.8156430338004946,0.8000095557672429,False
KEGG_GALACTOSE_METABOLISM,0.7128639334521687,0.8041661936737721,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.7499345469778158,0.8303597080697637,False
KEGG_CELL_CYCLE,0.7969530489619614,0.8548503872132083,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.6852375102375102,0.8683496438532123,False
KEGG_SMALL_CELL_LUNG_CANCER,0.7158175389787284,0.8964257278182841,False
KEGG_GNRH_SIGNALING_PATHWAY,0.7355464958260532,0.8969770483889044,False
KEGG_GAP_JUNCTION,0.7199991329229168,0.8993601758630871,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.6742256950342562,0.9084426269864205,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.7464993871223592,0.9156212273363084,False
KEGG_VEGF_SIGNALING_PATHWAY,0.6613488401491688,0.926342774508754,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.5868657937806874,0.9278744637434311,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.640663274919917,0.933084493763259,False
KEGG_ADHERENS_JUNCTION,0.6200641176010634,0.94613121953746,False
KEGG_BLADDER_CANCER,0.5286071026054673,0.9476823166765171,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.5286071026054673,0.9476823166765171,False
KEGG_SULFUR_METABOLISM,0.32660961695191526,0.9478244012672763,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.5700757575757576,0.9489506206054373,False
KEGG_DNA_REPLICATION,0.48907271241830064,0.9525702114028437,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.5788706739526411,0.953407443824724,False
KEGG_ENDOCYTOSIS,0.7118954248366013,0.9620811933971659,False
KEGG_LONG_TERM_POTENTIATION,0.5761239392676072,0.9623369144537305,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.37287345607084593,0.9631259783191303,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.27983467225521014,0.9668960728889127,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.6656478179656987,0.9670635949309937,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.6780271595624293,0.9689529484081807,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.3558505116417025,0.9695437265266311,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.4987289758679528,0.9717772097885525,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.24475346373268134,0.9790000604605761,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.3784068466096116,0.9797063720340168,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.6858958960808589,0.9819167050319898,False
KEGG_PROSTATE_CANCER,0.5496175968649264,0.9825545916371619,False
