,OR,p,FDR
KEGG_THYROID_CANCER,4.367770915216171,0.038977631448577035,False
KEGG_COLORECTAL_CANCER,2.6135902636916835,0.0781321695515732,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,2.192242114236999,0.12310763211809375,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,3.41897233201581,0.12914165050781257,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.091646390916464,0.18646056338360134,False
KEGG_PROSTATE_CANCER,1.7740484429065744,0.20332001157886417,False
KEGG_PATHWAYS_IN_CANCER,1.3301239322569496,0.2291740891008814,False
KEGG_PANCREATIC_CANCER,1.6815557250245126,0.2767413601802432,False
KEGG_BLADDER_CANCER,1.873913043478261,0.30104511208653145,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.6640901771336554,0.34939761709625305,False
KEGG_SMALL_CELL_LUNG_CANCER,1.38713165720465,0.37762100392349585,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.2498765432098766,0.382021539208267,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,1.369948371016557,0.3847806484938251,False
KEGG_ENDOMETRIAL_CANCER,1.496231884057971,0.3966018541159131,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.4381270903010033,0.4150544786104946,False
KEGG_BASAL_CELL_CARCINOMA,1.410719168717528,0.4241764161589725,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,1.5551558752997603,0.4853030141864145,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.130944481309445,0.5022788459759631,False
KEGG_PPAR_SIGNALING_PATHWAY,1.1129136924075276,0.5433191478166703,False
KEGG_WNT_SIGNALING_PATHWAY,1.0205479452054795,0.5565120739420084,False
KEGG_LEISHMANIA_INFECTION,1.0645962732919254,0.5665576984063663,False
KEGG_ADHERENS_JUNCTION,1.0493978362931211,0.5741143520547816,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.0202501488981537,0.5889414492007414,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.1290603880531938,0.5950752863401885,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.0956411341515024,0.6057352073482277,False
KEGG_CELL_CYCLE,0.9213367919406407,0.635481651907451,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.9073521670468503,0.6729440118136485,False
KEGG_LYSINE_DEGRADATION,0.8648151246444705,0.6899641363989146,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.687183586464162,0.7690077737175702,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.6745585349901897,0.7751129109066992,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6981132075471698,0.7802839898520976,False
KEGG_GLIOMA,0.5786870503597122,0.8233276170108648,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.5609330717244386,0.8325611826419661,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.5284686536485098,0.8496150847639588,False
KEGG_MELANOMA,0.5284686536485098,0.8496150847639588,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.506455109884695,0.8612631390715177,False
KEGG_VEGF_SIGNALING_PATHWAY,0.492757793764988,0.8685262502817845,False
KEGG_ERBB_SIGNALING_PATHWAY,0.42881044002007696,0.9022227125613127,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.423798891920946,0.9048226784198992,False
KEGG_MAPK_SIGNALING_PATHWAY,0.5534556027734288,0.9253328917315774,False
KEGG_MELANOGENESIS,0.3677697841726619,0.9329853896397836,False
