,OR,p,FDR
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.1531045723302067,0.001952830301945738,False
KEGG_PRIMARY_IMMUNODEFICIENCY,2.3849885408708937,0.013686332756198988,False
KEGG_ACUTE_MYELOID_LEUKEMIA,1.5728111451291429,0.08841506406777835,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.5494690494690495,0.10430405522015238,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.3452583759227712,0.1067151039221245,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.2598572037510656,0.16296734203178767,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1.3423423423423424,0.16711202728204708,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.277721366848333,0.16818907551394355,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.187984175720359,0.18722319034180046,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.3173762945914844,0.19173810326645052,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.2688182029254702,0.19297436389298664,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.2744228603603605,0.21595954293293956,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.1709718944432526,0.29023775950983877,False
KEGG_ENDOMETRIAL_CANCER,1.2052896725440807,0.3373173046883133,False
KEGG_APOPTOSIS,1.1226028418124006,0.37034740447175385,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.084705829047824,0.4679145446814397,False
KEGG_COLORECTAL_CANCER,1.0647916309380896,0.4712933179540347,False
KEGG_ERBB_SIGNALING_PATHWAY,1.0470005503577324,0.47466261563385637,False
KEGG_RENAL_CELL_CARCINOMA,1.0027333894028596,0.5445414013386203,False
KEGG_PANCREATIC_CANCER,1.0027333894028596,0.5445414013386203,False
KEGG_SMALL_CELL_LUNG_CANCER,0.9429605034937311,0.6267090884378357,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.9253846153846154,0.6468663949308623,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.9108054560694963,0.6583878523234297,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.890927624872579,0.6665556232567901,False
KEGG_GLIOMA,0.9071812176227365,0.6678826228528747,False
KEGG_LEISHMANIA_INFECTION,0.8824668850591084,0.7031230190824214,False
KEGG_PRION_DISEASES,0.8289689741595367,0.7265430915444953,False
KEGG_PROTEIN_EXPORT,0.8015012510425354,0.7349635582955432,False
KEGG_MTOR_SIGNALING_PATHWAY,0.8382610728058899,0.7367984613649683,False
KEGG_VEGF_SIGNALING_PATHWAY,0.8257436307856476,0.7759397984518238,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.8006700167504187,0.7778281800927636,False
KEGG_LYSINE_DEGRADATION,0.7573894965199313,0.8034519498384562,False
KEGG_PROSTATE_CANCER,0.8106401856401857,0.8065836779023009,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.7662781995081792,0.8140331543840249,False
KEGG_ADHERENS_JUNCTION,0.7868852459016393,0.8157179397189792,False
KEGG_GAP_JUNCTION,0.7996632996632996,0.8202049575847459,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.7884007154787429,0.8275180288521247,False
KEGG_LONG_TERM_POTENTIATION,0.7454498919349335,0.8526684055507469,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.7111111111111111,0.8574550652693999,False
KEGG_THYROID_CANCER,0.640533778148457,0.8589983902424203,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.666805903648009,0.8707747377446167,False
KEGG_GNRH_SIGNALING_PATHWAY,0.7516725308489023,0.8810331994255972,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.7011661593211864,0.8861061874111598,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.678676400872286,0.8959092553179068,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.7629496005595847,0.8992970697545745,False
KEGG_VIRAL_MYOCARDITIS,0.6656887398714725,0.9153638434762029,False
KEGG_GALACTOSE_METABOLISM,0.5219565217391304,0.9156049290315865,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.782308180698784,0.9215301447482842,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.5848768262118711,0.9293371018364849,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.7294058232814715,0.938536652982988,False
KEGG_BLADDER_CANCER,0.5400893380859992,0.9418428692024436,False
