,OR,p,FDR
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,2.6486713286713286,0.0008091150140142774,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.8166783049726194,0.014137033189161163,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,2.1766233766233767,0.016125038644757474,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.0663390663390664,0.04358114617513964,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.115462686567164,0.06377727225027721,False
KEGG_LEISHMANIA_INFECTION,1.8892215568862276,0.07975166394100502,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.462686567164179,0.22485739924979156,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1.2245025069290898,0.2604330079490898,False
KEGG_FOCAL_ADHESION,1.2285600319106502,0.26505432534933876,False
KEGG_LONG_TERM_DEPRESSION,1.4084821428571428,0.2741017803797854,False
KEGG_ADHERENS_JUNCTION,1.3446162046908317,0.3073301271228859,False
KEGG_N_GLYCAN_BIOSYNTHESIS,1.4285714285714286,0.3258014489865536,False
KEGG_VEGF_SIGNALING_PATHWAY,1.2862244897959183,0.3412117498684555,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1.2862244897959183,0.3412117498684555,False
KEGG_COLORECTAL_CANCER,1.3157894736842106,0.34825805209827365,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1.4976470588235293,0.4055492754855826,False
KEGG_MTOR_SIGNALING_PATHWAY,1.2485207100591715,0.4130167979478857,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,1.1981065088757397,0.44168557288047944,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.1981065088757397,0.44168557288047944,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,1.1376582278481013,0.44394979392942097,False
KEGG_RENAL_CELL_CARCINOMA,1.1520200867381876,0.44960453970426373,False
KEGG_PANCREATIC_CANCER,1.1520200867381876,0.44960453970426373,False
KEGG_VIRAL_MYOCARDITIS,1.1520200867381876,0.44960453970426373,False
KEGG_PROTEIN_EXPORT,1.36096256684492,0.44961880110031716,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.103503534956795,0.4595714568556867,False
KEGG_APOPTOSIS,1.1091269841269842,0.46651192108611106,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.1515703231679564,0.46992942117598857,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.1005411066503752,0.4867368033628039,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,1.1511232130701157,0.49566595624479787,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1.084376209521352,0.4989230959132174,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.0317823016202743,0.5107651740012119,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.0367075513521502,0.5208074129785127,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.0137014107378464,0.5387021090771114,False
KEGG_SULFUR_METABOLISM,1.2463343108504399,0.5695050453054876,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.0193081255028158,0.5727818528117273,False
KEGG_TYPE_II_DIABETES_MELLITUS,1.0193081255028158,0.5727818528117273,False
KEGG_ENDOCYTOSIS,0.9660920561578106,0.5887954606341044,False
KEGG_TIGHT_JUNCTION,0.9634923700985126,0.5926682377009931,False
KEGG_ENDOMETRIAL_CANCER,0.9143940762145566,0.6421626606135586,False
KEGG_LYSOSOME,0.9161036920659859,0.6429962037807784,False
KEGG_ERBB_SIGNALING_PATHWAY,0.9101107331548093,0.6447700825127447,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.9964809384164223,0.6457002399115566,False
KEGG_LONG_TERM_POTENTIATION,0.9047875201721356,0.6481347589786118,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.8781884435190005,0.6675993830867061,False
KEGG_GAP_JUNCTION,0.8774655262698551,0.6744118606351917,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.8294117647058824,0.6986575786566762,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.8007807118254879,0.7654479493681916,False
KEGG_GNRH_SIGNALING_PATHWAY,0.7752225519287834,0.7686253499424521,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.6784857371367635,0.7752034074432166,False
KEGG_GLIOMA,0.7208107336568655,0.7839513980201991,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.5967155425219941,0.8150597071216226,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.5967155425219941,0.8150597071216226,False
KEGG_MELANOMA,0.6564289432587194,0.8318528101455764,False
KEGG_TASTE_TRANSDUCTION,0.5955294117647059,0.8468977493211902,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.6746695441057459,0.8567488320774159,False
KEGG_MELANOGENESIS,0.6118465198560361,0.8864033403431889,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.45134630765129297,0.8901568729287699,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.43798516474038296,0.8970879337080152,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.5566371681415929,0.9008767807074619,False
KEGG_SMALL_CELL_LUNG_CANCER,0.5496558505408063,0.9052844407541146,False
KEGG_WNT_SIGNALING_PATHWAY,0.6160714285714286,0.9168388738129823,False
KEGG_PROSTATE_CANCER,0.5171846058859848,0.924776734761352,False
KEGG_PYRUVATE_METABOLISM,0.38145725242499434,0.9257233440580668,False
KEGG_DILATED_CARDIOMYOPATHY,0.5111382361916387,0.9282058905422916,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.4567420814479638,0.929630556451011,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.4497326203208556,0.933281080901983,False
KEGG_PPAR_SIGNALING_PATHWAY,0.4429323968393327,0.9367522060324084,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.5597518208794173,0.9379804056638197,False
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.3457000613789811,0.9427910669263498,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.3457000613789811,0.9427910669263498,False
KEGG_ABC_TRANSPORTERS,0.3457000613789811,0.9427910669263498,False
KEGG_PROTEASOME,0.33020527859237536,0.9497961397082868,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.3160292007237786,0.9559456604286786,False
KEGG_GLYCEROLIPID_METABOLISM,0.3093841642228739,0.9587326719167142,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.38978328173374616,0.9611527915289969,False
KEGG_SPLICEOSOME,0.48001154567758697,0.9626833689151685,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.2853598014888337,0.9682295996899133,False
KEGG_CALCIUM_SIGNALING_PATHWAY,0.5159774436090225,0.9706058043213577,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.4571349938076235,0.9715927724286644,False
KEGG_BASAL_CELL_CARCINOMA,0.27468230694037143,0.9721260668500815,False
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.573706591070163,0.9747590945113059,False
KEGG_OOCYTE_MEIOSIS,0.4061865714053747,0.9753323990174968,False
KEGG_ARACHIDONIC_ACID_METABOLISM,0.2600709986108967,0.97709550044017,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.34377564979480163,0.9776708394073002,False
KEGG_RNA_DEGRADATION,0.255536454646577,0.9785471940662458,False
KEGG_ALZHEIMERS_DISEASE,0.45919881305637983,0.9809912869152554,False
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.24282486418922167,0.9823745058671962,False
KEGG_AXON_GUIDANCE,0.3501896333754741,0.9896738308552404,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.21122748219522414,0.9902317184143379,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.33648584746335203,0.992056189518779,False
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.19432011112826053,0.9934129658560464,False
KEGG_PEROXISOME,0.19175838823932664,0.9938319291501664,False
KEGG_PATHWAYS_IN_CANCER,0.5078030288452287,0.9939453799931354,False
KEGG_MAPK_SIGNALING_PATHWAY,0.4488012392204009,0.9955509325097421,False
KEGG_ECM_RECEPTOR_INTERACTION,0.17768434441578632,0.995842898027888,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.17553414327607875,0.9961076520124439,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.17138375502966652,0.9965877792486062,False
KEGG_CELL_CYCLE,0.24059787849566056,0.9971877449427631,False
KEGG_PYRIMIDINE_METABOLISM,0.1516159264745896,0.9983473420165926,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.21361099184199228,0.9988458268557285,False
KEGG_PURINE_METABOLISM,0.18565005620082428,0.9996546300234376,False
KEGG_OXIDATIVE_PHOSPHORYLATION,0.11238438980374464,0.9998139650277527,False
KEGG_HUNTINGTONS_DISEASE,0.16305353602115003,0.9999046164317728,False
KEGG_OLFACTORY_TRANSDUCTION,0.035704568128911325,0.9999999999983741,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.0,1.0,False
KEGG_TYROSINE_METABOLISM,0.0,1.0,False
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.0,1.0,False
KEGG_PHENYLALANINE_METABOLISM,0.0,1.0,False
KEGG_TRYPTOPHAN_METABOLISM,0.0,1.0,False
KEGG_BETA_ALANINE_METABOLISM,0.0,1.0,False
KEGG_GALACTOSE_METABOLISM,0.0,1.0,False
KEGG_TYPE_I_DIABETES_MELLITUS,0.0,1.0,False
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0,1.0,False
KEGG_GLUTATHIONE_METABOLISM,0.0,1.0,False
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0,1.0,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.0,1.0,False
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.0,1.0,False
KEGG_HISTIDINE_METABOLISM,0.0,1.0,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.0,1.0,False
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.0,1.0,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.0,1.0,False
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.0,1.0,False
