,OR,p,FDR
KEGG_CHEMOKINE_SIGNALING_PATHWAY,4.505208333333333,7.340558715418332e-06,True
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,5.940008694392117,0.000150633394901259,True
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,4.211526544102458,0.001226404623501199,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,3.8584701815038893,0.003754247970202058,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,3.3920411271896422,0.007156364804716481,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,3.0477910739820877,0.0076419433415372525,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,3.1381439661256176,0.010443577514606688,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,3.2617287098419174,0.02429237118605057,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,2.414761904761905,0.04784348491019484,False
KEGG_PANCREATIC_CANCER,2.9028603794958934,0.05818055662488952,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,2.858976147300879,0.060699124373951,False
KEGG_LEISHMANIA_INFECTION,2.816382627817482,0.06327501533405382,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1.889083589865025,0.0769213296864104,False
KEGG_MTOR_SIGNALING_PATHWAY,2.9149659863945576,0.09445120869897114,False
KEGG_SMALL_CELL_LUNG_CANCER,2.3883177570093457,0.09851061017739983,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,2.358370831891081,0.10179195898247857,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,2.7995642701525054,0.10294792324537867,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.9336529242569511,0.1053454534028643,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.6424897119341564,0.11623765734390815,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,2.2252604166666665,0.16463969360187278,False
KEGG_PRIMARY_IMMUNODEFICIENCY,2.867945510147345,0.16590347192002802,False
