,OR,p,FDR
KEGG_MAPK_SIGNALING_PATHWAY,1.993915040183697,0.07783004375013503,False
KEGG_ERBB_SIGNALING_PATHWAY,2.584507042253521,0.1212439579084082,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,5.947488584474886,0.1673455669087277,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.6095959595959597,0.18897855844950376,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,2.17003367003367,0.24561652452655539,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.4093773165307635,0.36900632256295246,False
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,2.154005811540058,0.3811753650171207,False
KEGG_GNRH_SIGNALING_PATHWAY,1.4374298540965207,0.4143653297916551,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,1.9196593854128101,0.4152677835899112,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.4227777777777777,0.4192483051124646,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.5413936867182847,0.48534732971430083,False
KEGG_TYPE_II_DIABETES_MELLITUS,1.5413936867182847,0.48534732971430083,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.1420250896057347,0.5296929549416325,False
KEGG_COLORECTAL_CANCER,1.1589939366719066,0.5841885038811971,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.1589939366719066,0.5841885038811971,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.0701535907015358,0.6127740067486293,False
KEGG_P53_SIGNALING_PATHWAY,1.0539766918830504,0.6182539691641081,False
KEGG_RENAL_CELL_CARCINOMA,1.023029581099861,0.6289853933622755,False
KEGG_LEISHMANIA_INFECTION,0.9938259695157244,0.639419105342712,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.9798325722983258,0.6445268745221219,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.9529803776379119,0.6545292288119803,False
KEGG_VEGF_SIGNALING_PATHWAY,0.9400913242009132,0.6594257691392458,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.739293439077145,0.7441593943658523,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.654845730380233,0.7846261956688103,False
KEGG_CELL_CYCLE,0.5678806103129524,0.8289120862973678,False
KEGG_AXON_GUIDANCE,0.5451626712328768,0.8408107600518284,False
KEGG_PATHWAYS_IN_CANCER,0.6429883649724434,0.8416614518010268,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.5241528478731075,0.85189232557934,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.5122884770346495,0.8581722549725852,False
KEGG_WNT_SIGNALING_PATHWAY,0.46639698446262756,0.8824842520700988,False
KEGG_ENDOCYTOSIS,0.3837138508371385,0.9250943504639006,False
KEGG_FOCAL_ADHESION,0.34758544347585446,0.9424026494565464,False
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.25726442507264424,0.978198296852475,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0,1.0,False
KEGG_ADHERENS_JUNCTION,0.0,1.0,False
KEGG_PANCREATIC_CANCER,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0,1.0,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_TIGHT_JUNCTION,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_APOPTOSIS,0.0,1.0,False
KEGG_MTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.0,1.0,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.0,1.0,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0,1.0,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.0,1.0,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0,1.0,False
KEGG_ENDOMETRIAL_CANCER,0.0,1.0,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.0,1.0,False
KEGG_PRION_DISEASES,0.0,1.0,False
KEGG_HUNTINGTONS_DISEASE,0.0,1.0,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.0,1.0,False
KEGG_ALZHEIMERS_DISEASE,0.0,1.0,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.0,1.0,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.0,1.0,False
