,OR,p,FDR
KEGG_DNA_REPLICATION,2.681119648737651,0.007211616888634694,False
KEGG_CELL_CYCLE,1.3526129895840364,0.11463500515949228,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,1.3358167770419427,0.17907927332975065,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.2318742031449215,0.25199758985196685,False
KEGG_SPLICEOSOME,1.1807158119658119,0.27181281890101955,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.179764266542187,0.28447206633015665,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.2240437158469946,0.29301313602748874,False
KEGG_MISMATCH_REPAIR,1.4799685306221253,0.2942893330448437,False
KEGG_BASE_EXCISION_REPAIR,1.332150655021834,0.3128705484943889,False
KEGG_NON_HOMOLOGOUS_END_JOINING,1.5975,0.3395821487636642,False
KEGG_NUCLEOTIDE_EXCISION_REPAIR,1.183485124468731,0.3948914544526748,False
KEGG_PRIMARY_IMMUNODEFICIENCY,1.1010416274959576,0.48588889351534237,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.0468769682028396,0.4923860865221553,False
KEGG_ONE_CARBON_POOL_BY_FOLATE,1.1401397515527951,0.5188903920149447,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.0036130068245686,0.5246657331264741,False
KEGG_COLORECTAL_CANCER,1.0230432218384025,0.5278545387473415,False
KEGG_ACUTE_MYELOID_LEUKEMIA,0.9971963894967177,0.5594363868969985,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.9519471795795993,0.6099475229829783,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.9302128820960699,0.6315151112436967,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.9243050605844618,0.6385925386573509,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.9243050605844618,0.6385925386573509,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.8988529014844804,0.6755722580890475,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.8854280510018215,0.6804278149036355,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.8841620626151013,0.7206487200063088,False
KEGG_MTOR_SIGNALING_PATHWAY,0.8260067928190199,0.7371664194573103,False
KEGG_ENDOMETRIAL_CANCER,0.8260067928190199,0.7371664194573103,False
KEGG_PROTEIN_EXPORT,0.7590062111801242,0.7562068621285581,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.7964558342420938,0.7576951735458071,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.7905323794481093,0.7729327882280825,False
KEGG_VEGF_SIGNALING_PATHWAY,0.8037107106110392,0.7843414403796722,False
KEGG_GALACTOSE_METABOLISM,0.6927221172022684,0.8035795162159388,False
KEGG_PRION_DISEASES,0.6848959247428832,0.8273540397643782,False
KEGG_APOPTOSIS,0.7670100415512465,0.8331133633156227,False
KEGG_FOLATE_BIOSYNTHESIS,0.5313449023861171,0.8499763982071381,False
KEGG_GAP_JUNCTION,0.7374250499666889,0.863931218509101,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.7065938069216757,0.8644418457078098,False
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.7685138016263844,0.8720620452263735,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.5308360477741585,0.8844462028652199,False
KEGG_PANCREATIC_CANCER,0.6835184205887538,0.8845728275234707,False
KEGG_RENAL_CELL_CARCINOMA,0.6835184205887538,0.8845728275234707,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.6311598713559498,0.8857363326179322,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.5054547334677628,0.8992259249075917,False
KEGG_GLIOMA,0.6391544948049992,0.9079625356775531,False
KEGG_RIBOSOME,0.6783778470525459,0.9085322022667924,False
KEGG_ADHERENS_JUNCTION,0.6515678856662463,0.910071075470901,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.5579290991352156,0.9174919235099667,False
KEGG_OOCYTE_MEIOSIS,0.6940836940836941,0.9187365265374468,False
KEGG_RNA_DEGRADATION,0.5994938375753586,0.9227557586836287,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.5131136044880785,0.9228024771499963,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.6175946142649199,0.9231316726393252,False
KEGG_PYRIMIDINE_METABOLISM,0.6685067553942327,0.924377314815561,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.37922218779051753,0.9248100285515717,False
KEGG_LYSOSOME,0.691198091771794,0.92736967029878,False
KEGG_LYSINE_DEGRADATION,0.5298150163220893,0.9340086149911753,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.35386840202458425,0.9367406360240393,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6604006586169044,0.9372794610346187,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.4242345276872964,0.9424035257563109,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.3316838394793926,0.9467799057811261,False
KEGG_ERBB_SIGNALING_PATHWAY,0.6098720754081804,0.9473329049894856,False
