,OR,p,FDR
KEGG_NON_SMALL_CELL_LUNG_CANCER,4.426495726495727,0.0829499819842559,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,9.454710144927537,0.10989429238486238,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,3.2300469483568075,0.13724783869335283,False
KEGG_SMALL_CELL_LUNG_CANCER,2.7907859078590787,0.17149505607824309,False
KEGG_THYROID_CANCER,4.0395962732919255,0.2290194189723525,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,2.2804444444444445,0.23002697545806183,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,3.4242424242424243,0.2629366186359254,False
KEGG_PRION_DISEASES,3.3228900255754477,0.269542640549599,False
KEGG_BLADDER_CANCER,2.7518557794273595,0.3141895249018466,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,2.7518557794273595,0.3141895249018466,False
KEGG_INSULIN_SIGNALING_PATHWAY,1.6776954732510287,0.3459251577618445,False
KEGG_ENDOMETRIAL_CANCER,2.208013640238704,0.3733708498967687,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,2.0841384863123995,0.39012918974177424,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.0089285714285716,0.4010568862561559,False
KEGG_GLIOMA,1.755095108695652,0.44288320921711,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.7012516469038208,0.45288472074963226,False
KEGG_PPAR_SIGNALING_PATHWAY,1.6505754475703325,0.46271043542168344,False
KEGG_PANCREATIC_CANCER,1.6263390044108381,0.46755831592428554,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.6027950310559007,0.47236337720595856,False
KEGG_MELANOMA,1.6027950310559007,0.47236337720595856,False
KEGG_LEISHMANIA_INFECTION,1.5799142682180036,0.477125989312559,False
KEGG_ERBB_SIGNALING_PATHWAY,1.300556117290192,0.5437135538075264,False
KEGG_PROSTATE_CANCER,1.27050395256917,0.551939493042675,False
KEGG_PATHWAYS_IN_CANCER,1.039455110107284,0.5601571349936542,False
KEGG_GNRH_SIGNALING_PATHWAY,1.1154347826086957,0.5983322905960184,False
KEGG_CELL_CYCLE,0.9027925061859314,0.6744831268469202,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.7166854884246189,0.7551634658250403,False
KEGG_FOCAL_ADHESION,0.5525911286780852,0.8370671131829761,False
KEGG_MAPK_SIGNALING_PATHWAY,0.40576985943118665,0.9137781029930857,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.0,1.0,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_ENDOCYTOSIS,0.0,1.0,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0,1.0,False
KEGG_MTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_APOPTOSIS,0.0,1.0,False
KEGG_TIGHT_JUNCTION,0.0,1.0,False
KEGG_ADHERENS_JUNCTION,0.0,1.0,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_VEGF_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_AXON_GUIDANCE,0.0,1.0,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.0,1.0,False
KEGG_WNT_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_TASTE_TRANSDUCTION,0.0,1.0,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_HUNTINGTONS_DISEASE,0.0,1.0,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.0,1.0,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.0,1.0,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0,1.0,False
KEGG_COLORECTAL_CANCER,0.0,1.0,False
KEGG_RENAL_CELL_CARCINOMA,0.0,1.0,False
KEGG_BASAL_CELL_CARCINOMA,0.0,1.0,False
KEGG_ASTHMA,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.0,1.0,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0,1.0,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0,1.0,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.0,1.0,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0,1.0,False
