,OR,p,FDR
KEGG_DNA_REPLICATION,2.2714311174478703,0.08866030433489158,False
KEGG_N_GLYCAN_BIOSYNTHESIS,1.7140547096078695,0.19051030899941207,False
KEGG_CELL_CYCLE,1.371581982698618,0.20424821564258216,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,1.4620699634627212,0.20526471151646342,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.3752572852345357,0.3182140900245553,False
KEGG_NOTCH_SIGNALING_PATHWAY,1.3033506310461913,0.3848299517724117,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.101123595505618,0.462055072833514,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.0769230769230769,0.46753728019936563,False
KEGG_SPLICEOSOME,1.067583562162674,0.47717713864264555,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.0334649460708782,0.49818940362633135,False
KEGG_VIRAL_MYOCARDITIS,1.0760730981725457,0.505707337223358,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1.0360053646961724,0.5158439298591688,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.0279899252518687,0.5436933821365728,False
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.9839701190568827,0.5802582449206236,False
KEGG_NON_HOMOLOGOUS_END_JOINING,1.1650728597449909,0.59320467435018,False
KEGG_COLORECTAL_CANCER,0.9634273772204807,0.6020377092362648,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.9982435597189696,0.6458437987080617,False
KEGG_MTOR_SIGNALING_PATHWAY,0.8544516707782014,0.6848086651848302,False
KEGG_PRION_DISEASES,0.8461602324616023,0.6889655639541912,False
KEGG_BASE_EXCISION_REPAIR,0.8461602324616023,0.6889655639541912,False
KEGG_RENAL_CELL_CARCINOMA,0.8453126304365974,0.6971272112792907,False
KEGG_PANCREATIC_CANCER,0.8453126304365974,0.6971272112792907,False
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.8206205559146735,0.7094533341880531,False
