,OR,p,FDR
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.0585227272727273,0.46278430976742274,False
KEGG_OTHER_GLYCAN_DEGRADATION,1.0776132794975326,0.5444836243031914,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.9504852446028916,0.6214713348010535,False
KEGG_PROTEIN_EXPORT,0.8500797448165869,0.7025998115414966,False
KEGG_COLORECTAL_CANCER,0.8562723667666119,0.7356218280192269,False
KEGG_PRION_DISEASES,0.8071476736345247,0.7540703529024696,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.8255578093306288,0.7620784053733866,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.8485499462943072,0.7769795410521712,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.7849152325857255,0.7925258999581604,False
KEGG_PANCREATIC_CANCER,0.8062330623306233,0.8033625719114368,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.7885357974607468,0.8040461864519667,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.8406192538110209,0.8044238893266787,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.7640996481751307,0.8138766976665599,False
KEGG_ACUTE_MYELOID_LEUKEMIA,0.7712320310433018,0.8228712071821818,False
KEGG_LEISHMANIA_INFECTION,0.7781048500140174,0.8363851670092847,False
KEGG_SULFUR_METABOLISM,0.5871212121212122,0.8492686265029643,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.6454912516823688,0.853564005835688,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.739370918299347,0.8778089024245799,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.5865655206166647,0.894561759570897,False
KEGG_GALACTOSE_METABOLISM,0.5865655206166647,0.894561759570897,False
KEGG_ENDOMETRIAL_CANCER,0.6745442268737339,0.8963394273678544,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.4965880893300248,0.9013434092880953,False
KEGG_APOPTOSIS,0.725438110344564,0.9035782200100544,False
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.5609456375446193,0.9109962762377066,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.6442943956785956,0.9194613160315974,False
KEGG_HOMOLOGOUS_RECOMBINATION,0.5374607447285779,0.9251095057716526,False
KEGG_NITROGEN_METABOLISM,0.48379287155346334,0.9347144514633963,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.48379287155346334,0.9347144514633963,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.7545917954527065,0.947092426042082,False
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.32276695768972463,0.9485856653745972,False
KEGG_FOLATE_BIOSYNTHESIS,0.32276695768972463,0.9485856653745972,False
KEGG_ADHERENS_JUNCTION,0.632888928325828,0.9493822329427537,False
KEGG_BLADDER_CANCER,0.536837376460018,0.9536184581590136,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.6334502780000411,0.9546627722988167,False
KEGG_RENAL_CELL_CARCINOMA,0.5996607877516875,0.9614953953179939,False
KEGG_LYSOSOME,0.6741729067392784,0.963530625414706,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.6789981136030182,0.9637914661818269,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.26886053279606,0.9700457715621811,False
KEGG_NON_HOMOLOGOUS_END_JOINING,0.26886053279606,0.9700457715621811,False
