,OR,p,FDR
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,5.257345491388045,0.010890489201347794,False
KEGG_ACUTE_MYELOID_LEUKEMIA,3.263124604680582,0.015000153164859037,False
KEGG_PROSTATE_CANCER,2.3662491760052737,0.03809012629149954,False
KEGG_THYROID_CANCER,3.1648351648351647,0.08215899207086054,False
KEGG_PANCREATIC_CANCER,2.11641299876594,0.10223086037801961,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,2.195744680851064,0.12421748817961492,False
KEGG_SMALL_CELL_LUNG_CANCER,1.7366140932782779,0.17780979770588773,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.7382640999662275,0.21414564385705168,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,1.5852605612087574,0.2605191442651167,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.540005993407252,0.2764068198944861,False
KEGG_PATHWAYS_IN_CANCER,1.1401303538175047,0.37012392241819336,False
KEGG_BLADDER_CANCER,1.3605263157894736,0.4433534729506052,False
KEGG_LEISHMANIA_INFECTION,1.182654704393835,0.474710385761544,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.0445990180032734,0.5391353658916782,False
KEGG_ENDOMETRIAL_CANCER,1.0863157894736841,0.5569878393312633,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.024230387288977,0.5877392736192371,False
KEGG_CELL_CYCLE,0.9024822695035462,0.6490644650854694,False
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.9035087719298246,0.6532738710338454,False
KEGG_COLORECTAL_CANCER,0.9035087719298246,0.6532738710338454,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.8873386815486571,0.6615259347714254,False
KEGG_GLIOMA,0.859983291562239,0.6787261367451105,False
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.820414673046252,0.702643231637731,False
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.821354910360146,0.7089566036573495,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.8194644861311527,0.7095413665011541,False
KEGG_PPAR_SIGNALING_PATHWAY,0.808012568735271,0.7102819553247053,False
KEGG_PRION_DISEASES,0.7970434246997228,0.7193665015811176,False
KEGG_MELANOMA,0.7842868039664378,0.7250698851453421,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.7842868039664378,0.7250698851453421,False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.6600689567105095,0.7825658657670503,False
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.6291245586265677,0.7978656402160678,False
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.6502219403931515,0.8116592795581186,False
KEGG_APOPTOSIS,0.6346749226006192,0.8218307672443225,False
KEGG_BASAL_CELL_CARCINOMA,0.4999030444056622,0.8647482625809996,False
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.49071870537839124,0.8696048800485519,False
KEGG_MELANOGENESIS,0.5434343434343434,0.8802640451430492,False
KEGG_WNT_SIGNALING_PATHWAY,0.546701220170608,0.9078479644578926,False
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.5779183438757907,0.9102492997086118,False
KEGG_P53_SIGNALING_PATHWAY,0.40189106821911386,0.9159675883430738,False
KEGG_RENAL_CELL_CARCINOMA,0.39009029516655286,0.9219088337719069,False
KEGG_ADHERENS_JUNCTION,0.37361838278068643,0.9300461352466375,False
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.3684286021659614,0.9325665221922068,False
KEGG_VEGF_SIGNALING_PATHWAY,0.35846422338568934,0.9373394635681681,False
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.3479188166494668,0.9767834989544811,False
KEGG_MAPK_SIGNALING_PATHWAY,0.40021033896933905,0.9878500491668126,False
KEGG_HUNTINGTONS_DISEASE,0.29757539917208753,0.9895750647082433,False
KEGG_SPLICEOSOME,0.21125238926286047,0.9904529193481062,False
KEGG_AXON_GUIDANCE,0.20786976439790575,0.9911353259361912,False
KEGG_INSULIN_SIGNALING_PATHWAY,0.19533415460425008,0.9934127077287077,False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.19533415460425008,0.9934127077287077,False
KEGG_TYPE_I_DIABETES_MELLITUS,0.0,1.0,False
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0,1.0,False
KEGG_ECM_RECEPTOR_INTERACTION,0.0,1.0,False
KEGG_FOCAL_ADHESION,0.0,1.0,False
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0,1.0,False
KEGG_NOTCH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.0,1.0,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.0,1.0,False
KEGG_PRIMARY_IMMUNODEFICIENCY,0.0,1.0,False
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0,1.0,False
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0,1.0,False
KEGG_MTOR_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_PEROXISOME,0.0,1.0,False
KEGG_ENDOCYTOSIS,0.0,1.0,False
KEGG_LYSOSOME,0.0,1.0,False
KEGG_REGULATION_OF_AUTOPHAGY,0.0,1.0,False
KEGG_ALLOGRAFT_REJECTION,0.0,1.0,False
KEGG_TIGHT_JUNCTION,0.0,1.0,False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.0,1.0,False
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0,1.0,False
KEGG_TYPE_II_DIABETES_MELLITUS,0.0,1.0,False
KEGG_ALZHEIMERS_DISEASE,0.0,1.0,False
KEGG_PARKINSONS_DISEASE,0.0,1.0,False
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0,1.0,False
KEGG_GNRH_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0,1.0,False
KEGG_TASTE_TRANSDUCTION,0.0,1.0,False
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.0,1.0,False
KEGG_LONG_TERM_DEPRESSION,0.0,1.0,False
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.0,1.0,False
KEGG_LONG_TERM_POTENTIATION,0.0,1.0,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.0,1.0,False
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.0,1.0,False
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0,1.0,False
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.0,1.0,False
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.0,1.0,False
KEGG_VIBRIO_CHOLERAE_INFECTION,0.0,1.0,False
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0,1.0,False
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0,1.0,False
KEGG_ASTHMA,0.0,1.0,False
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0,1.0,False
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0,1.0,False
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.0,1.0,False
KEGG_GAP_JUNCTION,0.0,1.0,False
KEGG_OLFACTORY_TRANSDUCTION,0.0,1.0,False
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0,1.0,False
KEGG_OOCYTE_MEIOSIS,0.0,1.0,False
KEGG_BETA_ALANINE_METABOLISM,0.0,1.0,False
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0,1.0,False
KEGG_SELENOAMINO_ACID_METABOLISM,0.0,1.0,False
KEGG_GLUTATHIONE_METABOLISM,0.0,1.0,False
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0,1.0,False
KEGG_N_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_OTHER_GLYCAN_DEGRADATION,0.0,1.0,False
KEGG_O_GLYCAN_BIOSYNTHESIS,0.0,1.0,False
KEGG_TRYPTOPHAN_METABOLISM,0.0,1.0,False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0,1.0,False
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.0,1.0,False
