,OR,p,FDR
KEGG_THYROID_CANCER,4.9695808383233535,0.012554992074931758,False
KEGG_ACUTE_MYELOID_LEUKEMIA,2.9888785912882296,0.033786459236423275,False
KEGG_PROSTATE_CANCER,2.2470974808324207,0.06278692193250283,False
KEGG_CHRONIC_MYELOID_LEUKEMIA,2.2785258681785967,0.0813828962811974,False
KEGG_BLADDER_CANCER,2.3685897435897436,0.14762331886227575,False
KEGG_DORSO_VENTRAL_AXIS_FORMATION,2.7918235610543305,0.17612716500551978,False
KEGG_PANCREATIC_CANCER,1.8675376519687896,0.18173478741855423,False
KEGG_WNT_SIGNALING_PATHWAY,1.5130052873955313,0.19900957058164462,False
KEGG_ENDOMETRIAL_CANCER,1.8815597667638484,0.22812767972190393,False
KEGG_BASAL_CELL_CARCINOMA,1.771978021978022,0.2537583768036374,False
KEGG_SMALL_CELL_LUNG_CANCER,1.5365269461077844,0.27710381519574434,False
KEGG_BASAL_TRANSCRIPTION_FACTORS,1.857270934194011,0.30603430630867895,False
KEGG_COLORECTAL_CANCER,1.5596246973365617,0.3148175626674994,False
KEGG_PATHWAYS_IN_CANCER,1.1812646934715776,0.3366419964765729,False
KEGG_CIRCADIAN_RHYTHM_MAMMAL,2.549019607843137,0.34304811427607795,False
KEGG_PPAR_SIGNALING_PATHWAY,1.3923160173160174,0.3762096093079007,False
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.2748015873015872,0.4279776593563658,False
KEGG_NON_SMALL_CELL_LUNG_CANCER,1.1743286299499318,0.5161689601431749,False
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.15194819694094,0.5260712463079796,False
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,1.2715686274509803,0.5546472613501887,False
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.9993128497104152,0.572485402995992,False
KEGG_GLIOMA,0.9672208133746595,0.6174281170864391,False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.9370960400546199,0.6340037231480493,False
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.9222582972582972,0.6349515203656491,False
KEGG_P53_SIGNALING_PATHWAY,0.922718307333692,0.642080255949398,False
KEGG_MELANOMA,0.8820855844267216,0.665472159015399,False
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.8820855844267216,0.665472159015399,False
KEGG_LEISHMANIA_INFECTION,0.8693153000845308,0.6729928622528712,False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.8685374149659864,0.6732977955676621,False
KEGG_VEGF_SIGNALING_PATHWAY,0.8216855909163602,0.7017188672875512,False
