,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,1.6944954752670613,2.3464046393453787e-05,True
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.849463746708625,0.0005030199831454093,False
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,3.1652743999154067,0.000540527512351971,False
REACTOME_SIGNALING_BY_VEGF,2.1658972774526553,0.0014537545997722397,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,2.462660731948566,0.001714863547741409,False
REACTOME_RHO_GTPASE_CYCLE,1.934935683626783,0.002164311067099966,False
REACTOME_INTEGRIN_SIGNALING,3.682756079587325,0.0031382603002727437,False
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,2.739182768451061,0.003436842015673555,False
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,3.488577745025792,0.004140051257293003,False
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.5881183932346723,0.00458842238351205,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,3.3138172439204125,0.005374890333544148,False
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,2.9463126843657816,0.006541712008616182,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,2.9463126843657816,0.006541712008616182,False
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,3.463917525773196,0.006971697110674432,False
REACTOME_PECAM1_INTERACTIONS,5.251390784087331,0.00947442536993459,False
REACTOME_RECYCLING_PATHWAY_OF_L1,2.3895564693201323,0.011372213154135374,False
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,3.6768382352941176,0.01531345336234654,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,3.0286975717439293,0.019360974149975632,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,3.0286975717439293,0.019360974149975632,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,3.0286975717439293,0.019360974149975632,False
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,4.083598661115193,0.01951847841976333,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,2.4529599606976173,0.023439900819716752,False
REACTOME_MAPK3_ERK1_ACTIVATION,4.898188937836515,0.023912728286023744,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,3.674871418074945,0.026447026308500127,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,2.7093451066961003,0.029759766664468213,False
