,OR,p,FDR
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,3.7255070375706527,5.119960395250749e-19,True
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,8.871428571428572,3.125901834253968e-06,True
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,4.784773662551441,5.256705020351112e-05,True
REACTOME_NGF_STIMULATED_TRANSCRIPTION,7.798387096774194,0.000255184388800022,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,3.9344262295081966,0.0004766416732027869,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS,8.220574606116775,0.0006766812219391386,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,4.199087844536982,0.001145644486948897,False
REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION,8.52,0.0021021530785075653,False
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,4.669354838709677,0.0028378707633133376,False
REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION,12.741035856573705,0.0029892444029548985,False
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7.4066086956521735,0.0032874840733503885,False
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,10.615537848605578,0.004594974931249692,False
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,6.550153846153846,0.004861441468665415,False
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT,6.306962962962963,0.005481405949823276,False
REACTOME_CIRCADIAN_CLOCK,4.009324596774194,0.005637339492478941,False
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,6.081142857142857,0.006152042207433037,False
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,9.0973249857712,0.006635781543663291,False
REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,7.489805483946567,0.010568699272650372,False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,7.489805483946567,0.010568699272650372,False
REACTOME_SUMOYLATION,2.4296100768732054,0.01203035739247818,False
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,7.0730411686586985,0.012121713812411625,False
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,3.8059380378657486,0.013490210974806701,False
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,4.4766315789473685,0.015990402350719468,False
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,4.252,0.018710203365719366,False
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,5.7848605577689245,0.019584536032596737,False
REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION,10.577380952380953,0.021426266197473988,False
REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION,10.577380952380953,0.021426266197473988,False
REACTOME_INTERLEUKIN_21_SIGNALING,10.577380952380953,0.021426266197473988,False
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,10.577380952380953,0.021426266197473988,False
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,10.577380952380953,0.021426266197473988,False
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,5.532825220855708,0.021767062481055793,False
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,3.2761816496756255,0.023225232519818118,False
REACTOME_ENDOGENOUS_STEROLS,5.301792828685259,0.024077009782012673,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,2.8440860215053765,0.024290658254694848,False
REACTOME_INTERLEUKIN_6_SIGNALING,9.401234567901234,0.025790992460659294,False
REACTOME_INTERLEUKIN_27_SIGNALING,9.401234567901234,0.025790992460659294,False
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,9.401234567901234,0.025790992460659294,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,4.893043211768312,0.02907858788408865,False
REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS,8.46031746031746,0.03048132338412316,False
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS,8.46031746031746,0.03048132338412316,False
REACTOME_INTERLEUKIN_35_SIGNALLING,8.46031746031746,0.03048132338412316,False
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,4.711376715360779,0.031769381931133246,False
REACTOME_SIGNALING_BY_NTRKS,2.352673021135516,0.0368052703672025,False
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,6.506105006105006,0.046335299155667656,False
REACTOME_ONCOGENE_INDUCED_SENESCENCE,3.9733565737051793,0.04708936853653278,False
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,6.040816326530612,0.052160458398049024,False
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,6.040816326530612,0.052160458398049024,False
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,2.4426441397775007,0.06302171739272347,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST,5.284722222222222,0.06453073646835168,False
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION,5.284722222222222,0.06453073646835168,False
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS,5.284722222222222,0.06453073646835168,False
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,3.258044744100521,0.07350187808607882,False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS,3.1762948207171315,0.07771574845578877,False
REACTOME_SIGNALING_BY_PDGFR_IN_DISEASE,4.696649029982363,0.07776739189588369,False
REACTOME_INTERLEUKIN_37_SIGNALING,4.4490392648287385,0.08467746327436988,False
REACTOME_CELLULAR_SENESCENCE,1.803415494472405,0.08902105445140795,False
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,2.4582028985507245,0.0898340140379777,False
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,4.024565381708239,0.09901909811718808,False
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,2.8220451527224437,0.10029122133037092,False
REACTOME_SIGNALING_BY_NOTCH3,2.760436514810324,0.1050903202729142,False
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,3.8412698412698414,0.10642726340959383,False
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,3.8412698412698414,0.10642726340959383,False
REACTOME_XENOBIOTICS,3.8412698412698414,0.10642726340959383,False
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,3.8412698412698414,0.10642726340959383,False
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,3.5205026455026456,0.1216631167904171,False
REACTOME_REGULATION_OF_IFNA_SIGNALING,3.5205026455026456,0.1216631167904171,False
REACTOME_SIGNALING_BY_NOTCH,1.610152632481564,0.12244583473329418,False
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,3.3793650793650793,0.12947000535128417,False
REACTOME_G0_AND_EARLY_G1,3.3793650793650793,0.12947000535128417,False
REACTOME_SIGNALING_BY_PTK6,2.4886337004921493,0.1303645229772432,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,2.118,0.1316021395879576,False
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,1.859367293736349,0.14390699669901325,False
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,3.128453850676073,0.14541271936747174,False
REACTOME_SIGNALING_BY_PDGF,2.306772908366534,0.15195955428734378,False
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,1.8111763292486185,0.15484058268884027,False
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,2.912151067323481,0.16173314543080877,False
REACTOME_PERK_REGULATES_GENE_EXPRESSION,2.814814814814815,0.1700135291531405,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,2.638392857142857,0.18677469357131843,False
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,2.044981364863128,0.19214745217239243,False
