,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,3.1456519687640077,3.429109681143852e-11,True
REACTOME_INNATE_IMMUNE_SYSTEM,2.3415334855403347,7.133078139729542e-11,True
REACTOME_SIGNALING_BY_INTERLEUKINS,2.8240367410235,7.67610519245e-09,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,7.936977980258162,3.752778064132148e-07,True
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2.098917748917749,4.5634706782044594e-07,True
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3.0382109004739335,1.085977878547333e-06,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,11.124153498871332,4.564187100992253e-06,True
REACTOME_SIGNALING_BY_VEGF,4.249910600255427,6.437234721773868e-06,True
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,6.9727891156462585,9.015098804422562e-06,True
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,9.711711711711711,3.629511053913172e-05,True
REACTOME_RHO_GTPASE_CYCLE,3.3011502004420965,6.141943923763205e-05,True
REACTOME_INTERLEUKIN_2_SIGNALING,16.787315823190262,7.251594134637348e-05,True
REACTOME_PARASITE_INFECTION,3.5384685257516577,8.023537287299304e-05,True
REACTOME_INTEGRIN_SIGNALING,8.25259009009009,8.363621127591465e-05,True
REACTOME_SIGNALING_BY_RHO_GTPASES,2.090021329336485,0.0001230307990090673,True
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,3.432211186864517,0.00018050739174106534,True
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,3.0010317675807765,0.00026328170161807465,True
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,7.843445692883895,0.00033899465133110663,True
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,7.843445692883895,0.00033899465133110663,True
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1.9179571527583816,0.0004563889431176682,True
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,5.890202702702703,0.00047596779618810226,True
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,9.787929745889388,0.0004773407277657039,True
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,2.779293564896384,0.00056493587696628,True
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,5.6865486175831,0.0005701899841684884,True
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,9.034149706795446,0.0006387302600218783,True
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,6.721027287319422,0.0006711997207081602,True
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.1715741307749883,0.0006832812833833801,True
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,3.6936649659863945,0.0008641762591197843,True
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,5.1519566441441444,0.0009442985494938628,True
REACTOME_HEMOSTASIS,1.7257721849975487,0.001000656668621326,True
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,1.6542531262883056,0.0010868701583820345,True
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,7.338144618834081,0.0013694763924049912,False
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,6.9058295964125564,0.0017129755460873908,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,3.0967261904761907,0.0017766696701357813,False
REACTOME_INTERLEUKIN_15_SIGNALING,9.377181208053692,0.002051306710130054,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,9.377181208053692,0.002051306710130054,False
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,2.7011735960906833,0.0022003221752253284,False
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.9548295454545452,0.0024758937321604636,False
REACTOME_INTERLEUKIN_10_SIGNALING,4.2244167244167246,0.0025641571787520037,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,6.177720084965777,0.0025832006166466416,False
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,2.5330934372106837,0.0026228669624710995,False
REACTOME_CELL_CELL_COMMUNICATION,2.6311516996448505,0.002707245319212415,False
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,4.700674157303371,0.003227890890585309,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,7.81282624906786,0.0034931523069203605,False
REACTOME_P75NTR_SIGNALS_VIA_NF_KB,7.81282624906786,0.0034931523069203605,False
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,5.588298099508862,0.0037357810943402514,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,4.8883594917787745,0.006094004252426113,False
REACTOME_MET_PROMOTES_CELL_MOTILITY,4.027223113964687,0.0062668375896261525,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,2.7111840904944353,0.006538086782897735,False
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,2.7111840904944353,0.006538086782897735,False
REACTOME_INTERLEUKIN_21_SIGNALING,10.027423469387756,0.006723901414404447,False
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,3.359073359073359,0.007811541301880982,False
REACTOME_SIGNALING_BY_SCF_KIT,3.808806559368357,0.007930135619168516,False
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2.3619589977220956,0.008277257160337472,False
REACTOME_INTERLEUKIN_6_SIGNALING,8.773158482142858,0.0089654828583089,False
REACTOME_IRAK4_DEFICIENCY_TLR2_4,8.773158482142858,0.0089654828583089,False
REACTOME_SIGNALING_BY_LEPTIN,8.773158482142858,0.0089654828583089,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,2.941591422121896,0.009300083362125454,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,4.343962796877595,0.009340588950567792,False
REACTOME_CD209_DC_SIGN_SIGNALING,5.512304250559284,0.009760230887650576,False
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,3.164371101871102,0.010343651881905475,False
REACTOME_CD28_CO_STIMULATION,4.1884208840486865,0.010644776172601414,False
REACTOME_PECAM1_INTERACTIONS,7.7976190476190474,0.011592887685654767,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,7.7976190476190474,0.011592887685654767,False
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.212628132118451,0.012892726986700746,False
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,4.931119745672907,0.013534373461966172,False
REACTOME_DEATH_RECEPTOR_SIGNALLING,2.1952640779784924,0.013585735992593004,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.9084454409566516,0.013615369881665482,False
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,7.0171875,0.014616519009842342,False
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,7.0171875,0.014616519009842342,False
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES,7.0171875,0.014616519009842342,False
REACTOME_RECYCLING_PATHWAY_OF_L1,3.275463809772668,0.014798659360282788,False
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,2.3557823129251703,0.015232691923935325,False
