,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,2.573861211345206,1.6780326332127386e-08,True
REACTOME_INNATE_IMMUNE_SYSTEM,1.8265533447265625,1.590561818219836e-06,True
REACTOME_RHO_GTPASE_CYCLE,3.5294117647058822,4.145936702246964e-06,True
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.5751706986545146,4.339804273982209e-06,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,5.879251875449594,1.503650535702045e-05,True
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.5115649606299213,3.0035558718013525e-05,True
REACTOME_SIGNALING_BY_VEGF,3.531328641501386,5.313934636712978e-05,True
REACTOME_SIGNALING_BY_INTERLEUKINS,2.024040404040404,7.38496099998839e-05,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,7.64643605870021,0.00014341049405114132,True
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,9.818267419962336,0.00014944683408635385,True
REACTOME_SIGNALING_BY_RHO_GTPASES,1.948891416129628,0.00021345923556041394,True
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1.8323232323232324,0.0004856352101892332,True
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,5.501735849056604,0.0007454041910182885,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,6.541745134965474,0.0008430631840024463,False
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,4.37009031716026,0.0011602331583334775,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,4.910849056603774,0.0013113352667991711,False
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.554640579530679,0.0013279382598591523,False
REACTOME_INTEGRIN_SIGNALING,5.605595910680656,0.0016363712747476675,False
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1.550356905622977,0.0018208856608919865,False
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,6.1225328947368425,0.002913628147725527,False
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.7197372742200328,0.003158508993773876,False
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,5.761831048208757,0.0036211529551705233,False
REACTOME_ECM_PROTEOGLYCANS,2.9822896900695763,0.0037593205308658092,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,7.826641651031895,0.0038290210131189154,False
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,5.154333201424614,0.005391497845854557,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,5.154333201424614,0.005391497845854557,False
REACTOME_ELASTIC_FIBRE_FORMATION,3.6150446871896724,0.0058045312053002,False
