,OR,p,FDR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,2.6264140656944255,6.78202243687657e-15,True
REACTOME_NEUTROPHIL_DEGRANULATION,3.1042378612325865,1.2920510556898902e-13,True
REACTOME_INNATE_IMMUNE_SYSTEM,2.2381228769031503,2.7095912754912644e-12,True
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,8.060586734693878,1.1170527687365985e-11,True
REACTOME_SIGNALING_BY_INTERLEUKINS,2.7101763907734058,4.3284659356771975e-10,True
REACTOME_INTERFERON_GAMMA_SIGNALING,5.776028230713069,8.183617440298376e-10,True
REACTOME_INTERFERON_SIGNALING,3.7258005727675085,1.3700485149994418e-09,True
REACTOME_INTERLEUKIN_10_SIGNALING,6.8335617481346125,7.707723506344398e-07,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,5.770903010033445,8.392194926562955e-06,True
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,3.5982307069815347,9.900259322832905e-06,True
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,5.762938230383973,1.9970297444222437e-05,True
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,8.615448504983389,2.8458126928920232e-05,True
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,8.615448504983389,2.8458126928920232e-05,True
REACTOME_SIGNALING_BY_VEGF,3.3177331034352084,6.803900805016857e-05,True
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,9.372065021071643,0.00020750294952502917,True
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,7.0826260852599745,0.00023547470910063463,True
REACTOME_RHO_GTPASE_CYCLE,2.7281397267553245,0.00025755300803775535,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,6.688501934770591,0.000311557887696527,True
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,1.6124280442804428,0.0004391539959842047,True
REACTOME_INTEGRIN_SIGNALING,6.01849087893864,0.0005223989826867884,True
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,5.100036913990403,0.0005297875243049279,True
REACTOME_INTERLEUKIN_15_SIGNALING,9.53168044077135,0.0006793889253776746,True
REACTOME_REGULATION_OF_IFNG_SIGNALING,9.53168044077135,0.0006793889253776746,True
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,6.870198675496689,0.0007520331602371,True
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,2.4603505316059295,0.0007954906721848529,True
REACTOME_THE_NLRP3_INFLAMMASOME,8.577685950413223,0.0009729182853928846,True
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.009829792848661,0.0013070099996935185,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,7.797145003756574,0.0013511388244542924,False
REACTOME_INTERLEUKIN_21_SIGNALING,11.422442244224422,0.001503626695213837,False
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,2.494130494130494,0.0017253574925176767,False
REACTOME_DEATH_RECEPTOR_SIGNALLING,2.3731844639068704,0.0020342583683355467,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,2.737079707480492,0.0021698951691460095,False
REACTOME_SIGNALING_BY_SCF_KIT,3.9312766967252015,0.002207301381060647,False
REACTOME_INTERLEUKIN_6_SIGNALING,9.78972182932579,0.002259842855890981,False
REACTOME_SIGNALING_BY_LEPTIN,9.78972182932579,0.002259842855890981,False
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,5.150165562913907,0.002517787183030351,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,4.295605306799336,0.0026893758046492803,False
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,3.3671055487231425,0.0030087117648017188,False
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.6087608585563475,0.0031425633904801674,False
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,4.1470806885114655,0.003181986289129003,False
REACTOME_INTERLEUKIN_2_SIGNALING,8.565181518151816,0.0032422941434278566,False
REACTOME_LEISHMANIA_INFECTION,1.822129156129417,0.003320003611003257,False
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,2.8291430991951763,0.0036602583383261705,False
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,4.008457711442786,0.003740604691378201,False
REACTOME_INFLAMMASOMES,5.715702479338843,0.003987944195866878,False
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,3.878778152249505,0.004370666715243218,False
