,OR,p,FDR
REACTOME_CHROMATIN_MODIFYING_ENZYMES,2.566733067729084,0.0001254207126779734,False
REACTOME_MRNA_SPLICING,2.949093202964832,0.0001338408497877701,False
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.510138170515529,0.0004201820295167583,False
REACTOME_RHO_GTPASE_CYCLE,3.0748600058944886,0.00047253583885835425,False
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,4.14049953199665,0.0013815001643957179,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,3.2934031413612566,0.002974839738309805,False
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS,3.9918077256944446,0.0032452230144674413,False
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION,7.78516057585825,0.003290180108230947,False
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,5.458031088082902,0.0038574174982889393,False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS,4.431870831870832,0.003972514654874668,False
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,3.755923202614379,0.00438911172111043,False
REACTOME_RUNX3_REGULATES_P14_ARF,11.655375552282768,0.00449554801300462,False
REACTOME_SIGNALING_BY_NOTCH1,3.320832344331039,0.0047335112707118186,False
REACTOME_CD209_DC_SIGN_SIGNALING,6.409484724122207,0.005913697337366433,False
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,3.997972758948369,0.006209455654903641,False
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,1.9503815344899587,0.006315154774592664,False
REACTOME_SUMOYLATION,2.2294046396099416,0.007150761456098521,False
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,3.0423556715984916,0.007571744218133943,False
REACTOME_PTEN_REGULATION,2.358984375,0.010986682364199842,False
REACTOME_G_PROTEIN_MEDIATED_EVENTS,3.4126623376623377,0.012130886374801548,False
REACTOME_CIRCADIAN_CLOCK,3.037037037037037,0.012169530407331857,False
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,7.414245548266167,0.01226370580622716,False
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,7.414245548266167,0.01226370580622716,False
REACTOME_DAG_AND_IP3_SIGNALING,3.786341393206678,0.014738622198830952,False
REACTOME_OPIOID_SIGNALLING,2.668789403298733,0.014912307806152826,False
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS,2.668789403298733,0.014912307806152826,False
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,1.7288279132791329,0.014954741756320153,False
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,4.537037037037037,0.0166319612802494,False
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,3.089242832639059,0.018254693240921823,False
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,2.7713617149758454,0.01852763350207304,False
REACTOME_SIGNALING_BY_RHO_GTPASES,1.6129134981593998,0.020894866953760305,False
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,5.823821796759941,0.02116898087546249,False
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,2.4572417637222403,0.022467518415423014,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,3.8874123292727942,0.02613913584470555,False
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,2.238005711565921,0.0264897384041676,False
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,3.1678515483793226,0.027533957702695018,False
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,3.1678515483793226,0.027533957702695018,False
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,2.3506555490047445,0.02782805796274317,False
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,5.094877577319588,0.028624695925742974,False
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,5.094877577319588,0.028624695925742974,False
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,3.7530072173215716,0.028932628160367083,False
REACTOME_RAB_REGULATION_OF_TRAFFICKING,2.1779641384422925,0.030470775029235085,False
REACTOME_HDMS_DEMETHYLATE_HISTONES,3.026482440990213,0.032173927906266026,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.510210886054847,0.03503203416743587,False
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,2.38779296875,0.035638184878250115,False
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,4.527920962199313,0.03728944253792008,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,3.4001937984496124,0.03833988754631269,False
REACTOME_METABOLISM_OF_RNA,1.4310068979987935,0.038565568750784526,False
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,1.982007683822131,0.03927283130870361,False
REACTOME_HIV_INFECTION,1.7451892934651556,0.0411120036505098,False
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,3.296844413123483,0.0418204985224993,False
REACTOME_CA_DEPENDENT_EVENTS,3.296844413123483,0.0418204985224993,False
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,4.289202387411828,0.04206762896773208,False
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,2.0155566045832978,0.044874128138103445,False
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,3.199574403404773,0.045473900865948734,False
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,2.722538860103627,0.04580658273557184,False
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,4.074355670103093,0.0471370189269661,False
REACTOME_MTORC1_MEDIATED_SIGNALLING,4.074355670103093,0.0471370189269661,False
REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION,6.780848329048843,0.04734333274720651,False
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,6.780848329048843,0.04734333274720651,False
REACTOME_MITOCHONDRIAL_BIOGENESIS,2.194204980842912,0.050706712514170145,False
