,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,2.9202475321139745,6.850753547881927e-21,True
REACTOME_INNATE_IMMUNE_SYSTEM,1.9736038262025517,6.508234293762705e-16,True
REACTOME_INTERFERON_GAMMA_SIGNALING,3.57992700729927,1.189386439897323e-07,True
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,3.9672157622739017,4.479490223795006e-07,True
REACTOME_INTERFERON_SIGNALING,2.3664244808913475,9.712467321303993e-07,True
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1.5939238952536825,1.2224268964100324e-06,True
REACTOME_IRAK4_DEFICIENCY_TLR2_4,18.890643694663794,6.514463506014584e-06,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,4.26941431670282,8.271468974956633e-06,True
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,7.097912167026638,8.316862449768912e-06,True
REACTOME_SIGNALING_BY_INTERLEUKINS,1.7273466618714444,1.2194574956654717e-05,True
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,2.365166352993716,1.7474692118632838e-05,True
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,9.110837438423646,3.479235001785166e-05,True
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,4.061062403300671,4.080138560417803e-05,True
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.674399563318777,5.0021046470956783e-05,True
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,2.4053823382415134,5.8250417128980946e-05,True
REACTOME_INTERLEUKIN_10_SIGNALING,3.789554753309266,7.61620108903547e-05,True
REACTOME_REGULATION_OF_IFNG_SIGNALING,9.44245034697296,8.379160942453884e-05,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,5.571788283658787,8.855998800311428e-05,True
REACTOME_RHO_GTPASE_CYCLE,2.2012625020495165,0.00017998209333809867,True
REACTOME_INTEGRIN_SIGNALING,4.874325539568345,0.000204430015717138,True
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,1.434499316508573,0.00024232703904424041,True
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,5.061620622368286,0.00032044479356539615,True
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,4.428019410496046,0.0006867074659135566,True
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,4.428019410496046,0.0006867074659135566,True
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,7.076040172166428,0.0006992406143902731,True
REACTOME_INTERLEUKIN_15_SIGNALING,7.076040172166428,0.0006992406143902731,True
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,2.176992513368984,0.0009255985705810148,True
REACTOME_INTERLEUKIN_6_SIGNALING,8.486881720430107,0.0009656308589245425,True
REACTOME_SIGNALING_BY_LEPTIN,8.486881720430107,0.0009656308589245425,True
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,4.1671247938427705,0.0009704000836977437,True
REACTOME_DEATH_RECEPTOR_SIGNALLING,2.0079031187790313,0.0009881649711767943,True
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,2.209734044639705,0.001496728102613201,False
REACTOME_SIGNALING_BY_SCF_KIT,3.0723583093179636,0.0015939906021889918,False
REACTOME_INTERLEUKIN_2_SIGNALING,7.07168458781362,0.0017288577835235805,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,5.502470907062012,0.0018600900020839446,False
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,2.6599025974025974,0.002272270395496644,False
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,4.951721664275467,0.002825980645888799,False
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,6.0608294930875575,0.0028751506449173174,False
REACTOME_INTERLEUKIN_21_SIGNALING,7.067335243553009,0.004323809446345065,False
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING,5.302688172043011,0.004507083167723642,False
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,3.352540834845735,0.0052330893242289196,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,2.014659224441833,0.005684242732329842,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,2.1922228060956384,0.0061507999875383725,False
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,2.7819373072970195,0.0064270470156900395,False
REACTOME_OTHER_INTERLEUKIN_SIGNALING,3.537329504666188,0.006541122247713074,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,3.537329504666188,0.006541122247713074,False
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,2.4893293870239117,0.006758410669567881,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,3.184590517241379,0.006766795442005199,False
REACTOME_REGULATION_BY_C_FLIP,5.888849092645654,0.0071222916023420055,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,1.9612414187643021,0.00728981547167029,False
REACTOME_INFLAMMASOMES,3.8078578523341795,0.008053495009110937,False
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,3.8078578523341795,0.008053495009110937,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,2.8313443565780014,0.008345778873109956,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,2.8313443565780014,0.008345778873109956,False
REACTOME_REGULATION_OF_KIT_SIGNALING,4.241290322580645,0.00965368504614403,False
REACTOME_SIGNALING_BY_VEGF,1.85878310715149,0.010157076423300503,False
