,OR,p,FDR
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.156792087081863,0.001794735850410479,False
REACTOME_NEUTROPHIL_DEGRANULATION,1.3881504490837728,0.0035593179310362657,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,2.669125683060109,0.007317490759617454,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,4.147017862549197,0.007528341214273868,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,3.2006546644844516,0.00834689755446621,False
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,2.2889983579638753,0.008597217280139683,False
REACTOME_SEMAPHORIN_INTERACTIONS,2.0910326086956523,0.00877555535605903,False
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,3.000306873977087,0.011244541193728884,False
REACTOME_SIGNALING_BY_VEGF,1.738284691629956,0.013042572849747957,False
REACTOME_RECYCLING_PATHWAY_OF_L1,2.135229759299781,0.017001017795239326,False
REACTOME_INTEGRIN_SIGNALING,2.666393889798145,0.019197936266457438,False
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,4.439756849936491,0.019809685711866126,False
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS,4.439756849936491,0.019809685711866126,False
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,2.5257989490912225,0.024421251185848276,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,2.665485278080698,0.026691794116024528,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,2.665485278080698,0.026691794116024528,False
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,2.665485278080698,0.026691794116024528,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,1.7797880116959064,0.029165889843229115,False
REACTOME_PECAM1_INTERACTIONS,3.8051170386499726,0.029612457812041755,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,2.3992635024549918,0.030579065611710265,False
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,1.9816293056314926,0.03221095808525988,False
REACTOME_SIGNALING_BY_NTRK3_TRKC,2.9061200237670826,0.04028017594152844,False
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,2.9061200237670826,0.04028017594152844,False
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,2.132751091703057,0.0403755053791834,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,2.368835574942445,0.04246245729235336,False
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,2.050512260665099,0.04825417088058168,False
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,2.6636710239651418,0.05257515413896839,False
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES,2.9589306236012822,0.05704858518860032,False
REACTOME_MAPK3_ERK1_ACTIVATION,3.54987305041712,0.05926126154289392,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,2.6627653783342407,0.0747949301361013,False
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,2.6627653783342407,0.0747949301361013,False
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,2.6627653783342407,0.0747949301361013,False
REACTOME_SIGNALLING_TO_ERKS,1.918428805237316,0.07741401391866681,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,1.4744429029740744,0.07934181764789103,False
REACTOME_SIGNALLING_TO_RAS,2.2826797385620914,0.08328619507392213,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,1.8444542364345966,0.09023503610522392,False
REACTOME_REGULATION_OF_KIT_SIGNALING,2.4204483594793884,0.09516879486402646,False
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,2.4204483594793884,0.09516879486402646,False
REACTOME_CD209_DC_SIGN_SIGNALING,2.1302832244008716,0.1016713786480504,False
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,2.1302832244008716,0.1016713786480504,False
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,2.1302832244008716,0.1016713786480504,False
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,1.4180134715242008,0.10232529814683215,False
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,1.962369138104116,0.1044335628925044,False
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10,2.661860718171926,0.10790129983972405,False
REACTOME_KILLING_MECHANISMS,2.661860718171926,0.10790129983972405,False
REACTOME_LYSINE_CATABOLISM,2.661860718171926,0.10790129983972405,False
REACTOME_GAP_JUNCTION_DEGRADATION,2.661860718171926,0.10790129983972405,False
REACTOME_INTERLEUKIN_2_SIGNALING,2.661860718171926,0.10790129983972405,False
REACTOME_RHO_GTPASE_CYCLE,1.3342061742006615,0.10910118908889493,False
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,1.6650177401746724,0.11653728904571058,False
REACTOME_GAB1_SIGNALOSOME,2.2185175104336783,0.11803905274743377,False
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,1.7755361686659397,0.12157403375004354,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,1.7755361686659397,0.12157403375004354,False
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,1.7755361686659397,0.12157403375004354,False
REACTOME_SMOOTH_MUSCLE_CONTRACTION,1.6531406964275637,0.1356500483461564,False
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,1.6531406964275637,0.1356500483461564,False
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,1.6531406964275637,0.1356500483461564,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2,2.365856607423528,0.1371940362429408,False
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,2.365856607423528,0.1371940362429408,False
REACTOME_P38MAPK_EVENTS,2.365856607423528,0.1371940362429408,False
REACTOME_SUPPRESSION_OF_PHAGOSOMAL_MATURATION,2.365856607423528,0.1371940362429408,False
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,1.3072345063506965,0.14200729209110477,False
