,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,2.873299319727891,1.1386359616890636e-07,True
REACTOME_INNATE_IMMUNE_SYSTEM,2.007183634633682,4.200491176373029e-06,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,7.303534303534303,1.4872171636584415e-05,True
REACTOME_SIGNALING_BY_VEGF,4.454848514560251,2.5522901174930263e-05,True
REACTOME_RHO_GTPASE_CYCLE,3.8359633027522935,3.16395741533477e-05,True
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.8179906542056075,7.136893755980273e-05,True
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,7.873134328358209,8.767962168567707e-05,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,9.923872180451127,9.656678519599505e-05,True
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,5.952964905203711,0.0003922892286649528,False
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,9.21714086227963,0.0004963879122214189,False
REACTOME_SIGNALING_BY_INTERLEUKINS,2.084240805424286,0.0006294897463952872,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,6.495689655172414,0.0006796262687446424,False
REACTOME_SIGNALING_BY_RHO_GTPASES,1.9512303324263576,0.002185421801934249,False
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1.8924690895466467,0.0023238022630622133,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,5.797889878008572,0.002936905646372809,False
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,13.36409608091024,0.0031016054452925775,False
REACTOME_PARASITE_INFECTION,2.975676290065924,0.003432043661926122,False
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,3.1495495495495494,0.0037956073274183523,False
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION,11.692477876106194,0.00416645836647733,False
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,5.047860629845888,0.004964748987332203,False
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,2.6299093655589125,0.00526759174040832,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,10.392330383480825,0.005427501227690277,False
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,2.5901609775893943,0.005841025664062845,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,6.247337278106509,0.0061157002366270035,False
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,6.247337278106509,0.0061157002366270035,False
REACTOME_SIGNALING_BY_PTK6,3.9174107142857144,0.0065759408030973505,False
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,9.352212389380531,0.0068937236700362435,False
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,3.76,0.007847964528692603,False
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES,8.501206757843926,0.008572674668978833,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,8.501206757843926,0.008572674668978833,False
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,5.430923591458709,0.009384246590705863,False
REACTOME_INTEGRIN_SIGNALING,5.430923591458709,0.009384246590705863,False
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,7.792035398230088,0.010470564613637623,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,4.995502958579881,0.012093810930011762,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,7.191967324710688,0.012592361795029644,False
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,2.67142311122436,0.014586779565935373,False
REACTOME_SEMAPHORIN_INTERACTIONS,3.2389162561576357,0.014729140410578219,False
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,6.231858407079646,0.017521882440215984,False
REACTOME_CELL_CELL_COMMUNICATION,2.335715881170427,0.02089853816551529,False
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,2.460021134202184,0.022030009859120223,False
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,5.497657470067673,0.02337948038266291,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,2.844155844155844,0.024976855735137603,False
REACTOME_G_PROTEIN_MEDIATED_EVENTS,3.1880942287894385,0.026428128399210254,False
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,5.191740412979351,0.0266579689932849,False
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,3.7816030123722433,0.027686197013112594,False
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,2.7197204968944098,0.029805057737917057,False
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,3.564835164835165,0.0328533381211049,False
REACTOME_HEMOSTASIS,1.473468660968661,0.034690107514976455,False
REACTOME_REGULATION_OF_INSULIN_SECRETION,2.605654761904762,0.03520839782174252,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,4.448798988621998,0.0378814086592698,False
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,4.448798988621998,0.0378814086592698,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,4.448798988621998,0.0378814086592698,False
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,2.059775103570724,0.039971362174738984,False
REACTOME_DEADENYLATION_OF_MRNA,4.246178600160901,0.042078327259289255,False
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,4.246178600160901,0.042078327259289255,False
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1.3963074280807213,0.0433002619376124,False
REACTOME_IRAK4_DEFICIENCY_TLR2_4,6.907843137254902,0.04462738946228818,False
REACTOME_SIGNALING_BY_SCF_KIT,3.1979972690031864,0.044769061204303406,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,4.061177375913813,0.046498251910081764,False
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,4.061177375913813,0.046498251910081764,False
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,1.5951935081148565,0.04678964490839457,False
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY,3.8915929203539825,0.05113750257481496,False
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,1.9583333333333333,0.05117324725835774,False
REACTOME_KILLING_MECHANISMS,6.216470588235294,0.05246736710988045,False
REACTOME_INTERLEUKIN_2_SIGNALING,6.216470588235294,0.05246736710988045,False
REACTOME_PECAM1_INTERACTIONS,6.216470588235294,0.05246736710988045,False
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,2.3433035714285713,0.05255919383149364,False
REACTOME_LEISHMANIA_INFECTION,1.6215832781613544,0.05784636608454945,False
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,2.1044202066590127,0.05947922225295457,False
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,5.650802139037433,0.06075348409880507,False
