,OR,p,FDR
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,5.305667633337536,2.1167146495344706e-12,True
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,17.599009900990097,2.0020653310889415e-09,True
REACTOME_INTERFERON_GAMMA_SIGNALING,12.694739353453418,3.351621707812068e-08,True
REACTOME_INTERFERON_SIGNALING,7.394881762228701,1.349227628931726e-07,True
REACTOME_SIGNALING_BY_INTERLEUKINS,4.79335557954657,1.9606799577326147e-07,True
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,21.075862068965517,1.2854237776119012e-06,True
REACTOME_INNATE_IMMUNE_SYSTEM,3.1454077040770407,1.5598026889311896e-06,True
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,3.264579759862779,7.04474953288875e-06,True
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,10.706946039035591,1.0006773836818455e-05,True
REACTOME_PARASITE_INFECTION,7.6353829557713055,2.3877871849239093e-05,True
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,22.23676012461059,6.616983225807048e-05,True
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,12.924528301886792,8.138886750130977e-05,True
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION,20.009345794392523,9.461448749415287e-05,True
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,6.09277238403452,0.00010628649082606818,True
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,19.054739652870495,0.0001117508433383148,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,11.71785870996051,0.00012421748627084288,True
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,8.454761904761904,0.00014234184309081796,True
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,8.006766917293232,0.0001877311652187387,True
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,33.074074074074076,0.00021517582054120067,True
REACTOME_LEISHMANIA_INFECTION,3.8891525423728814,0.000292103598563286,True
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,11.754810335349093,0.0005886164230278238,True
REACTOME_SIGNALING_BY_SCF_KIT,10.242990654205608,0.0009461855162830568,False
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,7.179919137466308,0.00100581600615582,False
REACTOME_INTERLEUKIN_10_SIGNALING,9.5086782376502,0.0012220269190652416,False
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,4.472786647314949,0.0015602332476246906,False
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,14.158730158730158,0.0018101541113769472,False
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,6.198462613556953,0.0018569168863113259,False
REACTOME_PD_1_SIGNALING,11.88888888888889,0.002844070777568431,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,5.573899371069182,0.00287304273779065,False
REACTOME_NEUTROPHIL_DEGRANULATION,2.6625137888521184,0.0035899334629484318,False
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,5.168255203267846,0.0039037470631820875,False
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,10.245210727969349,0.0041801643804218235,False
REACTOME_CD28_CO_STIMULATION,9.902777777777779,0.004564241021242541,False
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,9.582437275985663,0.004969009377728939,False
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,4.77088948787062,0.005378964803815278,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,9.0,0.005841831143871039,False
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10,19.660550458715598,0.00641855087921321,False
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,19.660550458715598,0.00641855087921321,False
REACTOME_PECAM1_INTERACTIONS,19.660550458715598,0.00641855087921321,False
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,16.380733944954127,0.00873246976113147,False
REACTOME_REGULATION_OF_IFNG_SIGNALING,16.380733944954127,0.00873246976113147,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,16.380733944954127,0.00873246976113147,False
REACTOME_HEMOSTASIS,2.1869022481679297,0.009214136217910878,False
REACTOME_THE_NLRP3_INFLAMMASOME,15.119266055045872,0.010008979376160488,False
REACTOME_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE,4.974299065420561,0.010742663191568289,False
REACTOME_REGULATION_OF_KIT_SIGNALING,14.038007863695936,0.011362891511078718,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,14.038007863695936,0.011362891511078718,False
REACTOME_PLATELET_SENSITIZATION_BY_LDL,13.100917431192661,0.012792515947392134,False
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,13.100917431192661,0.012792515947392134,False
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,3.2555984555984554,0.013639135923691707,False
REACTOME_RHO_GTPASE_CYCLE,3.70020964360587,0.014412337778488491,False
REACTOME_NICOTINAMIDE_SALVAGING,11.557474365893146,0.015872270311600413,False
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,4.36849132176235,0.0162778722451222,False
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,4.273741332529394,0.01744457695106918,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,4.273741332529394,0.01744457695106918,False
REACTOME_INFLAMMASOMES,10.914373088685016,0.01751914822606571,False
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.774719866747426,0.01766247338285841,False
REACTOME_SIGNALING_BY_RHO_GTPASES,2.2926143965747925,0.0178742286780912,False
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,5.701388888888889,0.018662764254937042,False
REACTOME_CD209_DC_SIGN_SIGNALING,10.338966682761951,0.01923523373589047,False
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,10.338966682761951,0.01923523373589047,False
REACTOME_CTLA4_INHIBITORY_SIGNALING,10.338966682761951,0.01923523373589047,False
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,4.095963002216013,0.019931651063283193,False
