,OR,p,FDR
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.4480927364093192,1.3988932903401632e-06,True
REACTOME_HIV_INFECTION,2.4772630533484676,1.410927697349955e-06,True
REACTOME_MRNA_SPLICING,2.6746869993472973,1.6801744167594309e-06,True
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,3.0574171502956013,2.6187463575204475e-06,True
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,6.038690476190476,4.541459658035095e-06,True
REACTOME_NEUTROPHIL_DEGRANULATION,1.819218457313507,2.7230239711753877e-05,True
REACTOME_HIV_LIFE_CYCLE,2.5343305100018023,4.888035442897541e-05,True
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,5.320652173913044,5.971089740416331e-05,True
REACTOME_CELL_CYCLE_MITOTIC,1.7074187703828965,6.6627228488121e-05,True
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,5.851155819450049,7.007713804170384e-05,True
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,4.136326530612245,0.00010386825988539726,True
REACTOME_METABOLISM_OF_RNA,1.607122645322985,0.00014129210888675077,True
REACTOME_DNA_STRAND_ELONGATION,5.0517773573633376,0.00017927845293606523,True
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,3.9265190159488603,0.00028028633307944465,True
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,5.2602787055165265,0.00029767950093191235,True
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,3.6175,0.00030665150460701255,True
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,2.2552356491127235,0.0005425360990306282,True
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,8.31052344601963,0.000547225247341425,True
REACTOME_CELL_CYCLE,1.5297298808568085,0.0006506309600401867,True
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,11.071895424836601,0.0006973560712976287,True
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,5.543122270742358,0.0011097366105994367,False
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,4.670693126258269,0.0011822904645112627,False
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,2.73741604679714,0.0012971113256591727,False
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,4.43672131147541,0.0015361348499893406,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,3.841398754418448,0.001792193424196773,False
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE,6.0422325765837215,0.0018147427315746176,False
REACTOME_UNWINDING_OF_DNA,7.906940553999378,0.001902948634789292,False
REACTOME_INTERLEUKIN_2_SIGNALING,7.906940553999378,0.001902948634789292,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,3.2156336565096955,0.001916119818504162,False
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,3.364200604069169,0.0023018113093132985,False
REACTOME_INFLUENZA_INFECTION,2.0299322479522703,0.0023685230421055534,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST,5.538167938931298,0.002532576641241756,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,4.563575648600051,0.0026490535006675644,False
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,3.566309784307596,0.002716344162516845,False
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,3.264931383287159,0.0027611347653811336,False
REACTOME_INFECTIOUS_DISEASE,1.4110211131793866,0.0028508057492521504,False
REACTOME_SIGNALING_BY_RHO_GTPASES,1.551545915479944,0.00285330641911592,False
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,4.309619116933527,0.003419102702768917,False
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,4.309619116933527,0.003419102702768917,False
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,4.309619116933527,0.003419102702768917,False
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,2.2801404292667358,0.003460835394165623,False
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,4.082394851758217,0.004348462326754876,False
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,3.5476284153005464,0.004731076215982223,False
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,3.5476284153005464,0.004731076215982223,False
REACTOME_DNA_DAMAGE_BYPASS,2.9201014584654406,0.005377026512435205,False
REACTOME_INTEGRIN_SIGNALING,3.8778930131004365,0.005456622478611234,False
REACTOME_RHO_GTPASE_CYCLE,1.9662188600495631,0.005791179555260573,False
REACTOME_NUCLEOBASE_BIOSYNTHESIS,5.533224400871459,0.005844818639316833,False
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,5.533224400871459,0.005844818639316833,False
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,4.429225736095965,0.005966619651077401,False
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,7.372506347479144,0.006652495646654049,False
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS,3.284193483100587,0.006916289397972333,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.284193483100587,0.006916289397972333,False
REACTOME_S_PHASE,1.8575925925925927,0.007290512600766406,False
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,1.9535272289250258,0.007373426256945922,False
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,4.151990185387132,0.00763709173094969,False
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,5.029708853238265,0.007927784291977744,False
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY,3.1665886026541763,0.008259164147349746,False
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,3.1665886026541763,0.008259164147349746,False
REACTOME_EXTENSION_OF_TELOMERES,2.851078462019381,0.00916409512842887,False
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,6.318669361106793,0.009773236281615654,False
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,3.0570944036178633,0.00978821793648548,False
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,2.9548998178506376,0.011517964357291242,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,3.6899309342057434,0.011943387816409698,False
REACTOME_SUMOYLATION,1.719699469328274,0.012102786035445519,False
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,2.8592984311651684,0.0134627870184465,False
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,5.52829162132753,0.013708380105132928,False
REACTOME_PECAM1_INTERACTIONS,5.52829162132753,0.013708380105132928,False
REACTOME_SIGNALING_BY_VEGF,1.9755482053166729,0.014012337660931223,False
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,2.6252159391915235,0.014089246955379033,False
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN,3.1007860262008733,0.014376337519981337,False
REACTOME_GLYCOLYSIS,2.219319429198683,0.015015744506856967,False
