,OR,p,FDR
REACTOME_MRNA_SPLICING,3.1509860104500254,6.165177537350154e-05,True
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.838320299217953,6.560665775409711e-05,True
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,6.8224074074074075,0.00019660016643680835,True
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,4.45208386384857,0.0002145005546490003,True
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,19.375573921028465,0.00022417208215651515,True
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,8.337950138504155,0.00022451155278140162,True
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,5.845,0.00044592647484739857,False
REACTOME_UNWINDING_OF_DNA,14.52892561983471,0.0005008650761162525,False
REACTOME_CELL_CYCLE_MITOTIC,1.9469279165096656,0.0005888689824892268,False
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,6.249307479224377,0.0008364226800882938,False
REACTOME_INTERLEUKIN_12_SIGNALING,5.111944444444444,0.0009001354567084925,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,6.033240997229917,0.0009813261413525963,False
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,6.929097605893186,0.0015299390543555,False
REACTOME_METABOLISM_OF_RNA,1.7517394416607015,0.0020194311389404667,False
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,4.085666666666667,0.0028404107634578883,False
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.188899501220418,0.0030974016909298234,False
REACTOME_DNA_STRAND_ELONGATION,5.386228770206671,0.003971487553331322,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,5.386228770206671,0.003971487553331322,False
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,5.193370165745856,0.004554147729035762,False
REACTOME_HIV_LIFE_CYCLE,2.514929577464789,0.005156982749098269,False
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,2.1516085808323253,0.0058193035987158925,False
REACTOME_CELL_CYCLE,1.6360983841469163,0.006685634492876317,False
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,6.11106278091924,0.0066897426849263945,False
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,4.542472375690608,0.007497697900756598,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,5.80495867768595,0.0078187608510423,False
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,3.716272764778688,0.008369791855724172,False
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,8.691758241758242,0.00837104040404551,False
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,4.40440314749707,0.00840137205886618,False
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,5.528007346189164,0.009066092627417262,False
REACTOME_HIV_INFECTION,2.0114025529265254,0.012569762716443321,False
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,7.241758241758242,0.012671501941427127,False
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,2.4156770146074957,0.012787757591795484,False
REACTOME_M_PHASE,1.7290150304751761,0.013160129116919696,False
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,6.684065934065934,0.015213723570258767,False
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,4.462809917355372,0.01722596807084328,False
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,3.5423123568252257,0.01846221386699753,False
REACTOME_S_PHASE,2.143558052434457,0.019887072782865577,False
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,2.717296296296296,0.02008234061218837,False
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,3.457642725598527,0.0201088701289178,False
REACTOME_PROTEIN_FOLDING,2.4801754281988977,0.02131954368139701,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,3.2998493219487695,0.023683717319136814,False
REACTOME_RECYCLING_PATHWAY_OF_L1,3.2998493219487695,0.023683717319136814,False
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,4.0,0.02378376005130023,False
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,4.0,0.02378376005130023,False
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,5.429258241758242,0.024444525694163072,False
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,2.0992281804808255,0.028652265764749385,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,3.7412245623389317,0.028889960470821846,False
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,2.4535140562248996,0.0315208451986386,False
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,2.6825484764542935,0.031698838191382264,False
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,4.825091575091575,0.0319410458792844,False
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,2.601976268243271,0.03566080348228966,False
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,4.570705610179294,0.03608844792339368,False
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,3.312396694214876,0.04091444774872086,False
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,3.312396694214876,0.04091444774872086,False
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,3.1327525872980417,0.047841362597868226,False
REACTOME_DEADENYLATION_OF_MRNA,3.9463036963036964,0.05008956996900841,False
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,2.589779005524862,0.0535644898453259,False
REACTOME_NEUTROPHIL_DEGRANULATION,1.4809006527947777,0.05387771564195336,False
REACTOME_SIGNALING_BY_RHO_GTPASES,1.4944176060118088,0.053975703794414465,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,3.7743669374104156,0.05526173530940509,False
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,2.9715335169880626,0.05537622641199437,False
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,2.896969696969697,0.05936972694625181,False
REACTOME_INTEGRIN_SIGNALING,3.616758241758242,0.060677747574084805,False
REACTOME_G0_AND_EARLY_G1,3.616758241758242,0.060677747574084805,False
