,OR,p,FDR
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,2.9789123196448393,3.2956553265611722e-09,True
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,6.065751858204688,1.6607178796798167e-05,True
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,8.533950617283951,4.131444047920283e-05,True
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,8.358177783579167,0.00016056575855645806,True
REACTOME_NGF_STIMULATED_TRANSCRIPTION,9.581241032998566,0.00031894605871259996,False
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,8.801911667765326,0.0004538883495618137,False
REACTOME_G0_AND_EARLY_G1,11.273781291172595,0.0007438113549143729,False
REACTOME_MYOGENESIS,10.369939393939394,0.000982612883964337,False
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,9.6,0.0012707298831148549,False
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,9.256277056277057,0.001434866406812994,False
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,14.883225208526413,0.0017729843355094028,False
REACTOME_ONCOGENE_INDUCED_SENESCENCE,8.358162267839687,0.0020151415867878,False
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,12.089231927710843,0.002964852729400444,False
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,6.472121212121212,0.004689550223322021,False
REACTOME_SIGNALING_BY_NTRKS,3.603771750753378,0.004837542138458989,False
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,3.1957178623845293,0.008830718854949106,False
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,16.03443113772455,0.009930948047154414,False
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,7.156626506024097,0.010966969031614614,False
REACTOME_CELLULAR_SENESCENCE,2.7684117125110914,0.011697867525726201,False
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,3.3646075735138568,0.011782101009569605,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS,6.900387263339071,0.012005851797572034,False
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT,6.900387263339071,0.012005851797572034,False
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,14.251497005988025,0.012014914540767306,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,3.8142037302725966,0.012936885251632581,False
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,3.2512269938650307,0.013652792949742287,False
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,11.658138268916712,0.016696636889035797,False
REACTOME_REPRESSION_OF_WNT_TARGET_GENES,10.68562874251497,0.019282903202708666,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST,10.68562874251497,0.019282903202708666,False
REACTOME_INTERLEUKIN_17_SIGNALING,3.8541836273179557,0.02434733096931691,False
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,9.157399486740804,0.024918532028578737,False
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,3.7417654808959155,0.02663799010095164,False
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,3.05251955821445,0.02918253518478727,False
REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,4.706729356450191,0.030575157956116723,False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,7.119760479041916,0.03789511390454808,False
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,2.8112407211028634,0.03889855247152965,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,4.19316396018858,0.040230823084894854,False
REACTOME_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE,3.223939393939394,0.041495008160776614,False
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,6.406586826347305,0.04515647485307962,False
REACTOME_ERK_MAPK_TARGETS,6.406586826347305,0.04515647485307962,False
REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION,5.82308111050626,0.05288329740847647,False
REACTOME_ESR_MEDIATED_SIGNALING,2.121120341525326,0.056662950992600276,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,2.831302031302031,0.06021097199758001,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,2.8002635046113307,0.062102064336638126,False
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,2.7698924731182797,0.06402431386703313,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,2.7698924731182797,0.06402431386703313,False
REACTOME_SUMOYLATION,2.143104091109379,0.07115793517980093,False
REACTOME_CA2_PATHWAY,3.2652644476209924,0.07153462930593511,False
