,OR,p,FDR
REACTOME_NEUTROPHIL_DEGRANULATION,1.5122841724002503,0.0006636121929792237,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,3.5049714655527446,0.0010557281194794278,False
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,2.881452784503632,0.0012740065963251295,False
REACTOME_INTERLEUKIN_2_SIGNALING,6.702156334231806,0.0022122907533895326,False
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,2.7668579626972742,0.002458128521232347,False
REACTOME_MAPK3_ERK1_ACTIVATION,6.6983164983164984,0.005314332925268361,False
REACTOME_INTEGRIN_SIGNALING,3.3538149898717085,0.005459966424604589,False
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,3.1769785706670457,0.0071336203163973955,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,3.3522267206477734,0.008669849555174088,False
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,3.3522267206477734,0.008669849555174088,False
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS,5.581369248035915,0.008707516219828154,False
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,3.1547193776295943,0.011323882259566459,False
REACTOME_SEMAPHORIN_INTERACTIONS,2.0552749913524733,0.015652502999397078,False
REACTOME_RECYCLING_PATHWAY_OF_L1,2.1756939618915263,0.020788702238414607,False
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,3.349056603773585,0.02229846602765831,False
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,2.2355194951543838,0.022684793476452015,False
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,1.7479582429248577,0.02645170219696482,False
REACTOME_REGULATION_OF_IFNG_SIGNALING,3.719790497568275,0.0270117275492961,False
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,2.758518107175439,0.029103932778604912,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,2.3200020775982964,0.03161717475162471,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,3.3474747474747475,0.03628098577021191,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,2.233851001575512,0.03745174610754979,False
REACTOME_RHO_GTPASE_CYCLE,1.5326191160962515,0.03776953906414518,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,1.7653880463871543,0.04217147635289417,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,2.467650920963907,0.04393460288186432,False
REACTOME_INTERLEUKIN_6_SIGNALING,3.8242645645068256,0.04439628871944985,False
REACTOME_CD209_DC_SIGN_SIGNALING,2.6784366576819405,0.046415397687475185,False
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,2.6784366576819405,0.046415397687475185,False
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,2.3440323668240053,0.052888805459773605,False
REACTOME_SIGNALING_BY_VEGF,1.560828982755893,0.054500722031701074,False
