,OR,p,FDR
REACTOME_MRNA_SPLICING,2.225395753179242,0.00019680228324676585,False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,4.642176870748299,0.00029431908671002704,False
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,1.9836075738871133,0.0004265993975060793,False
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,4.633936651583711,0.0011872429753139184,False
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,3.2725632294304257,0.0016578928314451072,False
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,4.501004394224733,0.002730674923489291,False
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,3.1329288472145613,0.0034548607043906653,False
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,3.050184986275212,0.004058318898563451,False
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,4.625733634311512,0.004910069159669617,False
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,7.698948948948949,0.005769089087832236,False
REACTOME_NEUTROPHIL_DEGRANULATION,1.4913491506387757,0.006097170560428751,False
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,3.6812018489984593,0.006696321074702348,False
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,3.5208056988454923,0.00814464598158006,False
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,2.5498524404086265,0.00830071447333612,False
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,3.8536493604213695,0.009911315002143142,False
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,2.318409090909091,0.01120889766484765,False
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,2.0816833128906023,0.014161064099702716,False
REACTOME_RECYCLING_PATHWAY_OF_L1,2.604445073612684,0.014438098019531945,False
REACTOME_RHO_GTPASE_CYCLE,1.8238618613501463,0.015755967221445646,False
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,1.8495372714201819,0.016402418181355835,False
REACTOME_INTEGRIN_SIGNALING,3.3021605933569815,0.017760410856480915,False
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,2.890677966101695,0.01899985678448605,False
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,2.6440853264382675,0.019101196940539026,False
REACTOME_SIGNALING_BY_NTRKS,1.8011717825297877,0.020281427086022392,False
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,3.151754565975785,0.021118241525237183,False
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,2.570387129210659,0.02176322285437357,False
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,2.6974387947269305,0.025332234158723925,False
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,3.3967769746004377,0.027114386085867158,False
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,4.197379197379197,0.027195384214382237,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,4.197379197379197,0.027195384214382237,False
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,2.0539160045402953,0.02964488274691323,False
REACTOME_INTERLEUKIN_12_SIGNALING,2.3719689059055575,0.03130064408007556,False
REACTOME_HIV_INFECTION,1.51605931138477,0.03390639255561764,False
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,3.038628137423604,0.03836203953820817,False
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,1.9585436130271545,0.038463900841104695,False
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,2.66582740059038,0.038755815523039465,False
REACTOME_DEADENYLATION_OF_MRNA,2.8864148816234496,0.04490782803514149,False
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,2.4749274427604,0.050285624796970615,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST,3.296975546975547,0.050406584200993365,False
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,4.324943757030371,0.05177749397947751,False
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS,4.324943757030371,0.05177749397947751,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,2.7486981263756913,0.05207929383504137,False
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,2.7486981263756913,0.05207929383504137,False
REACTOME_SIGNALING_BY_RHO_GTPASES,1.3130939136884068,0.05581464593585317,False
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,2.389351599595236,0.05675854231746644,False
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,2.0544997486173955,0.05814271634812623,False
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,2.6235010761504562,0.05987903996479649,False
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,2.6235010761504562,0.05987903996479649,False
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,3.076876876876877,0.05995307228568177,False
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,2.3094808126410835,0.06370847702455104,False
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,2.3094808126410835,0.06370847702455104,False
REACTOME_PECAM1_INTERACTIONS,3.8440194975628046,0.06505293042808594,False
REACTOME_INTERLEUKIN_2_SIGNALING,3.8440194975628046,0.06505293042808594,False
REACTOME_KILLING_MECHANISMS,3.8440194975628046,0.06505293042808594,False
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,3.8440194975628046,0.06505293042808594,False
REACTOME_GAP_JUNCTION_DEGRADATION,3.8440194975628046,0.06505293042808594,False
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,1.570002321801718,0.0686131085504631,False
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS,1.9666891306440744,0.06957179152607516,False
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,1.5380446428571428,0.07099996626583288,False
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,1.92552790346908,0.07576633988493316,False
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,3.4592800899887513,0.07971227243838125,False
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2,3.4592800899887513,0.07971227243838125,False
REACTOME_SIGNALING_BY_VEGF,1.6169890026545317,0.0798211575418872,False
REACTOME_CD209_DC_SIGN_SIGNALING,2.7143614202437734,0.08167972929520391,False
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,2.7143614202437734,0.08167972929520391,False
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,1.8860467263828609,0.08228186376183597,False
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,1.971613614441229,0.08544480866082854,False
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,2.098912374307408,0.08741560420760586,False
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,1.4082682415698229,0.08861455744393033,False
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,1.8481447963800905,0.08911780860576071,False
REACTOME_SIGNALING_BY_PDGF,1.8481447963800905,0.08911780860576071,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,1.9244821092278719,0.09317775393309408,False
REACTOME_SIGNALING_BY_INTERLEUKINS,1.2541938114207571,0.0954344602363392,False
