,OR,p,FDR
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,3.4714572963707684,4.29682166909156e-12,True
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,11.644989775051124,1.5204521250590958e-06,True
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST,25.65748502994012,5.190606991846177e-05,True
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,5.059979748644946,0.00035025447151929565,False
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,11.141890132777922,0.0007760179825246215,False
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,9.853523721787194,0.0011682039213643282,False
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,15.9375,0.0015052540137581874,False
REACTOME_SUMOYLATION,3.2908863920099876,0.002738043383883843,False
REACTOME_CIRCADIAN_CLOCK,4.938368860055607,0.004781846414492561,False
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,4.938368860055607,0.004781846414492561,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,5.683033932135729,0.007171108819262167,False
REACTOME_G0_AND_EARLY_G1,7.959821428571429,0.00843043559598275,False
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,7.959821428571429,0.00843043559598275,False
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,15.849112426035504,0.010149190266629773,False
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,15.849112426035504,0.010149190266629773,False
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,7.073412698412699,0.011307530498603483,False
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,14.086785009861932,0.012277523664645545,False
REACTOME_PERK_REGULATES_GENE_EXPRESSION,6.58435960591133,0.013502720612376649,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES,12.676923076923076,0.014582331536143,False
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,12.676923076923076,0.014582331536143,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS,12.676923076923076,0.014582331536143,False
REACTOME_INTERFERON_GAMMA_SIGNALING,3.639786418400876,0.015416770572230303,False
REACTOME_ONCOGENE_INDUCED_SENESCENCE,5.965401785714286,0.017219697357740663,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,3.5188004766318017,0.017469905654505288,False
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS,10.562130177514794,0.01969752043157762,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN,10.562130177514794,0.01969752043157762,False
REACTOME_REPRESSION_OF_WNT_TARGET_GENES,10.562130177514794,0.01969752043157762,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,5.452551020408163,0.021451828531390337,False
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,9.05156382079459,0.025448467855737407,False
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,9.05156382079459,0.025448467855737407,False
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,4.891483516483516,0.027900250811777577,False
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,2.6712121212121214,0.03079426013103785,False
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,7.452140619561434,0.0351710536874868,False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,7.037475345167653,0.03868335717073526,False
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,3.8114285714285714,0.05030727043329483,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,2.9622615234646985,0.052993995815417,False
REACTOME_REGULATION_OF_IFNA_SIGNALING,5.275147928994083,0.062268015889526754,False
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,5.275147928994083,0.062268015889526754,False
REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION,3.2832512315270934,0.07068893635066054,False
REACTOME_SIGNALING_BY_BMP,4.868456986800182,0.0709781190858854,False
REACTOME_CA2_PATHWAY,3.2273002421307506,0.07346234821089581,False
REACTOME_SIGNALING_BY_TGF_BETA_FAMILY_MEMBERS,2.596602712941464,0.07653625396617891,False
