GO,KEGG,REACTOME,GWAS
661,44,263,8
316,26,157,11
417,30,200,9
646,39,259,13
371,30,165,0
493,35,200,7
557,44,272,16
476,33,198,4
508,26,223,10
415,30,170,7
475,29,206,0
416,23,161,0
236,21,141,0
354,29,199,1
669,40,262,4
569,36,183,9
420,29,165,1
592,43,264,25
574,37,231,2
475,37,232,7
686,49,294,9
590,36,232,6
413,34,198,0
369,27,182,2
595,33,236,10
509,29,201,7
523,37,223,10
455,33,177,0
365,35,197,0
436,35,206,1
433,32,176,8
458,35,197,1
363,26,169,0
503,37,225,0
670,31,233,12
554,35,233,5
483,35,204,2
403,29,160,5
513,39,260,6
677,42,261,48
351,25,160,0
628,43,260,10
419,35,207,8
676,41,257,39
431,26,166,0
556,37,200,17
482,34,211,7
772,42,261,30
644,44,279,8
426,30,167,2
502,27,211,4
431,36,190,6
564,31,253,6
556,32,201,19
477,28,209,4
418,25,169,2
411,31,181,0
367,16,126,0
607,42,246,18
382,34,185,10
482,37,222,1
589,39,259,8
414,28,176,7
424,32,185,2
603,39,267,6
451,29,232,5
487,35,215,0
548,25,188,14
573,35,244,6
431,31,210,0
365,32,214,11
735,48,279,26
565,30,218,0
428,32,197,0
553,30,241,33
664,40,256,11
411,31,206,0
349,22,157,0
514,35,286,2
694,40,264,18
298,18,156,0
421,34,210,0
430,34,201,0
370,27,143,2
352,16,142,0
560,40,259,2
452,34,191,0
423,27,180,3
667,40,247,14
512,26,202,5
486,18,151,4
402,27,206,0
359,25,161,3
442,33,205,7
437,29,194,1
429,31,177,4
550,40,237,3
570,32,226,13
435,33,199,0
441,31,168,2
