GO,KEGG,REACTOME,GWAS
476,6,73,0
704,20,172,4
521,26,63,46
571,16,81,25
915,24,170,9
425,22,86,3
362,20,53,5
366,20,91,12
562,20,114,6
112,3,6,7
768,31,153,29
516,22,74,1
410,29,61,3
664,28,99,3
428,31,112,66
975,30,199,26
293,7,57,0
757,29,161,19
1032,13,175,15
815,26,176,33
845,36,215,29
298,11,41,2
321,16,51,8
693,24,113,48
595,35,110,17
404,23,80,27
923,12,153,3
948,14,170,11
840,27,175,31
222,5,36,4
475,31,115,11
277,7,47,0
502,13,79,7
627,30,117,17
655,24,112,8
650,23,136,23
874,34,199,31
388,23,91,15
665,23,121,24
839,22,179,2
889,11,168,8
412,12,82,0
370,23,86,3
655,19,146,6
812,10,155,2
274,12,56,0
514,14,69,3
173,12,37,1
834,28,163,47
460,23,94,79
363,19,61,6
426,24,101,10
732,24,164,54
770,31,137,85
540,20,104,2
770,35,174,39
840,33,169,95
348,13,65,6
976,32,196,45
736,29,118,42
694,27,112,6
605,24,72,4
337,19,46,2
757,26,168,19
653,20,136,4
988,16,176,6
791,28,169,10
492,13,72,4
653,21,88,10
556,18,87,14
349,16,76,1
664,21,114,13
579,27,142,41
984,36,199,34
764,28,176,25
522,24,112,4
667,21,137,1
432,23,114,12
489,29,70,18
783,31,179,38
815,26,168,41
863,13,133,0
552,15,113,11
571,19,100,36
628,23,155,15
323,13,70,19
455,9,68,17
715,33,148,37
743,30,133,25
447,15,62,18
435,15,52,0
511,13,108,15
811,35,186,88
862,34,175,28
487,28,135,64
166,8,29,9
877,33,185,115
493,10,69,6
433,25,93,16
356,7,51,1
